nh,clust,Amount_withdrawn_from_savings,Honey,land_in_acre,agri1c,profit_per_acre
14,4882,0,0,3,230616.19047619,76872.0634920635
14,4885,0,0,7,818170,116881.428571429
14,4905,0,0,4,667045.714285714,166761.428571429
14,4925,93000,0,0.125,285047.619047619,2280380.95238095
14,4959,0,0,6,604246.666666667,100707.777777778
14,4959,0,0,6,604246.666666667,100707.777777778
14,4959,0,0,6,604246.666666667,100707.777777778
14,4959,0,0,6,604246.666666667,100707.777777778
14,4959,0,0,6,604246.666666667,100707.777777778
14,4959,0,0,6,604246.666666667,100707.777777778
14,4979,250000,0,25,392021.428571429,15680.8571428571
14,4985,0,0,10,855203.333333333,85520.3333333333
14,4985,0,0,10,855203.333333333,85520.3333333333
14,4985,0,0,10,855203.333333333,85520.3333333333
14,4985,0,0,10,855203.333333333,85520.3333333333
14,4985,0,0,10,855203.333333333,85520.3333333333
14,4985,0,0,10,855203.333333333,85520.3333333333
14,4995,110000,0,5,163809.523809524,32761.9047619048
14,4995,0,0,5,163809.523809524,32761.9047619048
14,4995,0,0,5,163809.523809524,32761.9047619048
14,4995,0,0,5,163809.523809524,32761.9047619048
14,4995,0,0,5,163809.523809524,32761.9047619048
14,4995,0,0,5,163809.523809524,32761.9047619048
15,4009,150000,0,5,0,0
15,4081,0,0,2,133923.714285714,66961.8571428571
15,4134,0,0,5,460916.666666667,92183.3333333333
15,4335,90000,0,3,346416.666666667,115472.222222222
15,4355,0,0,0.05,6340394.64285714,126807892.857143
15,4369,0,0,0.1,3939794.76190476,39397947.6190476
15,4379,208000,0,5,2266668.0952381,453333.619047619
15,4389,650000,0,15,4214365.52380952,280957.701587302
15,4439,3e+05,0,1,-108250,-108250
15,4442,250000,0,0.22038576,399828.571428571,1814221.44256767
15,4455,0,0,4,75306.6666666667,18826.6666666667
15,4495,70000,0,0.10625,4518766.78571429,42529569.7478992
15,4502,0,0,2,2852285.71428571,1426142.85714286
15,4502,0,0,2,2852285.71428571,1426142.85714286
15,4525,2e+05,0,9,3569259.04761905,396584.338624339
15,4592,0,0,13,1079437.85714286,83033.6813186813
15,4595,40000,0,5,238724.071428571,47744.8142857143
15,4622,0,0,8,1717006.54761905,214625.818452381
15,4645,0,0,0.09375,1447605.99206349,15441130.5820106
15,4675,470000,0,7,1560269.52380952,222895.646258503
15,4739,0,0,3,533853.809523809,177951.26984127
15,4755,0,0,2,2434033.33333333,1217016.66666667
15,4799,0,0,0.16528932,6674,40377.6844142138
15,4862,0,0,5,154757.142857143,30951.4285714286
15,4862,0,0,5,154757.142857143,30951.4285714286
15,4862,0,0,5,154757.142857143,30951.4285714286
15,4862,0,0,5,154757.142857143,30951.4285714286
15,4862,0,0,5,154757.142857143,30951.4285714286
15,4862,0,0,5,154757.142857143,30951.4285714286
15,4879,0,0,4,-81134.2857142857,-20283.5714285714
15,4879,0,0,4,-81134.2857142857,-20283.5714285714
15,4879,0,0,4,-81134.2857142857,-20283.5714285714
15,4879,0,0,4,-81134.2857142857,-20283.5714285714
15,4879,0,0,4,-81134.2857142857,-20283.5714285714
15,4879,0,0,4,-81134.2857142857,-20283.5714285714
15,4882,0,0,6,104931.428571429,17488.5714285714
15,4882,0,0,6,104931.428571429,17488.5714285714
15,4882,0,0,6,104931.428571429,17488.5714285714
15,4882,0,0,6,104931.428571429,17488.5714285714
15,4882,0,0,6,104931.428571429,17488.5714285714
15,4882,0,0,6,104931.428571429,17488.5714285714
15,4885,0,0,8,721851.428571429,90231.4285714286
15,4905,0,0,2,280922.738095238,140461.369047619
15,4942,0,0,3,2493285.71428571,831095.238095238
15,4959,0,0,5,168852.857142857,33770.5714285714
15,4959,0,0,5,168852.857142857,33770.5714285714
15,4959,0,0,5,168852.857142857,33770.5714285714
15,4959,0,0,5,168852.857142857,33770.5714285714
15,4959,0,0,5,168852.857142857,33770.5714285714
15,4959,0,0,5,168852.857142857,33770.5714285714
15,4995,0,0,4,1141464.28571429,285366.071428571
15,4995,0,0,4,1141464.28571429,285366.071428571
15,4995,50000,0,4,1141464.28571429,285366.071428571
15,4995,0,0,4,1141464.28571429,285366.071428571
15,4995,0,0,4,1141464.28571429,285366.071428571
15,4995,0,0,4,1141464.28571429,285366.071428571
16,4005,0,0,0.01875,1892972.74720418,100958546.517557
16,4049,0,0,0.00625,1303784.71428571,208605554.285714
16,4059,780000,0,2,-227901.785714286,-113950.892857143
16,4069,45000,0,1,5574128.80952381,5574128.80952381
16,4079,470000,0,2,474583.333333333,237291.666666667
16,4134,35000,0,2,780000,390000
16,4139,0,0,1,3899995.0515873,3899995.0515873
16,4369,0,0,17,5636901.53095238,331582.442997199
16,4389,0,0,18,3660746.66666667,203374.814814815
16,4399,0,0,0.025,3758439.67661909,150337587.064764
16,4402,0,0,0.05,2363307.04761905,47266140.9523809
16,4402,0,0,0.05,2363307.04761905,47266140.9523809
16,4415,0,0,5,3178332.59047619,635666.518095238
16,4433,0,0,0.07346192,391828.571428571,5333764.36973838
16,4433,70000,0,0.07346192,391828.571428571,5333764.36973838
16,4442,25000,0,0.07346192,-73088.5714285714,-994917.79453316
16,4479,1e+05,0,15,4926767.5,328451.166666667
16,4499,20000,0,0.02754822,1273693.33333333,46235050.1532706
16,4519,0,0,2,378550.880952381,189275.44047619
16,4539,3e+05,0,10,8307462.38095238,830746.238095238
16,4539,850000,0,10,8307462.38095238,830746.238095238
16,4605,55000,0,20,1283281.66666667,64164.0833333333
16,4605,0,0,20,1283281.66666667,64164.0833333333
16,4755,3e+05,0,23,1084724.16666667,47161.9202898551
16,4755,1e+05,0,23,1084724.16666667,47161.9202898551
16,4755,30000,0,23,1084724.16666667,47161.9202898551
16,4765,0,0,0.03125,245833.316422799,7866666.12552957
16,4790,0,0,80,1126572.66666667,14082.1583333333
16,4825,0,0,30,1051667.5,35055.5833333333
16,4842,130000,0,5,433980.952380952,86796.1904761905
16,4879,0,0,5,124526.666666667,24905.3333333333
16,4879,0,0,5,124526.666666667,24905.3333333333
16,4879,0,0,5,124526.666666667,24905.3333333333
16,4879,0,0,5,124526.666666667,24905.3333333333
16,4879,0,0,5,124526.666666667,24905.3333333333
16,4879,0,0,5,124526.666666667,24905.3333333333
16,4882,0,0,3,-142105.714285714,-47368.5714285714
16,4882,0,0,3,-142105.714285714,-47368.5714285714
16,4882,0,0,3,-142105.714285714,-47368.5714285714
16,4882,0,0,3,-142105.714285714,-47368.5714285714
16,4882,0,0,3,-142105.714285714,-47368.5714285714
16,4882,32000,0,3,-142105.714285714,-47368.5714285714
