nh,clust,Does_enterprise3_own_item
7,4199,1.74980057982641e+100
9,4199,1.74980057982641e+100
13,4199,1
13,4199,2
14,4199,2
16,4199,1.74980057982641e+100
17,4199,1.74980057982641e+100
18,4199,1
18,4199,1
1,4202,2
1,4202,1
3,4202,1.74980057982641e+100
4,4202,1.74980057982641e+100
4,4202,2
5,4202,2
5,4202,1
7,4202,1.74980057982641e+100
8,4202,1.74980057982641e+100
8,4202,1.74980057982641e+100
9,4202,1.74980057982641e+100
9,4202,2
10,4202,1.74980057982641e+100
10,4202,1
11,4202,1.74980057982641e+100
11,4202,1.74980057982641e+100
12,4202,1.74980057982641e+100
12,4202,1
14,4202,1.74980057982641e+100
17,4202,2
17,4202,1
18,4202,1.74980057982641e+100
18,4202,2
19,4202,1
19,4202,1
22,4202,2
22,4202,2
1,4205,1
1,4205,2
1,4205,1.74980057982641e+100
1,4205,1.74980057982641e+100
4,4205,1.74980057982641e+100
5,4205,1
6,4205,1
7,4205,1.74980057982641e+100
11,4205,1.74980057982641e+100
11,4205,1
13,4205,1
14,4205,2
14,4205,1.74980057982641e+100
5,4209,2
7,4209,2
8,4209,1
9,4209,2
12,4209,1
13,4209,2
14,4209,1
16,4209,2
20,4209,2
1,4212,2
9,4212,1.74980057982641e+100
9,4212,2
13,4212,1.74980057982641e+100
15,4212,1.74980057982641e+100
1,4215,1.74980057982641e+100
2,4215,1
5,4215,1.74980057982641e+100
5,4215,1.74980057982641e+100
6,4215,1.74980057982641e+100
10,4215,2
15,4215,1.74980057982641e+100
16,4215,1
16,4215,1.74980057982641e+100
18,4215,2
20,4215,1
5,4219,1.74980057982641e+100
5,4219,2
7,4219,1.74980057982641e+100
7,4219,1.74980057982641e+100
10,4219,2
12,4219,2
12,4219,1.74980057982641e+100
17,4219,1.74980057982641e+100
17,4219,1.74980057982641e+100
3,4222,1.74980057982641e+100
5,4222,1.74980057982641e+100
5,4222,1.74980057982641e+100
9,4222,1.74980057982641e+100
9,4222,1.74980057982641e+100
12,4222,1.74980057982641e+100
12,4222,1.74980057982641e+100
13,4222,1.74980057982641e+100
13,4222,1.74980057982641e+100
13,4222,2
17,4222,1.74980057982641e+100
18,4222,1.74980057982641e+100
2,4225,2
2,4225,1.74980057982641e+100
4,4225,1
4,4225,1
9,4225,1
9,4225,1.74980057982641e+100
12,4225,2
15,4225,1.74980057982641e+100
15,4225,1.74980057982641e+100
16,4225,1.74980057982641e+100
23,4225,1
23,4225,1.74980057982641e+100
2,4229,1.74980057982641e+100
4,4229,1.74980057982641e+100
4,4229,1.74980057982641e+100
7,4229,2
7,4229,1.74980057982641e+100
10,4229,2
11,4229,1.74980057982641e+100
13,4229,1.74980057982641e+100
20,4229,1.74980057982641e+100
1,4232,1.74980057982641e+100
13,4232,1.74980057982641e+100
13,4232,1.74980057982641e+100
13,4232,1.74980057982641e+100
16,4232,2
16,4232,2
20,4232,1.74980057982641e+100
1,4235,1
1,4235,1.74980057982641e+100
7,4235,1.74980057982641e+100
9,4235,1.74980057982641e+100
10,4235,1.74980057982641e+100
10,4235,1
10,4235,1
10,4235,1.74980057982641e+100
11,4235,1.74980057982641e+100
12,4235,1.74980057982641e+100
15,4235,1.74980057982641e+100
16,4235,1
18,4235,1.74980057982641e+100
18,4235,1.74980057982641e+100
19,4235,1
1,4239,1.74980057982641e+100
1,4239,1.74980057982641e+100
1,4239,1
1,4239,1.74980057982641e+100
3,4239,1.74980057982641e+100
3,4239,1.74980057982641e+100
4,4239,1
5,4239,1
10,4239,1.74980057982641e+100
10,4239,1
10,4239,1
18,4239,1.74980057982641e+100
1,4242,1.74980057982641e+100
4,4242,1
5,4242,1.74980057982641e+100
5,4242,1
6,4242,1.74980057982641e+100
7,4242,1.74980057982641e+100
7,4242,1.74980057982641e+100
14,4242,1.74980057982641e+100
15,4242,1.74980057982641e+100
18,4242,1.74980057982641e+100
24,4242,1.74980057982641e+100
2,4245,1.74980057982641e+100
3,4245,1.74980057982641e+100
3,4245,1.74980057982641e+100
3,4245,2
3,4245,1.74980057982641e+100
7,4245,2
8,4245,2
11,4245,2
11,4245,1.74980057982641e+100
13,4245,1
13,4245,2
14,4245,1
14,4245,2
21,4245,1.74980057982641e+100
2,4249,1
3,4249,1
14,4249,1
17,4249,2
19,4249,2
1,4252,1.74980057982641e+100
3,4252,2
7,4252,1.74980057982641e+100
11,4252,2
11,4252,1.74980057982641e+100
12,4252,2
14,4252,2
17,4252,1.74980057982641e+100
17,4252,1.74980057982641e+100
1,4255,1.74980057982641e+100
2,4255,1.74980057982641e+100
9,4255,1
5,4259,1.74980057982641e+100
8,4259,1.74980057982641e+100
19,4259,1.74980057982641e+100
5,4262,1
8,4262,1
11,4262,2
16,4262,2
19,4262,2
19,4262,2
19,4262,2
20,4262,2
2,4265,1
3,4265,1
9,4265,1
11,4265,2
15,4265,1
17,4265,1.74980057982641e+100
20,4265,1
14,4269,1.74980057982641e+100
15,4269,1.74980057982641e+100
16,4269,1.74980057982641e+100
5,4272,1.74980057982641e+100
5,4272,2
5,4272,1
7,4272,2
8,4272,1
9,4272,1.74980057982641e+100
12,4272,1
13,4272,1.74980057982641e+100
15,4272,1.74980057982641e+100
16,4272,2
17,4272,1.74980057982641e+100
20,4272,1.74980057982641e+100
1,4275,1.74980057982641e+100
4,4275,1.74980057982641e+100
4,4275,1.74980057982641e+100
4,4275,1.74980057982641e+100
7,4275,1.74980057982641e+100
8,4275,1.74980057982641e+100
10,4275,1
11,4275,1.74980057982641e+100
13,4275,1.74980057982641e+100
16,4275,1.74980057982641e+100
16,4275,1.74980057982641e+100
16,4275,1.74980057982641e+100
16,4275,1.74980057982641e+100
17,4275,1.74980057982641e+100
17,4275,1.74980057982641e+100
17,4275,1.74980057982641e+100
17,4275,1.74980057982641e+100
17,4275,1.74980057982641e+100
21,4275,1.74980057982641e+100
3,4279,2
5,4279,1.74980057982641e+100
6,4279,1
6,4279,2
8,4279,1
9,4279,1.74980057982641e+100
10,4279,1
10,4279,2
11,4279,2
14,4279,1
16,4279,1.74980057982641e+100
19,4279,2
20,4279,1
2,4285,1.74980057982641e+100
3,4285,1.74980057982641e+100
5,4285,1.74980057982641e+100
5,4285,1
5,4285,1.74980057982641e+100
6,4285,1.74980057982641e+100
6,4285,1.74980057982641e+100
8,4285,1.74980057982641e+100
9,4285,1.74980057982641e+100
9,4285,1.74980057982641e+100
10,4285,1.74980057982641e+100
12,4285,1.74980057982641e+100
13,4285,1.74980057982641e+100
13,4285,1.74980057982641e+100
17,4285,1.74980057982641e+100
17,4285,1.74980057982641e+100
19,4285,1.74980057982641e+100
1,4289,1.74980057982641e+100
4,4289,1.74980057982641e+100
5,4289,1.74980057982641e+100
6,4289,1.74980057982641e+100
8,4289,1.74980057982641e+100
10,4289,1.74980057982641e+100
12,4289,1.74980057982641e+100
13,4289,1.74980057982641e+100
14,4289,1.74980057982641e+100
17,4289,1.74980057982641e+100
18,4289,1.74980057982641e+100
1,4292,1.74980057982641e+100
2,4292,1.74980057982641e+100
3,4292,1.74980057982641e+100
4,4292,1.74980057982641e+100
4,4292,1.74980057982641e+100
5,4292,1.74980057982641e+100
11,4292,1.74980057982641e+100
14,4292,1.74980057982641e+100
14,4292,1.74980057982641e+100
14,4292,1.74980057982641e+100
16,4292,1.74980057982641e+100
16,4292,1.74980057982641e+100
17,4292,1.74980057982641e+100
17,4292,1.74980057982641e+100
18,4292,1.74980057982641e+100
19,4292,1.74980057982641e+100
20,4292,1.74980057982641e+100
20,4292,1.74980057982641e+100
22,4292,1.74980057982641e+100
1,4295,1
4,4295,1.74980057982641e+100
4,4295,1.74980057982641e+100
5,4295,1.74980057982641e+100
8,4295,1.74980057982641e+100
18,4295,1.74980057982641e+100
20,4295,1
20,4295,1.74980057982641e+100
7,4299,1
9,4299,1.74980057982641e+100
12,4299,1
16,4299,1
18,4299,1.74980057982641e+100
18,4299,2
20,4299,1.74980057982641e+100
2,4302,1
4,4302,1.74980057982641e+100
5,4302,1
7,4302,1
8,4302,1.74980057982641e+100
9,4302,1.74980057982641e+100
9,4302,1.74980057982641e+100
10,4302,1.74980057982641e+100
10,4302,1.74980057982641e+100
18,4302,1.74980057982641e+100
1,4305,2
7,4305,1.74980057982641e+100
8,4305,1.74980057982641e+100
12,4305,2
14,4305,2
14,4305,2
15,4305,1.74980057982641e+100
17,4305,1.74980057982641e+100
20,4305,2
20,4305,2
4,4309,1.74980057982641e+100
12,4309,1.74980057982641e+100
13,4309,1.74980057982641e+100
17,4309,1.74980057982641e+100
17,4309,1.74980057982641e+100
18,4309,1.74980057982641e+100
20,4309,1.74980057982641e+100
20,4309,1
23,4309,1.74980057982641e+100
23,4309,1.74980057982641e+100
9,4312,1.74980057982641e+100
9,4312,1.74980057982641e+100
17,4312,1.74980057982641e+100
19,4312,1.74980057982641e+100
20,4312,1.74980057982641e+100
21,4312,1.74980057982641e+100
3,4315,1
4,4315,2
6,4315,2
7,4315,2
7,4315,1
8,4315,2
9,4315,1.74980057982641e+100
9,4315,1.74980057982641e+100
9,4315,2
9,4315,2
13,4315,1.74980057982641e+100
17,4315,1.74980057982641e+100
17,4315,1.74980057982641e+100
18,4315,1
18,4315,2
2,4319,1.74980057982641e+100
2,4319,1.74980057982641e+100
4,4319,2
6,4319,1.74980057982641e+100
7,4319,1.74980057982641e+100
10,4319,1
12,4319,1.74980057982641e+100
13,4319,1
13,4319,1.74980057982641e+100
17,4319,1.74980057982641e+100
19,4319,2
23,4319,1.74980057982641e+100
16,4322,1
4,4325,1.74980057982641e+100
13,4325,1
15,4325,1.74980057982641e+100
17,4325,1.74980057982641e+100
3,4329,1.74980057982641e+100
20,4329,1.74980057982641e+100
2,4332,1.74980057982641e+100
4,4332,2
5,4332,1.74980057982641e+100
5,4332,1
8,4332,2
8,4332,1.74980057982641e+100
11,4332,1.74980057982641e+100
13,4332,1.74980057982641e+100
15,4332,1.74980057982641e+100
15,4332,1
15,4332,2
17,4332,2
19,4332,1.74980057982641e+100
20,4332,1
3,4335,1.74980057982641e+100
11,4335,1
11,4335,2
16,4335,1.74980057982641e+100
18,4335,2
20,4335,1.74980057982641e+100
1,4339,1.74980057982641e+100
3,4339,2
3,4339,1.74980057982641e+100
6,4339,2
6,4339,1.74980057982641e+100
8,4339,1.74980057982641e+100
8,4339,1
8,4339,1.74980057982641e+100
9,4339,1.74980057982641e+100
10,4339,2
12,4339,1.74980057982641e+100
19,4339,1.74980057982641e+100
1,4342,1
1,4342,1.74980057982641e+100
4,4342,1.74980057982641e+100
4,4342,1.74980057982641e+100
5,4342,1.74980057982641e+100
11,4342,2
12,4342,2
18,4342,1.74980057982641e+100
18,4342,1.74980057982641e+100
24,4342,2
2,4345,1
6,4345,2
7,4345,1
20,4345,1.74980057982641e+100
2,4349,2
3,4349,2
4,4349,2
4,4349,2
4,4349,1
9,4349,2
9,4349,1
10,4349,2
13,4349,2
13,4349,1
14,4349,2
14,4349,2
20,4349,2
20,4349,2
4,4352,1.74980057982641e+100
4,4352,1.74980057982641e+100
4,4352,1.74980057982641e+100
6,4352,1.74980057982641e+100
10,4352,1.74980057982641e+100
12,4352,1.74980057982641e+100
12,4352,1.74980057982641e+100
15,4352,1.74980057982641e+100
20,4352,1.74980057982641e+100
3,4355,1.74980057982641e+100
3,4355,1.74980057982641e+100
3,4355,1.74980057982641e+100
3,4355,1.74980057982641e+100
11,4355,1.74980057982641e+100
14,4355,1.74980057982641e+100
16,4355,1.74980057982641e+100
18,4355,1.74980057982641e+100
19,4355,1.74980057982641e+100
20,4355,1.74980057982641e+100
3,4359,1
3,4359,1.74980057982641e+100
8,4359,1
15,4359,2
15,4359,1
16,4359,2
18,4359,2
20,4359,2
2,4362,1.74980057982641e+100
2,4362,1.74980057982641e+100
2,4362,1.74980057982641e+100
3,4362,1
4,4362,2
5,4362,2
6,4362,1.74980057982641e+100
7,4362,2
8,4362,1.74980057982641e+100
9,4362,1
11,4362,1.74980057982641e+100
11,4362,2
13,4362,2
15,4362,1.74980057982641e+100
16,4362,2
17,4362,1
18,4362,2
7,4365,2
12,4365,2
17,4365,1.74980057982641e+100
