nh,clust,Amount_spend_on_self_help_project
9,4072,10000
10,4072,0
11,4072,0
12,4072,7000
13,4072,0
14,4072,0
15,4072,0
16,4072,0
17,4072,0
18,4072,0
19,4072,0
20,4072,5000
21,4072,0
1,4075,0
2,4075,0
3,4075,0
4,4075,10000
5,4075,24000
6,4075,0
7,4075,0
8,4075,0
9,4075,0
10,4075,0
11,4075,15000
12,4075,2e+05
13,4075,0
14,4075,0
15,4075,10000
16,4075,0
18,4075,6000
19,4075,5000
20,4075,0
22,4075,0
1,4079,4000
2,4079,10000
3,4079,15000
4,4079,10000
5,4079,10000
6,4079,20000
7,4079,25000
8,4079,5000
9,4079,15000
10,4079,2000
11,4079,30000
12,4079,10000
13,4079,0
14,4079,10000
15,4079,10000
16,4079,7000
17,4079,0
18,4079,50000
19,4079,10000
20,4079,7400
1,4081,0
2,4081,0
3,4081,0
4,4081,0
5,4081,0
6,4081,0
7,4081,0
8,4081,0
9,4081,0
10,4081,0
11,4081,0
12,4081,0
13,4081,0
14,4081,0
15,4081,0
16,4081,0
17,4081,0
18,4081,0
19,4081,0
20,4081,0
1,4084,0
2,4084,0
3,4084,11000
4,4084,0
5,4084,0
6,4084,0
7,4084,0
8,4084,0
9,4084,0
10,4084,10000
11,4084,8000
12,4084,0
13,4084,0
14,4084,0
15,4084,0
16,4084,0
17,4084,0
18,4084,0
19,4084,0
20,4084,0
1,4089,0
2,4089,0
3,4089,0
4,4089,0
5,4089,0
6,4089,0
7,4089,0
8,4089,0
9,4089,0
10,4089,0
11,4089,0
12,4089,0
13,4089,0
14,4089,0
15,4089,0
16,4089,0
17,4089,0
18,4089,0
19,4089,0
20,4089,0
1,4092,1500
2,4092,1000
3,4092,500
4,4092,0
5,4092,6000
6,4092,2000
7,4092,1000
8,4092,3000
9,4092,2000
10,4092,2500
11,4092,3000
12,4092,2500
13,4092,5000
14,4092,2000
15,4092,0
16,4092,1000
17,4092,0
18,4092,3000
19,4092,0
20,4092,1000
1,4095,2000
2,4095,5000
3,4095,0
4,4095,0
5,4095,0
6,4095,0
7,4095,3000
8,4095,1500
9,4095,6000
10,4095,5000
11,4095,2500
12,4095,8000
13,4095,1500
14,4095,0
15,4095,2000
16,4095,4500
17,4095,3500
18,4095,8500
19,4095,0
20,4095,4000
1,4099,0
2,4099,1500
3,4099,3000
4,4099,1000
5,4099,3000
6,4099,5000
7,4099,0
8,4099,2000
9,4099,4000
10,4099,10000
11,4099,5000
12,4099,15000
13,4099,4000
14,4099,3000
15,4099,3000
16,4099,1000
17,4099,0
18,4099,1000
19,4099,5000
20,4099,4000
1,4102,0
2,4102,0
3,4102,0
4,4102,0
5,4102,2000
6,4102,45000
7,4102,0
8,4102,0
9,4102,0
10,4102,2000
11,4102,4500
12,4102,20000
14,4102,4500
15,4102,0
16,4102,0
17,4102,4500
18,4102,1500
19,4102,10000
20,4102,4500
21,4102,2000
1,4105,0
2,4105,0
3,4105,20000
4,4105,4000
5,4105,6000
6,4105,0
7,4105,20000
8,4105,0
9,4105,2000
10,4105,0
11,4105,200
13,4105,0
14,4105,1000
16,4105,0
17,4105,0
18,4105,0
19,4105,16994500
20,4105,1000
21,4105,2000
22,4105,2000
1,4109,0
2,4109,0
3,4109,0
4,4109,0
5,4109,0
6,4109,0
7,4109,0
8,4109,0
9,4109,0
10,4109,0
11,4109,0
12,4109,0
13,4109,0
14,4109,0
15,4109,0
16,4109,0
17,4109,0
18,4109,0
19,4109,0
20,4109,0
1,4112,0
2,4112,0
3,4112,40000
4,4112,0
5,4112,0
6,4112,0
7,4112,0
8,4112,0
