nh,clust,Amount_spend_on_self_help_project
9,4319,0
10,4319,0
11,4319,0
12,4319,0
13,4319,0
14,4319,0
15,4319,0
16,4319,0
17,4319,0
18,4319,0
19,4319,0
20,4319,0
23,4319,0
1,4322,0
2,4322,0
3,4322,26000
4,4322,24000
5,4322,60000
6,4322,0
7,4322,60000
8,4322,30000
9,4322,0
10,4322,24000
11,4322,30000
12,4322,0
13,4322,12000
14,4322,12000
15,4322,0
16,4322,0
17,4322,0
18,4322,0
19,4322,0
20,4322,52000
1,4325,0
2,4325,0
3,4325,0
4,4325,0
5,4325,0
6,4325,0
7,4325,0
8,4325,0
9,4325,0
10,4325,0
11,4325,0
12,4325,0
13,4325,0
14,4325,0
15,4325,0
16,4325,0
17,4325,0
18,4325,0
19,4325,0
20,4325,0
1,4329,0
2,4329,0
3,4329,0
4,4329,0
5,4329,12000
6,4329,0
7,4329,0
8,4329,0
9,4329,0
10,4329,0
13,4329,0
14,4329,0
15,4329,0
16,4329,0
17,4329,0
18,4329,0
19,4329,0
20,4329,0
22,4329,0
25,4329,0
1,4332,0
2,4332,0
3,4332,0
4,4332,0
5,4332,0
6,4332,0
7,4332,0
8,4332,25000
9,4332,0
10,4332,5e+05
11,4332,0
12,4332,0
13,4332,0
14,4332,0
15,4332,0
16,4332,0
17,4332,0
18,4332,0
19,4332,0
20,4332,0
1,4335,30000
2,4335,0
3,4335,2e+05
4,4335,10000
5,4335,40000
6,4335,0
7,4335,0
8,4335,12000
9,4335,0
10,4335,0
11,4335,10000
12,4335,5000
13,4335,0
14,4335,20000
15,4335,0
16,4335,0
17,4335,10000
18,4335,5e+05
19,4335,0
20,4335,15000
1,4339,15000
2,4339,0
3,4339,0
4,4339,0
5,4339,0
6,4339,10000
7,4339,0
8,4339,0
9,4339,0
10,4339,0
11,4339,0
12,4339,0
13,4339,0
14,4339,0
15,4339,0
16,4339,50000
17,4339,0
18,4339,0
19,4339,0
21,4339,0
1,4342,50000
2,4342,0
3,4342,0
4,4342,40000
5,4342,2000
7,4342,0
8,4342,0
9,4342,0
10,4342,0
11,4342,0
12,4342,10000
14,4342,0
16,4342,5000
17,4342,0
18,4342,0
19,4342,36000
20,4342,0
22,4342,3000
23,4342,0
24,4342,40000
1,4345,0
2,4345,0
3,4345,0
4,4345,0
5,4345,0
6,4345,0
7,4345,6000
8,4345,0
9,4345,0
10,4345,6000
11,4345,0
12,4345,0
13,4345,0
14,4345,0
15,4345,0
16,4345,0
17,4345,0
18,4345,60000
19,4345,0
20,4345,0
1,4349,0
2,4349,0
3,4349,0
4,4349,0
5,4349,0
6,4349,0
7,4349,0
8,4349,0
9,4349,0
10,4349,0
11,4349,0
12,4349,0
13,4349,0
14,4349,0
15,4349,0
16,4349,0
17,4349,0
18,4349,0
19,4349,0
20,4349,0
1,4352,0
2,4352,0
3,4352,0
4,4352,0
5,4352,0
6,4352,0
7,4352,0
8,4352,0
9,4352,0
10,4352,0
11,4352,0
12,4352,0
13,4352,0
14,4352,0
15,4352,0
16,4352,0
17,4352,0
18,4352,0
19,4352,0
20,4352,0
1,4355,6000
2,4355,6000
3,4355,30000
4,4355,5000
5,4355,3800
6,4355,0
7,4355,3000
8,4355,150000
9,4355,13000
10,4355,8000
11,4355,3000
12,4355,6000
13,4355,6000
14,4355,0
15,4355,17200
16,4355,3000
17,4355,0
18,4355,6000
19,4355,6000
20,4355,6000
1,4359,0
2,4359,5000
3,4359,0
4,4359,20000
7,4359,0
8,4359,10000
9,4359,10000
10,4359,10000
11,4359,0
12,4359,0
13,4359,0
14,4359,0
15,4359,0
16,4359,10000
17,4359,0
18,4359,0
19,4359,0
20,4359,0
21,4359,15000
22,4359,30000
2,4362,0
3,4362,0
4,4362,0
5,4362,0
6,4362,0
7,4362,0
8,4362,0
9,4362,0
10,4362,0
11,4362,0
13,4362,0
14,4362,0
15,4362,0
16,4362,0
17,4362,0
18,4362,0
19,4362,0
20,4362,0
22,4362,0
25,4362,50000
1,4365,0
2,4365,60000
3,4365,20000
4,4365,0
5,4365,3000
6,4365,30000
7,4365,0
8,4365,4000
9,4365,10000
10,4365,4000
11,4365,0
12,4365,0
13,4365,0
14,4365,0
15,4365,0
16,4365,0
17,4365,1000
18,4365,0
19,4365,20000
20,4365,5000
1,4369,0
3,4369,0
5,4369,0
6,4369,0
7,4369,0
8,4369,14000
9,4369,0
10,4369,0
11,4369,0
13,4369,0
14,4369,0
15,4369,0
16,4369,0
17,4369,0
18,4369,0
19,4369,0
21,4369,0
22,4369,0
23,4369,0
24,4369,0
1,4372,5000
2,4372,5000
3,4372,0
4,4372,7000
5,4372,5000
6,4372,18000
7,4372,10000
8,4372,30000
9,4372,10000
10,4372,10000
11,4372,15000
12,4372,10000
13,4372,20000
14,4372,1000
16,4372,5000
17,4372,0
18,4372,10000
19,4372,3000
20,4372,0
21,4372,15000
1,4375,15000
2,4375,15000
3,4375,40000
4,4375,0
5,4375,50000
6,4375,67000
7,4375,0
8,4375,0
9,4375,0
10,4375,25000
11,4375,6000
12,4375,11000
13,4375,20000
14,4375,40000
15,4375,20000
16,4375,40000
17,4375,5000
18,4375,12000
19,4375,29000
20,4375,35000
1,4379,0
2,4379,10000
3,4379,8000
4,4379,30000
5,4379,12000
6,4379,0
7,4379,0
8,4379,0
9,4379,0
10,4379,0
11,4379,5000
12,4379,0
13,4379,4000
14,4379,14000
15,4379,0
16,4379,12000
17,4379,80000
18,4379,0
19,4379,50000
20,4379,1e+05
1,4382,5000
2,4382,13000
3,4382,0
4,4382,0
5,4382,16000
6,4382,5000
7,4382,0
8,4382,0
9,4382,2000
10,4382,0
11,4382,0
12,4382,0
13,4382,0
14,4382,0
15,4382,0
16,4382,5000
17,4382,0
18,4382,0
19,4382,6000
20,4382,0
1,4385,0
2,4385,0
3,4385,0
4,4385,0
5,4385,0
6,4385,0
7,4385,0
8,4385,0
9,4385,0
10,4385,0
11,4385,0
12,4385,4000
13,4385,0
14,4385,0
15,4385,0
16,4385,0
17,4385,4000
18,4385,2000
19,4385,2000
20,4385,3000
1,4389,0
2,4389,2000
3,4389,0
4,4389,10000
5,4389,560000
6,4389,0
7,4389,20000
8,4389,0
9,4389,8500
10,4389,0
11,4389,4000
12,4389,0
13,4389,0
14,4389,0
15,4389,40000
16,4389,10000
17,4389,20000
18,4389,25000
19,4389,150000
20,4389,50000
1,4392,0
2,4392,0
3,4392,0
4,4392,0
5,4392,20000
6,4392,0
7,4392,0
8,4392,0
9,4392,0
10,4392,0
11,4392,0
12,4392,0
13,4392,0
14,4392,0
15,4392,0
16,4392,0
17,4392,0
18,4392,0
19,4392,0
20,4392,0
1,4395,9000
2,4395,8200
3,4395,2000
4,4395,4200
5,4395,4600
6,4395,5000
7,4395,11200
8,4395,6000
9,4395,9000
10,4395,9000
11,4395,7200
12,4395,2700
13,4395,8000
14,4395,600
15,4395,0
16,4395,0
17,4395,0
18,4395,3000
19,4395,0
20,4395,0
1,4399,0
2,4399,0
3,4399,0
4,4399,0
5,4399,0
6,4399,0
7,4399,0
8,4399,0
9,4399,1e+05
10,4399,0
11,4399,0
12,4399,15000
13,4399,0
14,4399,0
15,4399,0
16,4399,0
17,4399,0
18,4399,10000
19,4399,0
20,4399,50000
1,4402,25000
2,4402,0
3,4402,0
4,4402,0
5,4402,2000
6,4402,0
7,4402,0
8,4402,0
9,4402,500
10,4402,0
11,4402,0
12,4402,0
13,4402,0
14,4402,4000
15,4402,7000
16,4402,10000
17,4402,5000
18,4402,20000
19,4402,25000
20,4402,71000
1,4405,6000
2,4405,6000
3,4405,4500
4,4405,6000
5,4405,6000
6,4405,6000
7,4405,3000
8,4405,6000
9,4405,4000
10,4405,20000
11,4405,20000
12,4405,6000
13,4405,1500
14,4405,4000
15,4405,0
16,4405,15000
17,4405,9000
18,4405,4000
19,4405,4000
20,4405,0
1,4408,6000
2,4408,4000
3,4408,0
4,4408,300
5,4408,3000
6,4408,8000
7,4408,15000
8,4408,40000
9,4408,12000
10,4408,0
11,4408,13500
12,4408,400
13,4408,6000
14,4408,3000
15,4408,8000
16,4408,5000
17,4408,5000
18,4408,8000
19,4408,6000
20,4408,13000
1,4412,15000
2,4412,10000
3,4412,6000
4,4412,26000
5,4412,38000
6,4412,35000
7,4412,18000
8,4412,15000
9,4412,114000
10,4412,17000
11,4412,32000
12,4412,1e+05
13,4412,8000
14,4412,15000
15,4412,7000
16,4412,3000
17,4412,10000
18,4412,112000
19,4412,5000
20,4412,20000
1,4415,10000
2,4415,10000
3,4415,20000
4,4415,75000
5,4415,2000
6,4415,40000
7,4415,50000
8,4415,5e+05
9,4415,180000
10,4415,0
11,4415,2000
12,4415,0
13,4415,5000
14,4415,7000
15,4415,12000
16,4415,12000
17,4415,12000
18,4415,16000
19,4415,12000
20,4415,6000
1,4419,0
2,4419,10000
3,4419,0
4,4419,0
6,4419,65000
7,4419,5000
8,4419,0
9,4419,0
10,4419,0
11,4419,0
15,4419,12000
16,4419,15000
17,4419,0
18,4419,0
19,4419,4000
20,4419,0
21,4419,0
22,4419,30000
23,4419,0
25,4419,0
1,4422,8000
2,4422,35000
3,4422,3000
4,4422,7000
5,4422,16000
6,4422,3000
7,4422,1000
8,4422,5000
9,4422,0
10,4422,0
11,4422,10000
12,4422,3000
13,4422,6000
14,4422,10000
15,4422,6000
16,4422,8000
17,4422,4000
18,4422,6000
19,4422,5000
20,4422,3000
1,4425,0
2,4425,0
3,4425,0
4,4425,0
5,4425,0
6,4425,0
7,4425,0
8,4425,0
9,4425,0
10,4425,0
11,4425,0
12,4425,0
13,4425,0
14,4425,5000
15,4425,6000
16,4425,0
17,4425,10000
18,4425,0
19,4425,0
20,4425,0
1,4429,0
2,4429,0
3,4429,0
4,4429,0
5,4429,0
6,4429,0
7,4429,0
8,4429,0
9,4429,0
10,4429,0
11,4429,0
13,4429,0
14,4429,0
15,4429,3000
16,4429,0
17,4429,0
18,4429,5000
19,4429,27000
20,4429,6000
25,4429,0
1,4433,0
2,4433,9000
3,4433,16000
4,4433,9000
5,4433,12000
6,4433,49500
7,4433,50000
8,4433,2000
9,4433,6000
10,4433,28500
11,4433,10000
12,4433,23000
13,4433,17000
14,4433,40000
15,4433,20000
16,4433,34000
17,4433,13000
18,4433,25000
19,4433,24000
20,4433,14500
1,4435,4000
3,4435,10000
4,4435,10000
6,4435,14000
7,4435,10000
8,4435,10000
9,4435,10000
10,4435,5000
11,4435,14000
12,4435,6000
13,4435,10000
14,4435,0
15,4435,0
16,4435,10000
17,4435,0
18,4435,2000
20,4435,6000
21,4435,14000
22,4435,3000
23,4435,10000
1,4439,0
2,4439,5000
3,4439,0
4,4439,0
6,4439,5000
7,4439,0
8,4439,0
9,4439,0
10,4439,0
11,4439,0
12,4439,0
13,4439,0
15,4439,0
16,4439,0
17,4439,0
18,4439,0
19,4439,0
20,4439,0
21,4439,0
24,4439,0
1,4442,0
2,4442,6000
4,4442,0
5,4442,80000
6,4442,0
7,4442,30000
8,4442,0
9,4442,0
11,4442,0
12,4442,6000
13,4442,16000
14,4442,0
15,4442,96000
16,4442,5000
17,4442,10000
18,4442,6000
19,4442,16000
20,4442,0
21,4442,0
24,4442,0
1,4445,0
2,4445,6000
3,4445,8000
4,4445,0
5,4445,0
6,4445,8000
7,4445,8000
8,4445,5000
9,4445,0
10,4445,16000
11,4445,0
12,4445,13000
13,4445,0
14,4445,16000
15,4445,1500
16,4445,8000
17,4445,6000
18,4445,0
19,4445,0
20,4445,8000
1,4449,0
2,4449,0
3,4449,0
4,4449,0
5,4449,0
6,4449,0
7,4449,0
8,4449,0
9,4449,0
10,4449,0
11,4449,0
12,4449,0
13,4449,0
14,4449,0
15,4449,0
16,4449,0
17,4449,0
18,4449,0
19,4449,0
20,4449,0
1,4452,10000
2,4452,5000
3,4452,6000
4,4452,35000
5,4452,0
6,4452,0
7,4452,0
8,4452,3000
9,4452,12000
10,4452,0
11,4452,0
12,4452,0
13,4452,0
14,4452,0
15,4452,0
16,4452,0
17,4452,0
18,4452,0
20,4452,0
22,4452,0
1,4455,8000
2,4455,6000
3,4455,0
4,4455,8000
5,4455,15000
6,4455,6000
7,4455,15000
8,4455,6000
9,4455,8000
10,4455,20000
11,4455,40000
12,4455,5000
13,4455,10000
14,4455,0
15,4455,6000
16,4455,10000
17,4455,10000
18,4455,8000
19,4455,15000
20,4455,10000
1,4459,6000
2,4459,10000
3,4459,15000
4,4459,28000
5,4459,13000
6,4459,15000
7,4459,10000
8,4459,13000
9,4459,0
10,4459,20000
11,4459,0
12,4459,6000
13,4459,9000
14,4459,5000
15,4459,46000
16,4459,3000
17,4459,3000
18,4459,14000
19,4459,6000
20,4459,10000
1,4462,0
2,4462,0
3,4462,0
4,4462,0
5,4462,0
6,4462,0
7,4462,0
8,4462,0
9,4462,0
10,4462,0
11,4462,0
12,4462,0
13,4462,0
14,4462,0
15,4462,0
16,4462,0
17,4462,0
18,4462,0
19,4462,0
20,4462,0
1,4465,7000
2,4465,0
3,4465,0
4,4465,0
5,4465,4000
6,4465,4000
7,4465,4000
8,4465,4000
9,4465,4000
10,4465,4000
11,4465,0
12,4465,4000
13,4465,0
14,4465,0
15,4465,0
16,4465,0
17,4465,4000
18,4465,0
19,4465,4000
20,4465,3500
1,4469,0
2,4469,0
3,4469,0
4,4469,0
5,4469,0
6,4469,0
7,4469,0
8,4469,0
9,4469,0
10,4469,0
11,4469,0
12,4469,0
13,4469,0
14,4469,0
15,4469,0
16,4469,0
17,4469,0
18,4469,1e+06
19,4469,0
20,4469,250000
1,4472,0
2,4472,20000
3,4472,2000
4,4472,0
5,4472,0
6,4472,0
7,4472,20000
8,4472,0
9,4472,0
10,4472,8000
11,4472,0
12,4472,0
13,4472,4000
14,4472,0
15,4472,0
17,4472,0
19,4472,0
20,4472,0
21,4472,0
23,4472,0
1,4475,0
2,4475,0
3,4475,0
4,4475,0
5,4475,0
6,4475,0
7,4475,0
8,4475,0
9,4475,0
10,4475,0
11,4475,0
12,4475,0
13,4475,0
14,4475,0
15,4475,0
16,4475,0
17,4475,0
18,4475,0
19,4475,0
20,4475,0
1,4479,10000
2,4479,0
3,4479,4000
4,4479,2000
5,4479,5000
6,4479,0
7,4479,20000
8,4479,15000
9,4479,0
10,4479,3000
11,4479,6000
12,4479,3000
13,4479,0
14,4479,0
15,4479,0
16,4479,2000
17,4479,0
18,4479,2000
19,4479,2000
20,4479,1000
1,4482,6000
2,4482,8000
3,4482,50000
4,4482,24000
5,4482,25000
6,4482,5000
7,4482,15000
8,4482,2000
9,4482,10000
10,4482,25000
11,4482,9000
12,4482,18000
13,4482,3000
14,4482,3000
15,4482,5000
16,4482,0
17,4482,9000
18,4482,3000
19,4482,10000
20,4482,0
1,4485,2000
2,4485,0
3,4485,0
4,4485,0
5,4485,0
6,4485,0
7,4485,0
8,4485,0
9,4485,0
10,4485,1000
11,4485,6000
12,4485,500
13,4485,3000
14,4485,6000
15,4485,10000
16,4485,0
17,4485,1000
18,4485,0
19,4485,6000
20,4485,30000
1,4489,25000
2,4489,12000
4,4489,0
6,4489,0
7,4489,4000
8,4489,0
9,4489,6000
10,4489,0
11,4489,6000
12,4489,0
13,4489,0
14,4489,0
15,4489,10000
16,4489,40000
17,4489,15000
18,4489,4000
19,4489,3000
20,4489,0
21,4489,4000
22,4489,4000
1,4492,5000
2,4492,0
3,4492,3000
4,4492,0
5,4492,12000
6,4492,0
7,4492,12000
8,4492,0
9,4492,0
10,4492,0
11,4492,0
12,4492,0
13,4492,0
14,4492,0
15,4492,0
16,4492,0
17,4492,0
18,4492,0
19,4492,0
20,4492,2000
1,4495,0
2,4495,0
3,4495,0
4,4495,0
5,4495,0
6,4495,0
7,4495,0
8,4495,0
9,4495,0
10,4495,0
11,4495,0
12,4495,0
13,4495,0
14,4495,0
15,4495,0
16,4495,0
17,4495,2000
18,4495,0
19,4495,0
20,4495,0
1,4499,0
2,4499,0
3,4499,4000
4,4499,0
5,4499,0
6,4499,0
7,4499,0
8,4499,0
10,4499,0
11,4499,0
12,4499,0
13,4499,0
14,4499,0
15,4499,0
16,4499,0
17,4499,0
18,4499,0
19,4499,0
20,4499,0
21,4499,0
1,4502,0
2,4502,0
3,4502,0
4,4502,0
5,4502,0
6,4502,0
7,4502,0
8,4502,0
9,4502,0
10,4502,0
11,4502,0
12,4502,0
13,4502,0
14,4502,0
15,4502,0
16,4502,0
17,4502,0
18,4502,0
19,4502,0
20,4502,0
2,4505,0
4,4505,0
5,4505,50000
6,4505,0
8,4505,0
9,4505,0
10,4505,0
11,4505,14000
12,4505,3000
13,4505,0
14,4505,0
15,4505,0
16,4505,5000
17,4505,0
18,4505,0
19,4505,0
20,4505,0
23,4505,5000
24,4505,0
25,4505,0
1,4509,2000
2,4509,5000
3,4509,3000
4,4509,3000
5,4509,3000
6,4509,2000
7,4509,5000
8,4509,3000
9,4509,84000
10,4509,7000
11,4509,2000
12,4509,2500
13,4509,2000
14,4509,3000
15,4509,3000
16,4509,5000
17,4509,4000
18,4509,2000
19,4509,5000
20,4509,3000
1,4512,2000
3,4512,2000
4,4512,2000
5,4512,0
6,4512,3000
7,4512,0
8,4512,3000
9,4512,1500
10,4512,10000
11,4512,35000
12,4512,1000
13,4512,1000
14,4512,1000
15,4512,0
17,4512,0
18,4512,1000
19,4512,2500
20,4512,2000
21,4512,1000
22,4512,0
1,4515,5000
2,4515,2000
3,4515,2000
4,4515,2000
5,4515,2400
6,4515,4000
7,4515,2000
8,4515,5000
9,4515,10000
10,4515,7000
11,4515,7000
12,4515,7000
13,4515,8000
14,4515,2000
15,4515,8000
16,4515,0
17,4515,5000
18,4515,18000
19,4515,20000
20,4515,0
1,4519,0
2,4519,0
3,4519,0
4,4519,0
5,4519,0
6,4519,5000
7,4519,0
8,4519,0
9,4519,0
10,4519,0
11,4519,7000
12,4519,0
13,4519,0
14,4519,0
15,4519,14500
16,4519,0
17,4519,0
18,4519,0
19,4519,0
20,4519,0
1,4522,0
2,4522,1000
3,4522,4000
4,4522,10000
5,4522,2500
6,4522,1500
7,4522,3500
8,4522,0
9,4522,3000
10,4522,0
11,4522,3500
12,4522,1500
13,4522,3000
14,4522,2500
15,4522,1500
16,4522,2500
17,4522,1500
18,4522,1500
19,4522,3500
20,4522,0
1,4525,0
2,4525,2000
3,4525,0
4,4525,3000
5,4525,0
6,4525,0
7,4525,0
8,4525,0
9,4525,0
10,4525,0
11,4525,0
12,4525,0
13,4525,0
14,4525,0
15,4525,30000
16,4525,0
17,4525,0
18,4525,0
19,4525,0
20,4525,0
1,4529,5000
2,4529,6000
3,4529,0
4,4529,4000
5,4529,0
6,4529,30000
7,4529,4000
8,4529,0
9,4529,0
10,4529,5000
11,4529,0
14,4529,0
15,4529,0
16,4529,0
17,4529,0
18,4529,0
19,4529,0
20,4529,0
21,4529,3000
22,4529,0
1,4532,0
2,4532,0
3,4532,0
4,4532,0
5,4532,0
6,4532,5000
7,4532,4000
8,4532,4000
9,4532,4000
10,4532,250000
11,4532,4000
12,4532,10000
13,4532,0
14,4532,0
15,4532,0
16,4532,0
17,4532,5000
18,4532,30000
19,4532,50000
20,4532,3000
1,4535,0
2,4535,0
3,4535,8000
4,4535,0
5,4535,0
6,4535,40000
7,4535,0
8,4535,0
9,4535,0
10,4535,50000
11,4535,0
12,4535,0
13,4535,0
14,4535,0
15,4535,10000
16,4535,5000
17,4535,0
18,4535,1000
19,4535,2500
20,4535,11500
1,4539,0
2,4539,0
3,4539,0
4,4539,0
5,4539,0
6,4539,0
7,4539,0
8,4539,0
9,4539,0
10,4539,0
11,4539,0
12,4539,0
13,4539,0
14,4539,0
15,4539,0
16,4539,0
17,4539,0
18,4539,0
19,4539,0
20,4539,0
1,4542,0
2,4542,2500
3,4542,5000
4,4542,3000
5,4542,6000
6,4542,5000
7,4542,2000
8,4542,9000
9,4542,1000
10,4542,1500
11,4542,4000
12,4542,1000
13,4542,4000
14,4542,2000
15,4542,5000
16,4542,1000
17,4542,0
18,4542,2000
19,4542,1000
20,4542,5000
1,4545,0
2,4545,0
3,4545,0
5,4545,0
6,4545,0
7,4545,0
8,4545,0
9,4545,0
10,4545,0
11,4545,0
12,4545,3000
13,4545,0
14,4545,0
15,4545,0
16,4545,0
17,4545,0
18,4545,0
19,4545,0
20,4545,0
21,4545,0
1,4549,0
2,4549,0
3,4549,0
4,4549,0
5,4549,0
6,4549,0
7,4549,10000
8,4549,0
9,4549,0
10,4549,0
11,4549,0
12,4549,0
13,4549,0
14,4549,0
15,4549,0
16,4549,0
17,4549,0
18,4549,0
19,4549,0
20,4549,0
1,4552,8000
2,4552,6000
3,4552,6500
4,4552,6500
5,4552,0
6,4552,8000
7,4552,5000
8,4552,7500
9,4552,6000
10,4552,6000
11,4552,6000
12,4552,6000
13,4552,3500
14,4552,0
15,4552,5000
16,4552,10000
17,4552,2000
18,4552,3500
19,4552,6800
20,4552,4500
1,4555,0
2,4555,1000
3,4555,0
4,4555,0
5,4555,0
6,4555,0
7,4555,0
8,4555,0
9,4555,0
10,4555,0
11,4555,0
12,4555,0
13,4555,0
14,4555,5000
15,4555,5000
16,4555,0
17,4555,0
18,4555,0
19,4555,0
20,4555,3e+05
1,4559,9500
2,4559,18000
3,4559,0
4,4559,10000
5,4559,5000
6,4559,3000
7,4559,10000
8,4559,0
9,4559,1000
10,4559,3000
11,4559,3000
12,4559,60000
13,4559,15000
14,4559,2000
15,4559,4000
16,4559,0
17,4559,5000
18,4559,20000
19,4559,0
20,4559,124000
1,4562,0
2,4562,0
3,4562,0
4,4562,0
5,4562,0
6,4562,0
7,4562,0
8,4562,0
9,4562,0
10,4562,0
11,4562,0
12,4562,0
13,4562,0
14,4562,0
15,4562,0
16,4562,0
17,4562,0
18,4562,0
19,4562,0
20,4562,0
1,4565,15000
2,4565,0
3,4565,0
5,4565,0
6,4565,0
7,4565,0
8,4565,0
9,4565,0
10,4565,0
11,4565,5000
12,4565,0
13,4565,0
14,4565,0
15,4565,15000
16,4565,0
17,4565,10000
18,4565,15000
19,4565,0
20,4565,20000
21,4565,0
1,4569,0
2,4569,0
3,4569,5000
4,4569,4000
5,4569,0
6,4569,0
7,4569,20000
8,4569,0
9,4569,0
10,4569,0
11,4569,0
12,4569,4000
13,4569,15000
14,4569,5000
15,4569,0
16,4569,2000
17,4569,3000
18,4569,2000
19,4569,0
20,4569,2000
1,4572,0
2,4572,0
3,4572,0
4,4572,0
5,4572,0
6,4572,0
7,4572,50000
8,4572,0
9,4572,0
10,4572,0
11,4572,0
12,4572,0
13,4572,0
14,4572,0
15,4572,0
16,4572,0
17,4572,0
18,4572,0
19,4572,0
20,4572,0
1,4575,0
2,4575,0
3,4575,0
4,4575,0
5,4575,0
6,4575,0
7,4575,0
8,4575,0
9,4575,0
10,4575,0
11,4575,0
12,4575,0
13,4575,0
14,4575,0
15,4575,0
16,4575,0
17,4575,0
18,4575,0
19,4575,0
20,4575,0
1,4579,2200
2,4579,2000
3,4579,0
5,4579,1500
6,4579,3000
7,4579,2000
8,4579,2000
9,4579,5000
10,4579,1000
11,4579,1000
12,4579,2000
13,4579,2000
15,4579,1000
16,4579,4000
17,4579,4000
18,4579,2000
19,4579,3000
20,4579,10000
21,4579,1000
22,4579,25000
1,4582,0
2,4582,0
3,4582,0
4,4582,0
5,4582,0
6,4582,0
7,4582,48000
8,4582,0
9,4582,0
10,4582,9200
11,4582,0
12,4582,0
13,4582,1200
14,4582,0
15,4582,12000
16,4582,0
17,4582,0
19,4582,0
20,4582,0
21,4582,0
1,4585,8000
2,4585,0
3,4585,0
4,4585,3000
5,4585,0
6,4585,0
7,4585,0
8,4585,0
9,4585,0
10,4585,4000
11,4585,4000
12,4585,0
13,4585,4000
14,4585,0
15,4585,1000
16,4585,2000
17,4585,0
18,4585,4000
19,4585,0
20,4585,0
1,4589,4000
2,4589,0
3,4589,0
4,4589,20000
7,4589,0
8,4589,2000
9,4589,2000
10,4589,4000
11,4589,0
12,4589,2000
13,4589,0
14,4589,4000
15,4589,0
16,4589,0
17,4589,4000
18,4589,6000
19,4589,4000
20,4589,2000
21,4589,8000
22,4589,2000
2,4592,0
3,4592,0
4,4592,0
5,4592,0
6,4592,0
7,4592,0
8,4592,0
9,4592,0
10,4592,0
12,4592,8000
13,4592,0
14,4592,0
15,4592,0
16,4592,0
17,4592,0
18,4592,0
19,4592,0
20,4592,0
24,4592,0
25,4592,18000
1,4595,0
2,4595,0
3,4595,0
4,4595,6000
5,4595,0
6,4595,0
7,4595,0
8,4595,0
9,4595,0
10,4595,0
11,4595,0
12,4595,48000
13,4595,0
14,4595,0
15,4595,0
16,4595,24000
17,4595,11000
18,4595,0
19,4595,180000
20,4595,0
1,4599,3000
3,4599,0
4,4599,2000
5,4599,1000
6,4599,3000
7,4599,1000
8,4599,2000
9,4599,1000
10,4599,2000
11,4599,2000
12,4599,1000
13,4599,2000
14,4599,12000
15,4599,0
16,4599,0
17,4599,1000
18,4599,3000
19,4599,3000
20,4599,4000
21,4599,1000
1,4602,0
2,4602,0
3,4602,0
4,4602,0
5,4602,0
6,4602,0
7,4602,0
8,4602,0
9,4602,0
10,4602,0
11,4602,0
12,4602,0
13,4602,0
14,4602,0
15,4602,0
16,4602,0
17,4602,0
18,4602,0
19,4602,0
20,4602,0
2,4605,0
4,4605,9000
5,4605,0
7,4605,12500
8,4605,21000
9,4605,5000
10,4605,0
11,4605,1500
14,4605,0
15,4605,2600
16,4605,0
17,4605,4200
18,4605,3000
19,4605,0
20,4605,0
21,4605,500
22,4605,2500
23,4605,2500
24,4605,2500
25,4605,0
1,4609,0
2,4609,2500
3,4609,0
4,4609,5000
5,4609,3000
6,4609,2500
7,4609,5000
8,4609,2500
9,4609,0
10,4609,2500
11,4609,6000
12,4609,5000
13,4609,2500
14,4609,8000
15,4609,10000
16,4609,2500
17,4609,1000
18,4609,3000
19,4609,1500
20,4609,2000
1,4612,6000
2,4612,16800
4,4612,12000
5,4612,6000
7,4612,6000
8,4612,6000
9,4612,10000
10,4612,10000
11,4612,16800
12,4612,6000
13,4612,10800
14,4612,0
15,4612,16000
16,4612,5000
17,4612,6000
18,4612,12000
19,4612,0
20,4612,6000
21,4612,60000
22,4612,18000
1,4615,0
2,4615,0
3,4615,0
4,4615,0
5,4615,0
7,4615,0
8,4615,0
9,4615,0
10,4615,0
11,4615,0
13,4615,0
14,4615,0
15,4615,0
16,4615,0
17,4615,0
19,4615,0
20,4615,0
21,4615,0
22,4615,0
23,4615,0
1,4619,6000
2,4619,6000
3,4619,4000
4,4619,4000
5,4619,4000
6,4619,10000
7,4619,0
8,4619,10000
9,4619,4000
10,4619,10000
11,4619,10000
12,4619,8000
13,4619,4000
14,4619,10000
15,4619,8000
16,4619,5000
17,4619,4000
18,4619,4000
19,4619,0
20,4619,6000
1,4622,5000
2,4622,0
3,4622,3000
4,4622,1500
5,4622,0
6,4622,1000
7,4622,4000
8,4622,0
9,4622,5000
10,4622,0
11,4622,1500
12,4622,0
13,4622,1500
14,4622,0
15,4622,0
16,4622,1500
17,4622,0
18,4622,0
19,4622,0
20,4622,0
1,4625,3000
2,4625,0
3,4625,13000
4,4625,50000
5,4625,3000
6,4625,8000
7,4625,8000
8,4625,0
9,4625,8000
10,4625,26000
11,4625,3000
12,4625,0
13,4625,8000
14,4625,3000
15,4625,3000
16,4625,8000
17,4625,3000
18,4625,6000
19,4625,80000
20,4625,0
1,4629,2400
2,4629,2400
4,4629,2400
5,4629,0
6,4629,2400
7,4629,2400
8,4629,6000
9,4629,2400
11,4629,2400
13,4629,2400
14,4629,2400
15,4629,2400
16,4629,2400
17,4629,2400
18,4629,2400
19,4629,2400
20,4629,2400
21,4629,2400
23,4629,2400
25,4629,2400
1,4632,0
2,4632,0
3,4632,0
4,4632,0
5,4632,0
