nh,clust,Source_of_item
20,4359,3
20,4359,1.74980057982641e+100
20,4359,1.74980057982641e+100
20,4359,3
21,4359,2
21,4359,1.74980057982641e+100
21,4359,1.74980057982641e+100
21,4359,3
22,4359,1
22,4359,3
22,4359,1
22,4359,1.74980057982641e+100
22,4359,1.74980057982641e+100
2,4362,1.74980057982641e+100
2,4362,1.74980057982641e+100
3,4362,1.74980057982641e+100
3,4362,1.74980057982641e+100
5,4362,1
5,4362,1
5,4362,1
5,4362,1.74980057982641e+100
5,4362,1.74980057982641e+100
6,4362,3
9,4362,1
9,4362,1.74980057982641e+100
15,4362,1
15,4362,1.74980057982641e+100
15,4362,1.74980057982641e+100
16,4362,1
16,4362,1.74980057982641e+100
18,4362,1.74980057982641e+100
19,4362,1
19,4362,1
19,4362,1.74980057982641e+100
20,4362,1
20,4362,1
20,4362,1.74980057982641e+100
20,4362,1.74980057982641e+100
22,4362,1.74980057982641e+100
25,4362,1.74980057982641e+100
1,4365,3
1,4365,1
1,4365,1.74980057982641e+100
1,4365,1
1,4365,1.74980057982641e+100
1,4365,1.74980057982641e+100
1,4365,1.74980057982641e+100
2,4365,3
2,4365,3
2,4365,1.74980057982641e+100
2,4365,1.74980057982641e+100
2,4365,1.74980057982641e+100
2,4365,1.74980057982641e+100
3,4365,3
3,4365,1.74980057982641e+100
4,4365,3
4,4365,1
4,4365,1.74980057982641e+100
4,4365,1.74980057982641e+100
4,4365,1.74980057982641e+100
5,4365,3
5,4365,3
5,4365,3
5,4365,3
5,4365,1.74980057982641e+100
6,4365,3
6,4365,1
6,4365,1.74980057982641e+100
6,4365,1.74980057982641e+100
6,4365,1.74980057982641e+100
6,4365,1.74980057982641e+100
7,4365,3
7,4365,1.74980057982641e+100
7,4365,1
7,4365,1.74980057982641e+100
7,4365,1.74980057982641e+100
7,4365,1.74980057982641e+100
7,4365,1.74980057982641e+100
7,4365,1.74980057982641e+100
8,4365,3
8,4365,1.74980057982641e+100
9,4365,3
9,4365,3
9,4365,1.74980057982641e+100
9,4365,1.74980057982641e+100
9,4365,1.74980057982641e+100
9,4365,1.74980057982641e+100
10,4365,3
10,4365,3
10,4365,3
10,4365,3
10,4365,1.74980057982641e+100
10,4365,1.74980057982641e+100
10,4365,1.74980057982641e+100
10,4365,1.74980057982641e+100
10,4365,3
11,4365,3
11,4365,1
11,4365,1.74980057982641e+100
11,4365,1.74980057982641e+100
11,4365,1.74980057982641e+100
12,4365,3
12,4365,1
12,4365,1.74980057982641e+100
12,4365,1.74980057982641e+100
13,4365,1.74980057982641e+100
13,4365,1.74980057982641e+100
14,4365,1
14,4365,1.74980057982641e+100
14,4365,1.74980057982641e+100
15,4365,1
15,4365,1.74980057982641e+100
15,4365,1.74980057982641e+100
16,4365,1
16,4365,1
16,4365,1.74980057982641e+100
16,4365,1.74980057982641e+100
16,4365,1.74980057982641e+100
17,4365,1
17,4365,1.74980057982641e+100
17,4365,1.74980057982641e+100
18,4365,1
18,4365,1.74980057982641e+100
18,4365,1.74980057982641e+100
18,4365,1.74980057982641e+100
18,4365,1.74980057982641e+100
19,4365,1
19,4365,1.74980057982641e+100
19,4365,1.74980057982641e+100
19,4365,1.74980057982641e+100
20,4365,1
20,4365,1.74980057982641e+100
20,4365,1.74980057982641e+100
20,4365,1.74980057982641e+100
1,4369,1
1,4369,1.74980057982641e+100
1,4369,1.74980057982641e+100
1,4369,1.74980057982641e+100
3,4369,1.74980057982641e+100
3,4369,1.74980057982641e+100
3,4369,1.74980057982641e+100
5,4369,1.74980057982641e+100
5,4369,1.74980057982641e+100
5,4369,1.74980057982641e+100
6,4369,1.74980057982641e+100
6,4369,1.74980057982641e+100
6,4369,1.74980057982641e+100
6,4369,1.74980057982641e+100
7,4369,1.74980057982641e+100
7,4369,1.74980057982641e+100
8,4369,3
8,4369,1.74980057982641e+100
9,4369,1.74980057982641e+100
9,4369,1.74980057982641e+100
10,4369,1
10,4369,1.74980057982641e+100
13,4369,1
13,4369,1
13,4369,1.74980057982641e+100
13,4369,1.74980057982641e+100
13,4369,1.74980057982641e+100
13,4369,1.74980057982641e+100
13,4369,1.74980057982641e+100
14,4369,1
14,4369,1
14,4369,1
14,4369,1.74980057982641e+100
14,4369,1.74980057982641e+100
14,4369,1.74980057982641e+100
15,4369,1.74980057982641e+100
15,4369,1.74980057982641e+100
15,4369,1.74980057982641e+100
16,4369,1.74980057982641e+100
16,4369,1.74980057982641e+100
16,4369,1.74980057982641e+100
17,4369,1
17,4369,1
17,4369,1.74980057982641e+100
17,4369,1.74980057982641e+100
17,4369,1.74980057982641e+100
18,4369,1.74980057982641e+100
18,4369,1.74980057982641e+100
18,4369,1.74980057982641e+100
19,4369,1.74980057982641e+100
19,4369,1.74980057982641e+100
19,4369,1.74980057982641e+100
21,4369,1
21,4369,1
21,4369,1
21,4369,1.74980057982641e+100
21,4369,1.74980057982641e+100
21,4369,1.74980057982641e+100
21,4369,1.74980057982641e+100
22,4369,1
22,4369,1
22,4369,1.74980057982641e+100
22,4369,1.74980057982641e+100
22,4369,1.74980057982641e+100
22,4369,1.74980057982641e+100
23,4369,1
23,4369,1
23,4369,1
23,4369,1.74980057982641e+100
23,4369,1.74980057982641e+100
23,4369,1.74980057982641e+100
24,4369,1.74980057982641e+100
24,4369,1.74980057982641e+100
24,4369,1.74980057982641e+100
24,4369,1.74980057982641e+100
1,4372,3
1,4372,1.74980057982641e+100
1,4372,1
1,4372,1.74980057982641e+100
1,4372,1.74980057982641e+100
1,4372,1.74980057982641e+100
1,4372,1.74980057982641e+100
1,4372,1.74980057982641e+100
2,4372,3
2,4372,1.74980057982641e+100
2,4372,1.74980057982641e+100
2,4372,1.74980057982641e+100
3,4372,1.74980057982641e+100
3,4372,1.74980057982641e+100
4,4372,2
4,4372,1.74980057982641e+100
4,4372,1.74980057982641e+100
4,4372,1.74980057982641e+100
5,4372,1.74980057982641e+100
5,4372,1.74980057982641e+100
5,4372,1.74980057982641e+100
5,4372,1.74980057982641e+100
6,4372,3
6,4372,3
6,4372,1.74980057982641e+100
6,4372,1.74980057982641e+100
7,4372,1
7,4372,1
7,4372,1.74980057982641e+100
7,4372,1.74980057982641e+100
7,4372,1.74980057982641e+100
8,4372,3
8,4372,1
8,4372,1
8,4372,1.74980057982641e+100
8,4372,1.74980057982641e+100
8,4372,1.74980057982641e+100
9,4372,1
9,4372,1
9,4372,1.74980057982641e+100
9,4372,1.74980057982641e+100
9,4372,1.74980057982641e+100
10,4372,3
10,4372,1.74980057982641e+100
10,4372,1.74980057982641e+100
10,4372,1.74980057982641e+100
11,4372,3
11,4372,1
11,4372,1.74980057982641e+100
11,4372,1.74980057982641e+100
11,4372,1.74980057982641e+100
12,4372,1.74980057982641e+100
12,4372,1.74980057982641e+100
13,4372,1.74980057982641e+100
13,4372,1.74980057982641e+100
13,4372,1.74980057982641e+100
16,4372,1.74980057982641e+100
16,4372,1.74980057982641e+100
17,4372,3
17,4372,1.74980057982641e+100
17,4372,1.74980057982641e+100
17,4372,1.74980057982641e+100
18,4372,1.74980057982641e+100
18,4372,1.74980057982641e+100
19,4372,1.74980057982641e+100
19,4372,3
19,4372,1.74980057982641e+100
19,4372,1.74980057982641e+100
20,4372,1.74980057982641e+100
21,4372,3
21,4372,1.74980057982641e+100
21,4372,1.74980057982641e+100
1,4375,3
1,4375,1.74980057982641e+100
1,4375,1.74980057982641e+100
2,4375,3
2,4375,1.74980057982641e+100
2,4375,1.74980057982641e+100
2,4375,1.74980057982641e+100
2,4375,1.74980057982641e+100
2,4375,1.74980057982641e+100
2,4375,1.74980057982641e+100
3,4375,3
3,4375,1.74980057982641e+100
3,4375,1
3,4375,1.74980057982641e+100
3,4375,1.74980057982641e+100
5,4375,1
5,4375,1.74980057982641e+100
5,4375,1.74980057982641e+100
5,4375,1.74980057982641e+100
6,4375,1
6,4375,1.74980057982641e+100
6,4375,1.74980057982641e+100
6,4375,1.74980057982641e+100
6,4375,1.74980057982641e+100
6,4375,1.74980057982641e+100
7,4375,1.74980057982641e+100
8,4375,1.74980057982641e+100
9,4375,1
9,4375,1.74980057982641e+100
9,4375,1.74980057982641e+100
9,4375,1.74980057982641e+100
10,4375,1.74980057982641e+100
10,4375,1.74980057982641e+100
10,4375,1.74980057982641e+100
10,4375,1.74980057982641e+100
11,4375,1.74980057982641e+100
11,4375,1.74980057982641e+100
12,4375,1
12,4375,1
12,4375,1.74980057982641e+100
12,4375,1.74980057982641e+100
12,4375,1.74980057982641e+100
12,4375,3
12,4375,1.74980057982641e+100
13,4375,1
13,4375,1
13,4375,1
13,4375,1.74980057982641e+100
13,4375,1
13,4375,2
13,4375,1.74980057982641e+100
14,4375,1.74980057982641e+100
14,4375,1.74980057982641e+100
15,4375,1.74980057982641e+100
15,4375,1.74980057982641e+100
15,4375,1.74980057982641e+100
16,4375,3
16,4375,1.74980057982641e+100
16,4375,1.74980057982641e+100
16,4375,1.74980057982641e+100
16,4375,1.74980057982641e+100
17,4375,1.74980057982641e+100
17,4375,1.74980057982641e+100
18,4375,1
18,4375,1
18,4375,1.74980057982641e+100
18,4375,1.74980057982641e+100
18,4375,1
19,4375,1
19,4375,1.74980057982641e+100
19,4375,1
19,4375,1.74980057982641e+100
19,4375,1.74980057982641e+100
20,4375,3
20,4375,1
20,4375,1.74980057982641e+100
20,4375,1.74980057982641e+100
20,4375,1.74980057982641e+100
20,4375,1.74980057982641e+100
1,4379,1
1,4379,1.74980057982641e+100
1,4379,1
1,4379,1.74980057982641e+100
1,4379,1.74980057982641e+100
2,4379,1
2,4379,1
2,4379,1.74980057982641e+100
3,4379,1
3,4379,1.74980057982641e+100
3,4379,1.74980057982641e+100
4,4379,1.74980057982641e+100
4,4379,1.74980057982641e+100
5,4379,3
5,4379,1
5,4379,1.74980057982641e+100
5,4379,1
5,4379,1.74980057982641e+100
5,4379,1.74980057982641e+100
6,4379,1.74980057982641e+100
6,4379,1.74980057982641e+100
7,4379,1.74980057982641e+100
8,4379,1
8,4379,1.74980057982641e+100
9,4379,3
9,4379,3
9,4379,1.74980057982641e+100
9,4379,1.74980057982641e+100
9,4379,1.74980057982641e+100
9,4379,1.74980057982641e+100
9,4379,3
9,4379,1.74980057982641e+100
9,4379,1.74980057982641e+100
9,4379,1.74980057982641e+100
10,4379,1.74980057982641e+100
10,4379,1
10,4379,1.74980057982641e+100
10,4379,1.74980057982641e+100
10,4379,1.74980057982641e+100
11,4379,1.74980057982641e+100
12,4379,3
12,4379,3
12,4379,1
12,4379,1.74980057982641e+100
12,4379,1.74980057982641e+100
12,4379,1.74980057982641e+100
13,4379,1
13,4379,1.74980057982641e+100
13,4379,1.74980057982641e+100
14,4379,1.74980057982641e+100
14,4379,1.74980057982641e+100
15,4379,3
15,4379,1
15,4379,1.74980057982641e+100
15,4379,1.74980057982641e+100
15,4379,1.74980057982641e+100
16,4379,3
16,4379,1
16,4379,1.74980057982641e+100
16,4379,1.74980057982641e+100
16,4379,1.74980057982641e+100
17,4379,3
17,4379,1
17,4379,1.74980057982641e+100
17,4379,1.74980057982641e+100
17,4379,1.74980057982641e+100
17,4379,1
17,4379,3
17,4379,1.74980057982641e+100
18,4379,3
18,4379,1
18,4379,1.74980057982641e+100
18,4379,1
18,4379,1.74980057982641e+100
18,4379,1.74980057982641e+100
19,4379,3
19,4379,1
19,4379,1.74980057982641e+100
19,4379,1.74980057982641e+100
19,4379,1.74980057982641e+100
20,4379,3
20,4379,1
20,4379,1.74980057982641e+100
20,4379,1
20,4379,1.74980057982641e+100
20,4379,1.74980057982641e+100
20,4379,3
20,4379,1.74980057982641e+100
1,4382,1
1,4382,1.74980057982641e+100
1,4382,1.74980057982641e+100
1,4382,1.74980057982641e+100
2,4382,1
2,4382,1
2,4382,1.74980057982641e+100
3,4382,3
3,4382,1.74980057982641e+100
3,4382,1.74980057982641e+100
4,4382,1
4,4382,1
4,4382,1.74980057982641e+100
4,4382,1.74980057982641e+100
4,4382,3
4,4382,1.74980057982641e+100
4,4382,1
5,4382,1
5,4382,1.74980057982641e+100
5,4382,1
5,4382,1.74980057982641e+100
5,4382,1.74980057982641e+100
5,4382,3
5,4382,1.74980057982641e+100
5,4382,1.74980057982641e+100
6,4382,1.74980057982641e+100
6,4382,1.74980057982641e+100
7,4382,1
7,4382,1.74980057982641e+100
7,4382,1.74980057982641e+100
8,4382,1.74980057982641e+100
10,4382,1.74980057982641e+100
10,4382,1.74980057982641e+100
11,4382,1.74980057982641e+100
12,4382,1.74980057982641e+100
13,4382,1.74980057982641e+100
13,4382,1.74980057982641e+100
14,4382,1.74980057982641e+100
14,4382,1.74980057982641e+100
15,4382,1.74980057982641e+100
16,4382,1.74980057982641e+100
17,4382,1.74980057982641e+100
18,4382,1.74980057982641e+100
18,4382,1.74980057982641e+100
18,4382,1.74980057982641e+100
19,4382,1
19,4382,1
19,4382,1.74980057982641e+100
20,4382,1
1,4385,1
1,4385,3
1,4385,1
1,4385,1.74980057982641e+100
1,4385,1
1,4385,1
1,4385,1.74980057982641e+100
1,4385,1.74980057982641e+100
1,4385,1.74980057982641e+100
1,4385,1.74980057982641e+100
1,4385,1.74980057982641e+100
1,4385,1
2,4385,3
2,4385,3
2,4385,3
2,4385,1
2,4385,1.74980057982641e+100
2,4385,1.74980057982641e+100
2,4385,1.74980057982641e+100
2,4385,1.74980057982641e+100
3,4385,1
3,4385,1.74980057982641e+100
4,4385,1
4,4385,1
4,4385,1.74980057982641e+100
4,4385,1.74980057982641e+100
5,4385,3
5,4385,1
5,4385,1.74980057982641e+100
5,4385,1.74980057982641e+100
5,4385,1.74980057982641e+100
5,4385,1.74980057982641e+100
6,4385,1
6,4385,1.74980057982641e+100
6,4385,1.74980057982641e+100
7,4385,3
7,4385,1
7,4385,1.74980057982641e+100
7,4385,1.74980057982641e+100
7,4385,1.74980057982641e+100
7,4385,1.74980057982641e+100
8,4385,3
8,4385,1
8,4385,1.74980057982641e+100
9,4385,3
9,4385,1
9,4385,1.74980057982641e+100
9,4385,1.74980057982641e+100
9,4385,1.74980057982641e+100
9,4385,1.74980057982641e+100
10,4385,3
10,4385,1.74980057982641e+100
11,4385,3
11,4385,3
11,4385,1.74980057982641e+100
11,4385,1.74980057982641e+100
11,4385,1.74980057982641e+100
12,4385,2
12,4385,1.74980057982641e+100
12,4385,1.74980057982641e+100
12,4385,1.74980057982641e+100
13,4385,3
13,4385,1.74980057982641e+100
13,4385,1
13,4385,1
13,4385,1.74980057982641e+100
13,4385,1.74980057982641e+100
13,4385,1.74980057982641e+100
13,4385,1.74980057982641e+100
13,4385,3
13,4385,1.74980057982641e+100
14,4385,3
14,4385,1
14,4385,1.74980057982641e+100
14,4385,1.74980057982641e+100
14,4385,1.74980057982641e+100
14,4385,1.74980057982641e+100
15,4385,1.74980057982641e+100
15,4385,1.74980057982641e+100
16,4385,1
16,4385,1.74980057982641e+100
16,4385,1.74980057982641e+100
17,4385,3
17,4385,3
17,4385,1
17,4385,1.74980057982641e+100
17,4385,1.74980057982641e+100
17,4385,1.74980057982641e+100
17,4385,1.74980057982641e+100
18,4385,1
18,4385,1
18,4385,1.74980057982641e+100
18,4385,1.74980057982641e+100
19,4385,3
19,4385,3
19,4385,1.74980057982641e+100
19,4385,3
19,4385,1
19,4385,1.74980057982641e+100
19,4385,1.74980057982641e+100
19,4385,1.74980057982641e+100
19,4385,1.74980057982641e+100
20,4385,3
20,4385,1
20,4385,1.74980057982641e+100
20,4385,1.74980057982641e+100
20,4385,1.74980057982641e+100
1,4389,3
1,4389,3
1,4389,1.74980057982641e+100
1,4389,1.74980057982641e+100
2,4389,3
2,4389,1.74980057982641e+100
2,4389,1
2,4389,1
2,4389,1.74980057982641e+100
2,4389,1.74980057982641e+100
2,4389,3
2,4389,1.74980057982641e+100
3,4389,3
3,4389,1
3,4389,1.74980057982641e+100
3,4389,1.74980057982641e+100
3,4389,1.74980057982641e+100
4,4389,3
4,4389,3
4,4389,1.74980057982641e+100
4,4389,1
4,4389,1.74980057982641e+100
4,4389,1.74980057982641e+100
4,4389,1.74980057982641e+100
4,4389,1.74980057982641e+100
5,4389,3
5,4389,3
5,4389,1.74980057982641e+100
5,4389,3
5,4389,1
5,4389,1.74980057982641e+100
5,4389,1
5,4389,1.74980057982641e+100
5,4389,1.74980057982641e+100
5,4389,3
6,4389,3
6,4389,1
6,4389,1.74980057982641e+100
6,4389,1.74980057982641e+100
6,4389,2
6,4389,1.74980057982641e+100
7,4389,3
7,4389,3
7,4389,1.74980057982641e+100
7,4389,1
7,4389,1.74980057982641e+100
7,4389,1.74980057982641e+100
7,4389,1.74980057982641e+100
7,4389,1.74980057982641e+100
7,4389,1.74980057982641e+100
8,4389,3
8,4389,3
8,4389,3
8,4389,1
8,4389,1.74980057982641e+100
8,4389,1
8,4389,1.74980057982641e+100
8,4389,1.74980057982641e+100
9,4389,3
9,4389,3
9,4389,1.74980057982641e+100
9,4389,3
9,4389,1
9,4389,1.74980057982641e+100
9,4389,1.74980057982641e+100
9,4389,1.74980057982641e+100
9,4389,1.74980057982641e+100
9,4389,3
9,4389,3
10,4389,3
10,4389,1.74980057982641e+100
11,4389,3
11,4389,3
11,4389,1.74980057982641e+100
11,4389,3
11,4389,1
11,4389,1.74980057982641e+100
11,4389,1.74980057982641e+100
11,4389,1.74980057982641e+100
11,4389,1.74980057982641e+100
11,4389,3
12,4389,1
12,4389,1.74980057982641e+100
12,4389,1.74980057982641e+100
13,4389,3
13,4389,1.74980057982641e+100
13,4389,1.74980057982641e+100
13,4389,1.74980057982641e+100
14,4389,1.74980057982641e+100
15,4389,3
15,4389,3
15,4389,3
15,4389,1.74980057982641e+100
15,4389,1.74980057982641e+100
15,4389,1.74980057982641e+100
15,4389,1.74980057982641e+100
16,4389,3
16,4389,3
16,4389,3
16,4389,1
16,4389,1.74980057982641e+100
16,4389,1.74980057982641e+100
16,4389,1.74980057982641e+100
16,4389,1.74980057982641e+100
16,4389,3
17,4389,3
17,4389,3
17,4389,1.74980057982641e+100
17,4389,3
17,4389,1
17,4389,1.74980057982641e+100
17,4389,1.74980057982641e+100
17,4389,1.74980057982641e+100
18,4389,3
18,4389,3
18,4389,3
18,4389,1
18,4389,1.74980057982641e+100
18,4389,1.74980057982641e+100
19,4389,3
19,4389,1
19,4389,1.74980057982641e+100
19,4389,1
19,4389,1.74980057982641e+100
19,4389,1.74980057982641e+100
19,4389,1.74980057982641e+100
20,4389,3
20,4389,1
20,4389,1.74980057982641e+100
20,4389,1.74980057982641e+100
20,4389,1.74980057982641e+100
20,4389,1.74980057982641e+100
1,4392,1
1,4392,1.74980057982641e+100
1,4392,1.74980057982641e+100
2,4392,3
2,4392,1.74980057982641e+100
2,4392,1.74980057982641e+100
2,4392,1.74980057982641e+100
2,4392,1.74980057982641e+100
2,4392,1.74980057982641e+100
2,4392,1.74980057982641e+100
3,4392,1
3,4392,1
3,4392,1.74980057982641e+100
3,4392,1.74980057982641e+100
3,4392,1.74980057982641e+100
3,4392,1.74980057982641e+100
4,4392,1.74980057982641e+100
5,4392,3
5,4392,1
5,4392,1
5,4392,1.74980057982641e+100
5,4392,1.74980057982641e+100
5,4392,1.74980057982641e+100
5,4392,1.74980057982641e+100
5,4392,1
5,4392,1.74980057982641e+100
5,4392,1.74980057982641e+100
6,4392,1
6,4392,1.74980057982641e+100
7,4392,1
7,4392,1.74980057982641e+100
7,4392,1.74980057982641e+100
7,4392,1.74980057982641e+100
7,4392,1.74980057982641e+100
8,4392,1.74980057982641e+100
9,4392,3
9,4392,1.74980057982641e+100
9,4392,1.74980057982641e+100
9,4392,1.74980057982641e+100
10,4392,1.74980057982641e+100
11,4392,3
11,4392,1
11,4392,1.74980057982641e+100
11,4392,1.74980057982641e+100
11,4392,1.74980057982641e+100
12,4392,3
12,4392,3
12,4392,1
12,4392,1
12,4392,1.74980057982641e+100
12,4392,1.74980057982641e+100
12,4392,1.74980057982641e+100
12,4392,1.74980057982641e+100
12,4392,1.74980057982641e+100
12,4392,1.74980057982641e+100
12,4392,1
12,4392,1.74980057982641e+100
13,4392,3
13,4392,1
13,4392,1.74980057982641e+100
13,4392,1.74980057982641e+100
13,4392,1.74980057982641e+100
13,4392,1.74980057982641e+100
13,4392,1.74980057982641e+100
13,4392,1.74980057982641e+100
14,4392,3
14,4392,1.74980057982641e+100
14,4392,1.74980057982641e+100
14,4392,1.74980057982641e+100
14,4392,1.74980057982641e+100
14,4392,1.74980057982641e+100
15,4392,3
15,4392,1
15,4392,1
15,4392,1.74980057982641e+100
15,4392,1.74980057982641e+100
15,4392,1.74980057982641e+100
15,4392,1.74980057982641e+100
16,4392,3
16,4392,3
16,4392,1.74980057982641e+100
16,4392,1.74980057982641e+100
16,4392,1.74980057982641e+100
16,4392,1.74980057982641e+100
16,4392,1.74980057982641e+100
16,4392,3
16,4392,3
16,4392,1.74980057982641e+100
17,4392,1
17,4392,1.74980057982641e+100
17,4392,1.74980057982641e+100
17,4392,1.74980057982641e+100
18,4392,3
18,4392,1.74980057982641e+100
18,4392,1.74980057982641e+100
18,4392,1.74980057982641e+100
18,4392,1.74980057982641e+100
19,4392,1.74980057982641e+100
19,4392,1.74980057982641e+100
20,4392,1
20,4392,1.74980057982641e+100
20,4392,1.74980057982641e+100
1,4395,1.74980057982641e+100
1,4395,1.74980057982641e+100
1,4395,1.74980057982641e+100
1,4395,1.74980057982641e+100
2,4395,3
2,4395,1.74980057982641e+100
2,4395,1.74980057982641e+100
2,4395,1.74980057982641e+100
2,4395,1.74980057982641e+100
3,4395,3
3,4395,1.74980057982641e+100
3,4395,1.74980057982641e+100
4,4395,1.74980057982641e+100
4,4395,1.74980057982641e+100
4,4395,1
4,4395,1.74980057982641e+100
4,4395,1.74980057982641e+100
5,4395,1
5,4395,1.74980057982641e+100
5,4395,1.74980057982641e+100
5,4395,1.74980057982641e+100
5,4395,1.74980057982641e+100
5,4395,1.74980057982641e+100
5,4395,1.74980057982641e+100
6,4395,1
6,4395,1.74980057982641e+100
6,4395,1.74980057982641e+100
7,4395,2
7,4395,1
7,4395,1.74980057982641e+100
7,4395,1.74980057982641e+100
7,4395,1.74980057982641e+100
7,4395,1.74980057982641e+100
7,4395,1.74980057982641e+100
7,4395,1.74980057982641e+100
8,4395,3
8,4395,1.74980057982641e+100
8,4395,1.74980057982641e+100
8,4395,1.74980057982641e+100
8,4395,1.74980057982641e+100
8,4395,1.74980057982641e+100
9,4395,3
9,4395,1.74980057982641e+100
9,4395,1.74980057982641e+100
9,4395,1.74980057982641e+100
9,4395,1.74980057982641e+100
9,4395,1.74980057982641e+100
9,4395,1
9,4395,1.74980057982641e+100
9,4395,1.74980057982641e+100
10,4395,1.74980057982641e+100
10,4395,1.74980057982641e+100
11,4395,2
11,4395,1
11,4395,1.74980057982641e+100
11,4395,1.74980057982641e+100
11,4395,1.74980057982641e+100
11,4395,1.74980057982641e+100
12,4395,1.74980057982641e+100
12,4395,1.74980057982641e+100
13,4395,1.74980057982641e+100
13,4395,1
13,4395,1.74980057982641e+100
13,4395,1.74980057982641e+100
14,4395,2
14,4395,1.74980057982641e+100
14,4395,1.74980057982641e+100
14,4395,1.74980057982641e+100
14,4395,1.74980057982641e+100
14,4395,1
15,4395,3
15,4395,1.74980057982641e+100
16,4395,1.74980057982641e+100
17,4395,3
17,4395,1.74980057982641e+100
17,4395,1.74980057982641e+100
17,4395,1
18,4395,3
18,4395,1.74980057982641e+100
18,4395,1.74980057982641e+100
18,4395,1.74980057982641e+100
18,4395,1.74980057982641e+100
19,4395,1.74980057982641e+100
19,4395,1.74980057982641e+100
20,4395,1.74980057982641e+100
20,4395,1.74980057982641e+100
1,4399,1
1,4399,1
1,4399,1
1,4399,1.74980057982641e+100
1,4399,1.74980057982641e+100
1,4399,1.74980057982641e+100
1,4399,1.74980057982641e+100
2,4399,1
2,4399,1.74980057982641e+100
2,4399,1.74980057982641e+100
2,4399,1.74980057982641e+100
2,4399,1.74980057982641e+100
2,4399,1.74980057982641e+100
3,4399,1.74980057982641e+100
3,4399,1.74980057982641e+100
3,4399,1.74980057982641e+100
4,4399,1.74980057982641e+100
4,4399,1.74980057982641e+100
4,4399,1.74980057982641e+100
5,4399,1
5,4399,1
5,4399,3
5,4399,1
5,4399,1.74980057982641e+100
5,4399,1.74980057982641e+100
5,4399,1.74980057982641e+100
6,4399,1
6,4399,1
6,4399,1
6,4399,1.74980057982641e+100
6,4399,1.74980057982641e+100
6,4399,1.74980057982641e+100
7,4399,3
7,4399,1
7,4399,1.74980057982641e+100
7,4399,1.74980057982641e+100
7,4399,1.74980057982641e+100
8,4399,1
8,4399,1
8,4399,1.74980057982641e+100
8,4399,1.74980057982641e+100
8,4399,1.74980057982641e+100
8,4399,1.74980057982641e+100
8,4399,1.74980057982641e+100
9,4399,1
9,4399,1
9,4399,1.74980057982641e+100
9,4399,1.74980057982641e+100
9,4399,1.74980057982641e+100
9,4399,1.74980057982641e+100
9,4399,1
10,4399,1
10,4399,1
10,4399,1.74980057982641e+100
10,4399,1.74980057982641e+100
11,4399,1
11,4399,1.74980057982641e+100
11,4399,1.74980057982641e+100
11,4399,1
12,4399,3
12,4399,1
12,4399,1.74980057982641e+100
12,4399,1.74980057982641e+100
12,4399,1.74980057982641e+100
12,4399,1.74980057982641e+100
12,4399,1.74980057982641e+100
12,4399,1.74980057982641e+100
12,4399,1.74980057982641e+100
13,4399,1
13,4399,1
13,4399,1.74980057982641e+100
13,4399,1.74980057982641e+100
13,4399,1.74980057982641e+100
13,4399,1.74980057982641e+100
13,4399,2
13,4399,1
13,4399,1.74980057982641e+100
14,4399,1.74980057982641e+100
15,4399,1
15,4399,1
15,4399,1.74980057982641e+100
15,4399,1.74980057982641e+100
15,4399,1
15,4399,1.74980057982641e+100
16,4399,3
16,4399,1
16,4399,1.74980057982641e+100
16,4399,1.74980057982641e+100
16,4399,1.74980057982641e+100
16,4399,1.74980057982641e+100
16,4399,1.74980057982641e+100
16,4399,1.74980057982641e+100
16,4399,1
16,4399,1.74980057982641e+100
17,4399,1
17,4399,1.74980057982641e+100
17,4399,1.74980057982641e+100
17,4399,1.74980057982641e+100
17,4399,1
18,4399,1
18,4399,3
18,4399,1.74980057982641e+100
18,4399,1.74980057982641e+100
18,4399,1.74980057982641e+100
18,4399,3
18,4399,2
18,4399,1.74980057982641e+100
19,4399,1
19,4399,1.74980057982641e+100
19,4399,1.74980057982641e+100
19,4399,1.74980057982641e+100
20,4399,3
20,4399,3
20,4399,1
20,4399,1
20,4399,1.74980057982641e+100
20,4399,1.74980057982641e+100
20,4399,1.74980057982641e+100
20,4399,1.74980057982641e+100
20,4399,1.74980057982641e+100
20,4399,1.74980057982641e+100
20,4399,1
20,4399,1
20,4399,1.74980057982641e+100
20,4399,1.74980057982641e+100
1,4402,3
1,4402,1.74980057982641e+100
1,4402,1.74980057982641e+100
2,4402,3
2,4402,1.74980057982641e+100
2,4402,1.74980057982641e+100
3,4402,3
3,4402,5
3,4402,1.74980057982641e+100
3,4402,1.74980057982641e+100
3,4402,1.74980057982641e+100
4,4402,3
4,4402,5
4,4402,1.74980057982641e+100
4,4402,1.74980057982641e+100
5,4402,5
5,4402,3
5,4402,1.74980057982641e+100
5,4402,1.74980057982641e+100
5,4402,3
6,4402,3
6,4402,1.74980057982641e+100
6,4402,1.74980057982641e+100
7,4402,1.74980057982641e+100
8,4402,1.74980057982641e+100
8,4402,1.74980057982641e+100
9,4402,3
9,4402,3
9,4402,1.74980057982641e+100
9,4402,1.74980057982641e+100
9,4402,1.74980057982641e+100
9,4402,1.74980057982641e+100
9,4402,1.74980057982641e+100
10,4402,3
10,4402,5
10,4402,1.74980057982641e+100
10,4402,1.74980057982641e+100
11,4402,3
11,4402,5
11,4402,1.74980057982641e+100
