nh,clust,Source_of_item
13,4022,1.74980057982641e+100
13,4022,1.74980057982641e+100
14,4022,1
14,4022,1
14,4022,1.74980057982641e+100
14,4022,1.74980057982641e+100
14,4022,3
14,4022,1.74980057982641e+100
14,4022,1.74980057982641e+100
14,4022,1.74980057982641e+100
15,4022,1
15,4022,1
15,4022,1.74980057982641e+100
15,4022,1.74980057982641e+100
16,4022,1
16,4022,1.74980057982641e+100
17,4022,1
17,4022,1.74980057982641e+100
18,4022,1
18,4022,1.74980057982641e+100
19,4022,1.74980057982641e+100
19,4022,1.74980057982641e+100
19,4022,1.74980057982641e+100
20,4022,1
20,4022,1.74980057982641e+100
20,4022,1.74980057982641e+100
20,4022,1.74980057982641e+100
20,4022,1.74980057982641e+100
1,4025,1
2,4025,1
3,4025,1
6,4025,1
10,4025,1
13,4025,1
14,4025,1
2,4029,1.74980057982641e+100
3,4029,1.74980057982641e+100
4,4029,1
4,4029,1.74980057982641e+100
5,4029,1
5,4029,1.74980057982641e+100
8,4029,3
8,4029,1
8,4029,1.74980057982641e+100
11,4029,3
11,4029,1.74980057982641e+100
12,4029,1.74980057982641e+100
15,4029,3
15,4029,3
15,4029,1.74980057982641e+100
15,4029,1.74980057982641e+100
15,4029,1.74980057982641e+100
16,4029,1.74980057982641e+100
1,4032,1.74980057982641e+100
2,4032,1
2,4032,1.74980057982641e+100
2,4032,1.74980057982641e+100
3,4032,1.74980057982641e+100
3,4032,1.74980057982641e+100
4,4032,1
4,4032,1.74980057982641e+100
4,4032,1.74980057982641e+100
4,4032,1.74980057982641e+100
4,4032,1
5,4032,1.74980057982641e+100
6,4032,1.74980057982641e+100
7,4032,1.74980057982641e+100
8,4032,1.74980057982641e+100
9,4032,1.74980057982641e+100
9,4032,1.74980057982641e+100
10,4032,1.74980057982641e+100
10,4032,1.74980057982641e+100
10,4032,1.74980057982641e+100
11,4032,1.74980057982641e+100
12,4032,1.74980057982641e+100
12,4032,1.74980057982641e+100
13,4032,1.74980057982641e+100
14,4032,1.74980057982641e+100
14,4032,1.74980057982641e+100
15,4032,1.74980057982641e+100
15,4032,1.74980057982641e+100
16,4032,1.74980057982641e+100
17,4032,1.74980057982641e+100
19,4032,1.74980057982641e+100
19,4032,1.74980057982641e+100
20,4032,1.74980057982641e+100
20,4032,1.74980057982641e+100
1,4035,1.74980057982641e+100
2,4035,1.74980057982641e+100
2,4035,1.74980057982641e+100
2,4035,3
