nh,clust,Doing_same_work,Father_do_same_work,Work_for_whom
5,4750,1,1,1
15,4750,1,1,1
16,4750,1,1,1
24,4750,1,2,8
1,4752,1,2,9
2,4752,1,2,9
5,4752,1,1,9
9,4752,1,2,9
12,4752,1,1,4
13,4752,2,1,9
14,4752,1,2,9
15,4752,1,1,9
17,4752,1,1,9
19,4752,1,1,9
20,4752,2,2,9
22,4752,1,2,7
2,4755,1,1,1
5,4755,1,2,2
6,4755,2,2,9
7,4755,1,1,1
8,4755,2,2,9
9,4755,1,1,1
10,4755,1,2,9
11,4755,1,2,1
12,4755,2,1,1
13,4755,1,1,1
15,4755,1,2,9
16,4755,1,2,9
18,4755,1,1,1
19,4755,1,2,9
1,4759,1,1,1
4,4759,1,1,1
5,4759,1,2,9
8,4759,1,1,1
13,4759,1,2,9
14,4759,1,1,1
18,4759,1,1,1
20,4759,1,1,1
1,4762,1,1,1
3,4762,1,1,1
11,4762,1,1,1
15,4762,1,1,1
18,4762,1,1,1
22,4762,1,1,1
5,4765,1,1,1
6,4765,1,1,1
16,4765,1,1,1
3,4769,1,2,9
1,4772,1,1,1
5,4772,1,2,9
6,4772,1,2,9
12,4772,1,1,1
18,4772,1,2,10
2,4775,1,2,9
3,4775,1,2,9
4,4775,1,1,1
6,4775,1,1,1
13,4775,1,1,1
15,4775,1,1,1
2,4779,1,1,1
3,4779,1,1,1
5,4779,1,1,1
6,4779,1,1,1
7,4779,1,1,8
8,4779,1,1,1
13,4779,1,1,1
14,4779,1,1,1
15,4779,1,1,1
17,4779,1,2,9
18,4779,1,1,1
19,4779,1,1,1
1,4782,2,2,1
2,4782,1,2,9
4,4782,1,1,1
5,4782,1,1,1
8,4782,1,2,9
9,4782,1,2,1
10,4782,1,1,1
14,4782,1,2,1
15,4782,1,1,1
16,4782,1,2,1
17,4782,1,2,1
18,4782,1,2,9
20,4782,2,1,9
6,4785,1,1,1
21,4785,1,1,1
23,4785,1,1,1
4,4790,1,1,1
8,4790,1,1,1
12,4790,1,2,9
16,4790,1,2,9
17,4790,1,1,2
19,4790,1,2,9
24,4790,1,2,11
25,4790,1,2,9
4,4792,1,1,9
6,4792,1,2,9
7,4792,1,1,9
8,4792,1,2,9
12,4792,1,2,9
13,4792,2,2,9
15,4792,1,2,9
16,4792,1,2,9
17,4792,1,2,9
18,4792,1,1,1
2,4795,1,1,1
4,4795,1,1,1
5,4795,1,1,1
6,4795,1,1,1
7,4795,1,1,1
10,4795,1,2,1
17,4795,1,1,1
18,4795,1,1,1
19,4795,1,2,9
20,4795,1,2,9
1,4799,1,1,1
3,4799,1,2,9
5,4799,1,1,1
15,4799,1,1,9
16,4799,1,2,9
17,4799,1,1,1
18,4799,1,1,1
19,4799,1,1,1
20,4799,1,1,1
5,4802,1,1,9
7,4802,1,2,9
11,4802,1,1,9
10,4805,1,2,9
17,4805,1,1,1
19,4805,1,2,9
4,4809,1,2,9
12,4809,1,2,9
14,4809,1,2,9
2,4812,1,2,9
13,4812,1,1,1
15,4812,1,1,1
16,4812,1,1,1
17,4812,1,1,1
18,4812,1,1,1
19,4812,1,1,1
3,4815,1,1,1
4,4815,1,1,1
5,4815,1,2,1
6,4815,1,1,1
7,4815,1,1,1
8,4815,1,1,1
9,4815,1,1,1
10,4815,1,1,1
11,4815,1,1,1
12,4815,1,2,1
13,4815,1,1,1
14,4815,1,1,1
15,4815,1,1,1
16,4815,1,2,9
17,4815,1,1,1
18,4815,1,1,1
19,4815,1,1,1
20,4815,1,1,1
5,4819,1,1,1
10,4819,1,1,1
14,4819,1,2,1
18,4819,1,2,1
5,4822,1,1,1
8,4825,1,2,9
11,4825,1,2,1
13,4825,1,1,9
14,4825,1,2,9
17,4825,1,2,9
20,4825,1,2,9
2,4829,1,1,9
3,4829,1,1,1
7,4829,1,2,9
9,4829,1,1,1
10,4829,1,2,9
11,4829,1,1,1
14,4829,1,1,1
16,4829,1,2,9
18,4829,1,2,9
19,4829,1,2,9
20,4829,1,2,9
3,4832,1,2,9
5,4832,1,1,1
10,4832,1,2,9
13,4832,1,1,1
12,4835,1,1,9
14,4835,1,1,1
16,4835,1,1,1
20,4835,1,1,1
2,4839,1,2,9
6,4839,1,1,9
14,4839,1,1,9
15,4839,1,1,9
19,4839,1,1,9
3,4842,1,2,9
6,4842,1,1,1
20,4842,1,2,9
1,4845,1,2,9
2,4845,1,1,1
7,4845,1,1,1
8,4845,1,1,1
10,4845,1,1,1
13,4845,1,1,1
14,4845,1,1,1
15,4845,1,2,1
16,4845,1,1,1
20,4845,1,2,1
23,4845,1,2,1
1,4849,1,1,9
2,4849,1,2,9
10,4849,1,2,9
11,4852,1,2,9
12,4852,1,2,9
14,4852,1,2,9
18,4852,1,2,9
20,4852,1,2,9
1,4855,1,2,9
2,4855,1,2,9
3,4855,1,2,9
4,4855,1,2,9
6,4855,1,1,9
7,4855,1,1,1
8,4855,1,2,9
9,4855,1,2,9
11,4855,1,2,9
14,4855,1,2,9
15,4855,1,1,9
16,4855,1,2,9
19,4855,1,2,9
4,4862,1,1,1
11,4862,1,1,1
1,4865,1,2,9
10,4865,1,1,9
12,4865,1,1,9
13,4865,1,1,1
14,4865,1,1,9
16,4865,1,1,9
18,4865,1,1,1
19,4865,1,1,9
3,4869,1,1,1
8,4869,1,1,1
12,4869,1,2,9
20,4869,1,2,9
4,4872,1,1,1
18,4872,1,2,9
10,4875,1,1,1
13,4875,1,1,9
18,4875,1,2,9
3,4879,1,1,9
3,4882,1,1,1
9,4882,1,2,9
14,4882,1,1,1
15,4882,1,2,9
16,4882,1,1,9
17,4882,2,1,1
5,4889,1,1,9
6,4889,1,1,9
7,4889,1,1,9
9,4889,1,1,9
15,4889,1,1,9
17,4889,1,1,1
18,4889,1,1,1
19,4889,1,1,1
1,4892,1,2,9
2,4892,1,1,1
4,4892,1,2,9
7,4892,1,2,9
8,4892,1,1,9
12,4892,1,1,9
13,4892,1,2,9
14,4892,1,2,9
16,4892,1,2,9
17,4892,1,1,9
18,4892,1,2,9
3,4895,1,1,1
4,4895,1,1,1
6,4895,1,2,8
8,4895,1,1,9
1,4899,1,1,1
2,4899,1,1,1
7,4899,1,1,1
9,4899,1,1,9
14,4899,1,1,1
16,4899,1,1,9
17,4899,1,2,9
18,4899,1,1,9
19,4899,1,1,1
20,4899,1,2,9
3,4902,1,2,2
5,4902,1,1,1
10,4902,1,2,9
11,4902,1,2,9
18,4902,1,2,9
19,4902,1,2,9
1,4909,1,2,9
2,4909,1,2,9
9,4909,1,2,9
15,4909,1,1,9
16,4909,1,2,9
20,4909,1,2,9
3,4912,1,2,9
1,4922,1,1,1
2,4922,1,1,1
6,4922,1,1,1
8,4922,1,1,1
9,4922,1,2,9
10,4922,1,1,1
12,4922,1,1,1
3,4925,1,1,1
4,4925,1,1,1
6,4925,1,1,1
13,4925,1,2,9
17,4925,1,2,9
2,4929,1,1,9
4,4929,1,2,9
8,4929,1,2,9
9,4929,1,1,9
15,4929,1,2,9
18,4929,1,2,9
20,4929,1,1,1
1,4932,1,1,1
2,4932,1,1,1
5,4932,1,1,1
13,4932,1,2,9
15,4932,1,1,1
16,4932,1,1,1
17,4932,1,2,1
18,4932,1,1,1
22,4932,1,1,1
6,4935,1,1,1
9,4935,1,1,1
13,4935,1,1,1
14,4935,1,2,1
19,4935,1,2,9
20,4935,1,1,1
5,4939,1,1,1
14,4939,2,2,9
15,4939,1,2,9
18,4939,1,1,1
19,4939,1,1,1
20,4939,1,1,1
6,4942,1,2,1
6,4944,1,2,9
13,4944,1,2,1
6,4949,1,2,9
7,4949,1,2,9
10,4949,1,1,1
18,4949,1,2,10
20,4949,1,2,9
1,4952,1,1,1
3,4952,1,1,1
6,4952,2,1,1
7,4952,1,1,1
9,4952,2,1,1
11,4952,2,1,1
15,4952,2,1,1
16,4952,2,1,1
17,4952,2,1,1
20,4952,2,1,1
3,4955,1,2,9
6,4955,1,2,10
8,4955,1,2,10
9,4955,1,2,9
17,4955,1,2,9
18,4955,1,2,10
4,4959,1,1,9
6,4959,1,1,9
10,4959,2,2,9
16,4959,1,2,9
17,4959,1,2,9
18,4959,1,2,9
20,4959,1,2,9
21,4959,1,2,9
15,4962,1,2,9
16,4962,1,2,9
17,4962,1,2,9
6,4965,1,1,1
8,4965,1,1,1
9,4965,1,1,1
10,4965,2,2,9
12,4965,1,1,1
15,4965,1,1,1
22,4965,2,2,9
1,4969,2,1,1
2,4969,1,1,1
4,4969,2,1,1
5,4969,1,1,1
6,4969,1,1,1
12,4969,1,1,1
14,4969,1,1,1
16,4969,1,2,9
17,4969,1,1,1
18,4969,1,1,1
20,4969,1,1,1
3,4972,1,1,1
4,4972,1,2,3
7,4972,1,1,1
8,4972,1,1,1
2,4975,1,2,1
4,4975,1,1,1
5,4975,1,1,1
10,4975,1,1,1
11,4975,1,2,9
13,4975,1,1,9
19,4975,1,1,1
2,4979,1,1,1
3,4979,1,1,1
6,4979,1,1,1
8,4979,1,2,2
9,4979,1,2,9
12,4979,1,1,1
19,4979,1,1,1
20,4979,1,2,9
2,4982,1,2,9
14,4982,1,2,9
16,4982,1,2,9
17,4982,1,2,9
8,4985,1,2,9
9,4985,1,1,1
12,4985,1,1,9
15,4985,1,2,1
17,4985,1,1,1
19,4985,1,2,1
1,4989,1,1,1
5,4989,1,2,1
1,4992,1,2,9
2,4992,1,1,1
3,4992,1,1,1
6,4992,1,2,9
7,4992,1,1,1
9,4992,1,1,1
10,4992,1,1,1
11,4992,1,1,1
12,4992,1,1,1
14,4992,1,1,1
16,4992,1,1,1
2,4995,1,1,1
4,4995,1,1,1
5,4995,1,1,1
6,4995,1,1,1
11,4995,2,1,9
13,4995,1,1,1
14,4995,1,2,9
18,4995,2,1,1
21,4995,1,1,1
2,4999,1,2,9
3,4999,1,2,9
8,4999,1,1,9
9,4999,1,1,1
14,4999,1,1,1
19,4999,1,2,9
