nh,clust,Source_of_loan
11,4582,10
13,4582,11
17,4582,11
4,4585,9
4,4585,11
15,4585,1.74980057982641e+100
18,4585,11
9,4589,11
5,4592,11
6,4592,11
12,4592,8
14,4592,11
24,4592,1
24,4592,11
2,4595,12
3,4595,11
5,4595,11
6,4595,8
6,4595,2
6,4595,8
6,4595,11
10,4595,11
16,4595,2
19,4595,2
1,4599,9
1,4599,9
1,4599,9
4,4599,9
4,4599,9
4,4599,9
6,4599,11
6,4599,11
10,4599,10
10,4599,10
10,4599,10
11,4599,11
11,4599,11
12,4599,9
13,4599,9
14,4599,10
14,4599,10
15,4599,11
16,4599,11
16,4599,11
16,4599,11
18,4599,11
19,4599,11
2,4602,8
11,4602,11
14,4602,11
18,4602,11
4,4605,9
7,4605,11
10,4605,11
11,4605,11
14,4605,1.74980057982641e+100
15,4605,9
16,4605,1.74980057982641e+100
17,4605,11
18,4605,9
20,4605,11
21,4605,9
1,4609,11
3,4609,11
6,4609,1.74980057982641e+100
9,4609,1.74980057982641e+100
17,4609,1.74980057982641e+100
2,4612,8
2,4612,9
4,4612,9
5,4612,9
7,4612,9
9,4612,11
12,4612,9
13,4612,7
15,4612,1.74980057982641e+100
16,4612,9
16,4612,9
17,4612,9
18,4612,11
19,4612,9
20,4612,11
21,4612,9
21,4612,11
22,4612,1.74980057982641e+100
1,4615,11
2,4615,1
2,4615,11
2,4615,11
2,4615,11
3,4615,11
4,4615,6
7,4615,11
8,4615,11
9,4615,11
14,4615,3
15,4615,11
16,4615,11
16,4615,11
17,4615,11
17,4615,11
20,4615,11
20,4615,11
20,4615,11
21,4615,11
21,4615,11
22,4615,11
22,4615,11
6,4622,11
7,4622,8
10,4622,11
2,4625,9
4,4625,11
4,4625,11
4,4625,11
7,4625,11
7,4625,9
7,4625,9
7,4625,9
7,4625,9
8,4625,9
9,4625,9
11,4625,9
11,4625,12
13,4625,11
15,4625,11
17,4625,11
18,4625,11
19,4625,9
20,4625,9
20,4625,11
1,4629,11
1,4629,11
2,4629,11
4,4629,11
5,4629,11
6,4629,11
6,4629,11
8,4629,11
8,4629,11
13,4629,11
15,4629,11
16,4629,11
17,4629,11
18,4629,11
18,4629,11
18,4629,1
18,4629,11
19,4629,11
20,4629,11
21,4629,11
21,4629,11
21,4629,11
23,4629,11
23,4629,11
23,4629,11
25,4629,11
2,4632,11
5,4632,11
6,4632,1.74980057982641e+100
15,4632,11
18,4632,11
20,4632,11
22,4632,11
3,4635,9
5,4635,9
5,4635,9
6,4635,11
7,4635,9
9,4635,9
10,4635,10
11,4635,10
13,4635,4
13,4635,1
13,4635,9
19,4635,9
20,4635,11
2,4639,9
3,4639,9
5,4639,11
7,4639,11
11,4639,3
16,4639,9
23,4639,11
1,4642,11
2,4642,2
5,4642,9
6,4642,9
7,4642,2
8,4642,11
12,4642,2
12,4642,11
12,4642,9
13,4642,9
15,4642,11
16,4642,11
16,4642,9
16,4642,11
17,4642,8
18,4642,9
19,4642,11
20,4642,11
2,4645,11
2,4645,11
2,4645,11
8,4645,11
8,4645,6
10,4645,11
11,4645,11
11,4645,11
11,4645,11
11,4645,11
11,4645,11
15,4645,11
15,4645,11
20,4645,11
22,4645,11
22,4645,11
25,4645,6
25,4645,11
2,4649,11
6,4649,11
11,4649,9
12,4649,11
15,4649,4
15,4649,8
15,4649,9
1,4652,8
2,4652,11
3,4652,11
4,4652,9
5,4652,8
6,4652,9
6,4652,9
10,4652,1.74980057982641e+100
12,4652,11
13,4652,11
14,4652,9
17,4652,11
19,4652,11
20,4652,4
21,4652,8
1,4655,9
5,4655,9
11,4655,9
12,4655,9
16,4655,9
16,4655,9
17,4655,11
18,4655,9
20,4655,11
1,4659,12
1,4659,12
1,4659,12
2,4659,11
3,4659,9
6,4659,10
8,4659,11
8,4659,11
9,4659,9
10,4659,9
12,4659,11
15,4659,9
18,4659,9
19,4659,9
19,4659,11
1,4662,11
2,4662,11
3,4662,11
4,4662,11
5,4662,11
6,4662,11
7,4662,11
9,4662,11
12,4662,11
13,4662,11
14,4662,11
14,4662,11
14,4662,11
14,4662,11
15,4662,11
15,4662,11
15,4662,11
15,4662,11
16,4662,11
17,4662,11
17,4662,1
18,4662,11
19,4662,11
19,4662,11
19,4662,11
19,4662,11
19,4662,11
19,4662,11
20,4662,11
20,4662,11
21,4662,11
1,4665,9
3,4665,11
4,4665,11
5,4665,9
6,4665,9
7,4665,11
8,4665,11
8,4665,11
10,4665,9
10,4665,1
12,4665,9
15,4665,9
15,4665,9
15,4665,9
15,4665,9
16,4665,9
17,4665,1
18,4665,11
19,4665,11
20,4665,9
4,4669,11
5,4669,3
11,4669,11
11,4669,11
12,4669,11
12,4669,11
13,4669,11
15,4669,11
16,4669,11
17,4669,11
18,4669,11
1,4672,11
1,4672,11
2,4672,11
2,4672,11
3,4672,9
3,4672,11
3,4672,11
3,4672,11
3,4672,11
4,4672,1.74980057982641e+100
5,4672,11
6,4672,12
6,4672,9
7,4672,11
9,4672,9
9,4672,11
10,4672,1.74980057982641e+100
11,4672,11
13,4672,9
13,4672,9
13,4672,11
13,4672,11
14,4672,11
14,4672,11
14,4672,11
14,4672,11
14,4672,11
14,4672,11
15,4672,11
16,4672,11
17,4672,11
17,4672,11
18,4672,11
19,4672,11
19,4672,12
19,4672,11
19,4672,11
19,4672,11
19,4672,11
20,4672,11
20,4672,9
21,4672,11
3,4675,11
7,4675,2
10,4675,11
15,4675,11
16,4675,9
20,4675,11
10,4679,11
7,4682,4
7,4682,11
8,4682,9
9,4682,1
16,4682,11
19,4682,1
20,4682,11
1,4685,11
2,4685,11
5,4685,6
6,4685,11
8,4685,9
12,4685,11
12,4685,9
14,4685,11
14,4685,11
17,4685,9
17,4685,9
19,4685,11
23,4685,11
23,4685,11
24,4685,11
25,4685,9
1,4689,11
2,4689,11
3,4689,9
4,4689,9
5,4689,11
7,4689,1
8,4689,11
11,4689,11
12,4689,1.74980057982641e+100
13,4689,11
14,4689,9
15,4689,9
15,4689,9
16,4689,11
16,4689,9
18,4689,9
18,4689,9
19,4689,11
21,4689,9
1,4692,11
1,4692,11
3,4692,9
5,4692,9
8,4692,11
10,4692,11
11,4692,6
12,4692,9
13,4692,1
14,4692,9
14,4692,9
15,4692,9
16,4692,9
18,4692,9
20,4692,9
1,4695,9
2,4695,11
3,4695,9
5,4695,11
7,4695,9
13,4695,11
16,4695,8
18,4695,1
18,4695,9
1,4699,1
3,4699,9
3,4699,1
7,4699,9
9,4699,11
10,4699,8
12,4699,1
13,4699,1.74980057982641e+100
18,4699,1
3,4702,9
3,4702,11
6,4702,9
6,4702,9
6,4702,11
8,4702,1
8,4702,12
8,4702,11
11,4702,9
12,4702,11
13,4702,11
13,4702,11
14,4702,11
15,4702,9
20,4702,11
20,4702,11
20,4702,11
21,4702,11
22,4702,6
23,4702,8
23,4702,9
25,4702,9
16,4705,11
19,4705,8
19,4705,8
20,4705,1.74980057982641e+100
1,4709,11
8,4709,11
10,4709,11
14,4709,9
15,4709,8
16,4709,2
18,4709,11
19,4709,11
1,4712,11
9,4712,11
17,4712,11
18,4712,1.74980057982641e+100
5,4715,11
9,4715,6
10,4715,11
11,4715,11
11,4715,11
11,4715,11
11,4715,11
11,4715,11
11,4715,11
12,4715,6
13,4715,11
14,4715,9
14,4715,9
16,4715,4
17,4715,11
17,4715,11
18,4715,11
18,4715,9
18,4715,9
19,4715,9
21,4715,11
2,4719,11
7,4719,9
8,4719,9
11,4719,11
14,4719,11
17,4719,11
22,4719,9
1,4722,9
3,4722,2
3,4722,7
9,4722,11
11,4722,11
20,4722,10
22,4722,9
2,4725,9
3,4725,9
6,4725,11
9,4725,9
10,4725,9
11,4725,9
12,4725,9
13,4725,9
16,4725,9
17,4725,9
19,4725,9
1,4729,2
3,4729,9
5,4729,4
7,4729,11
11,4729,11
12,4729,9
13,4729,11
15,4729,11
16,4729,11
16,4729,11
17,4729,11
18,4729,11
20,4729,6
20,4729,11
21,4729,11
24,4729,11
2,4732,11
3,4732,9
6,4732,9
8,4732,11
13,4732,9
14,4732,11
15,4732,11
16,4732,9
18,4732,9
5,4735,9
7,4735,6
11,4735,9
18,4735,9
1,4739,11
3,4739,11
5,4739,11
7,4739,11
8,4739,11
12,4739,11
14,4739,11
14,4739,11
15,4739,11
18,4739,11
19,4739,11
20,4739,11
20,4739,11
22,4739,11
2,4742,11
5,4742,1.74980057982641e+100
8,4742,1.74980057982641e+100
9,4742,1.74980057982641e+100
2,4745,11
3,4745,11
3,4745,11
4,4745,11
4,4745,11
4,4745,11
5,4745,11
5,4745,11
5,4745,11
5,4745,11
6,4745,11
7,4745,11
9,4745,11
9,4745,12
10,4745,11
10,4745,11
14,4745,11
14,4745,11
15,4745,11
17,4745,11
19,4745,11
20,4745,11
20,4745,11
21,4745,6
21,4745,11
9,4750,9
11,4750,6
11,4750,9
12,4750,11
12,4750,11
12,4750,11
12,4750,11
13,4750,9
14,4750,11
14,4750,11
24,4750,4
1,4752,9
2,4752,9
4,4752,11
8,4752,9
9,4752,9
11,4752,8
12,4752,2
16,4752,9
18,4752,2
19,4752,9
5,4755,11
7,4755,11
9,4755,5
10,4755,8
12,4755,11
14,4755,11
18,4755,1
20,4755,8
5,4762,11
6,4762,11
9,4762,11
11,4762,6
12,4762,11
16,4762,11
17,4762,11
19,4762,11
20,4762,11
22,4762,1
7,4765,11
9,4765,2
9,4765,9
9,4765,9
9,4765,1.74980057982641e+100
10,4765,9
15,4765,9
15,4765,9
15,4765,1.74980057982641e+100
16,4765,9
16,4765,9
16,4765,9
16,4765,1.74980057982641e+100
20,4765,9
20,4765,9
20,4765,9
20,4765,1.74980057982641e+100
1,4769,11
4,4769,1.74980057982641e+100
5,4769,11
11,4769,11
18,4769,11
22,4769,11
2,4772,9
4,4772,9
4,4772,2
7,4772,9
8,4772,5
8,4772,9
9,4772,11
10,4772,9
10,4772,2
13,4772,9
18,4772,9
5,4775,9
10,4775,9
17,4775,9
17,4775,9
18,4775,9
19,4775,1.74980057982641e+100
1,4779,8
5,4779,11
7,4779,3
8,4779,8
8,4779,8
2,4782,11
5,4782,11
10,4782,11
14,4782,11
16,4782,11
17,4782,11
1,4785,10
4,4785,11
5,4785,11
6,4785,11
7,4785,11
7,4785,11
8,4785,11
14,4785,11
15,4785,11
15,4785,11
16,4785,11
16,4785,9
17,4785,11
17,4785,11
19,4785,9
21,4785,9
17,4790,1.74980057982641e+100
17,4790,1.74980057982641e+100
18,4790,11
19,4790,9
19,4790,9
25,4790,11
1,4792,1.74980057982641e+100
1,4792,1.74980057982641e+100
4,4792,10
4,4792,10
5,4792,10
6,4792,11
7,4792,1.74980057982641e+100
7,4792,1.74980057982641e+100
7,4792,1.74980057982641e+100
9,4792,11
10,4792,1.74980057982641e+100
10,4792,1.74980057982641e+100
11,4792,11
13,4792,11
14,4792,10
19,4792,11
20,4792,11
2,4795,11
3,4795,11
4,4795,2
5,4795,11
9,4795,2
12,4795,4
15,4795,11
17,4795,2
20,4795,2
5,4799,7
13,4802,11
19,4802,11
1,4809,11
2,4809,8
4,4809,10
10,4809,4
10,4809,4
20,4809,4
20,4809,4
1,4812,11
1,4812,1.74980057982641e+100
5,4812,11
12,4812,11
12,4812,11
13,4812,9
3,4815,11
6,4815,9
6,4815,1.74980057982641e+100
7,4815,11
9,4815,1.74980057982641e+100
15,4815,9
17,4815,11
18,4815,11
19,4815,11
20,4815,11
6,4819,12
11,4819,3
1,4822,9
1,4822,9
2,4822,11
3,4822,11
3,4822,9
3,4822,11
4,4822,9
8,4822,9
9,4822,9
9,4822,11
14,4822,9
15,4822,11
18,4822,9
5,4825,11
8,4825,9
13,4825,2
13,4825,11
16,4825,9
19,4825,11
20,4825,9
23,4825,11
13,4829,9
14,4829,9
17,4829,9
18,4829,9
3,4832,11
3,4832,9
4,4832,9
5,4832,9
7,4832,11
20,4832,9
2,4835,11
6,4835,9
8,4835,9
8,4835,9
10,4835,1.74980057982641e+100
15,4835,9
16,4835,9
17,4835,1.74980057982641e+100
18,4835,5
18,4835,9
20,4835,5
20,4835,9
2,4839,3
6,4839,10
10,4839,10
14,4839,8
15,4839,11
19,4839,11
2,4842,9
5,4842,9
6,4842,9
7,4842,1.74980057982641e+100
8,4842,11
13,4842,9
19,4842,9
19,4842,9
3,4845,11
3,4845,9
4,4845,11
10,4845,11
10,4845,11
11,4845,11
12,4845,8
13,4845,1.74980057982641e+100
14,4845,11
15,4845,9
15,4845,9
17,4845,9
18,4845,11
19,4845,9
23,4845,11
23,4845,11
1,4849,11
11,4849,11
16,4849,1.74980057982641e+100
6,4852,11
8,4852,11
18,4852,1.74980057982641e+100
16,4862,1.74980057982641e+100
1,4865,11
2,4865,11
3,4865,11
3,4865,11
7,4865,11
8,4865,11
8,4865,11
10,4865,11
12,4865,11
13,4865,11
16,4865,11
18,4865,11
20,4865,11
1,4875,1.74980057982641e+100
2,4875,1.74980057982641e+100
6,4875,1.74980057982641e+100
7,4875,1.74980057982641e+100
8,4875,1.74980057982641e+100
9,4875,1.74980057982641e+100
10,4875,1.74980057982641e+100
10,4875,1.74980057982641e+100
2,4879,11
4,4879,11
6,4879,11
11,4879,11
13,4879,11
18,4879,3
3,4882,11
6,4882,11
9,4882,12
10,4882,11
16,4882,11
17,4882,6
20,4882,11
21,4882,3
3,4885,5
18,4885,5
2,4889,11
11,4889,11
12,4889,11
18,4892,2
1,4902,11
7,4902,11
8,4902,11
10,4902,11
16,4902,5
11,4905,1.74980057982641e+100
4,4912,1.74980057982641e+100
16,4912,1
1,4919,11
3,4919,11
5,4919,11
7,4919,11
11,4919,11
12,4919,11
12,4919,11
14,4919,11
15,4919,11
16,4919,11
17,4919,11
18,4919,11
2,4922,11
4,4922,11
5,4922,11
11,4922,11
3,4925,1
11,4925,2
12,4925,11
13,4925,8
16,4925,2
5,4929,9
6,4929,11
7,4929,8
14,4929,11
15,4929,5
20,4929,5
2,4932,8
4,4932,11
6,4932,8
11,4932,1.74980057982641e+100
15,4932,6
3,4935,11
5,4935,11
7,4935,11
11,4935,11
16,4935,11
17,4935,11
3,4939,1.74980057982641e+100
4,4939,9
5,4939,8
7,4939,8
14,4939,11
10,4942,11
11,4942,9
12,4942,11
13,4942,10
16,4942,9
17,4942,10
18,4942,9
19,4942,10
20,4942,10
6,4944,9
10,4944,10
14,4944,9
15,4944,10
18,4944,9
19,4944,10
20,4944,9
4,4949,1.74980057982641e+100
6,4949,1.74980057982641e+100
11,4949,11
12,4949,1.74980057982641e+100
15,4949,1.74980057982641e+100
20,4949,11
3,4952,11
4,4952,11
20,4952,11
1,4959,1.74980057982641e+100
4,4959,2
6,4959,1.74980057982641e+100
6,4959,1.74980057982641e+100
10,4959,11
11,4959,10
14,4959,2
18,4959,1.74980057982641e+100
3,4962,11
10,4962,11
12,4962,1.74980057982641e+100
16,4962,11
19,4962,11
20,4962,9
2,4965,11
12,4965,4
13,4965,11
15,4965,11
8,4969,11
10,4969,11
11,4969,11
17,4969,1
18,4969,1
19,4969,9
20,4969,1
20,4969,9
13,4972,8
1,4975,9
2,4975,9
3,4975,8
6,4975,11
10,4975,9
18,4975,9
1,4979,11
2,4979,11
3,4979,11
4,4979,7
5,4979,11
11,4979,11
16,4979,1.74980057982641e+100
9,4985,1
5,4989,11
8,4989,11
11,4989,11
16,4989,11
20,4989,1
1,4992,6
3,4992,11
9,4992,11
13,4992,11
14,4992,4
19,4992,11
5,4995,3
5,4995,3
18,4995,5
24,4995,7
1,4999,1
10,4999,1
10,4999,1
17,4999,3
