nh,clust,Source_of_loan
7,4112,11
7,4112,11
9,4112,11
10,4112,1.74980057982641e+100
12,4112,1.74980057982641e+100
13,4112,11
15,4112,8
17,4112,11
19,4112,11
1,4115,11
1,4115,11
2,4115,9
3,4115,11
4,4115,11
4,4115,9
5,4115,11
5,4115,11
6,4115,11
6,4115,9
7,4115,11
8,4115,11
8,4115,11
9,4115,11
9,4115,11
10,4115,11
11,4115,11
11,4115,11
12,4115,9
13,4115,9
14,4115,11
15,4115,11
16,4115,11
16,4115,11
16,4115,11
16,4115,11
17,4115,9
17,4115,9
18,4115,11
18,4115,11
19,4115,11
19,4115,11
19,4115,11
20,4115,11
2,4119,9
4,4119,11
5,4119,11
6,4119,12
7,4119,11
8,4119,8
9,4119,9
12,4119,11
13,4119,11
15,4119,9
15,4119,11
16,4119,11
17,4119,1.74980057982641e+100
19,4119,11
19,4119,9
20,4119,11
2,4122,11
5,4122,9
8,4122,11
15,4122,11
16,4122,11
1,4125,1.74980057982641e+100
2,4125,11
10,4125,11
11,4125,8
13,4125,11
13,4125,11
14,4125,11
8,4129,9
9,4129,11
9,4129,11
10,4129,11
15,4129,11
16,4129,11
16,4129,10
18,4129,11
19,4129,3
5,4132,9
9,4132,9
14,4132,9
18,4132,11
3,4134,9
4,4134,1
20,4134,11
3,4139,11
3,4139,11
6,4139,7
7,4139,11
8,4139,11
9,4139,11
9,4139,11
10,4139,9
11,4139,11
12,4139,8
13,4139,1.74980057982641e+100
14,4139,1.74980057982641e+100
15,4139,1.74980057982641e+100
16,4139,11
16,4139,11
19,4139,11
19,4139,9
20,4139,11
20,4139,11
3,4142,11
6,4142,8
7,4142,11
7,4142,11
11,4142,8
12,4142,11
13,4142,2
14,4142,2
15,4142,2
16,4142,8
17,4142,12
18,4142,8
20,4142,8
2,4145,11
2,4145,11
10,4145,11
11,4145,11
20,4145,11
1,4149,11
6,4149,11
11,4149,1
13,4149,11
20,4149,12
1,4152,1
2,4152,1
6,4152,11
7,4152,1
9,4152,1
9,4152,1
10,4152,1
11,4152,1
11,4152,11
12,4152,1
14,4152,1
15,4152,1
1,4155,8
2,4155,11
3,4155,1
4,4155,11
6,4155,11
8,4155,9
12,4155,11
12,4155,8
14,4155,1.74980057982641e+100
18,4155,10
1,4159,12
5,4159,11
7,4159,11
8,4159,11
12,4159,9
14,4159,11
19,4159,8
2,4162,8
6,4162,1.74980057982641e+100
7,4162,8
10,4162,11
12,4162,11
15,4162,11
20,4162,11
2,4165,11
2,4165,7
3,4165,9
4,4165,11
4,4165,2
4,4165,7
5,4165,2
6,4165,11
9,4165,11
10,4165,11
11,4165,2
12,4165,11
14,4165,1
14,4165,7
15,4165,11
19,4165,11
19,4165,11
20,4165,1.74980057982641e+100
22,4165,7
2,4169,11
5,4169,4
10,4169,9
13,4169,9
13,4169,9
17,4169,9
18,4169,6
19,4169,9
19,4169,11
2,4175,9
2,4175,9
3,4175,11
5,4175,1.74980057982641e+100
7,4175,11
10,4175,9
11,4175,11
13,4175,11
15,4175,9
17,4175,9
5,4179,11
10,4179,11
16,4179,11
17,4179,11
2,4182,9
8,4182,1.74980057982641e+100
10,4182,11
11,4182,11
12,4182,7
14,4182,9
15,4182,9
16,4182,9
17,4182,9
9,4185,7
3,4189,11
3,4189,11
5,4189,9
5,4189,9
6,4189,5
7,4189,11
7,4189,11
8,4189,11
9,4189,1.74980057982641e+100
10,4189,11
12,4189,11
13,4189,11
13,4189,11
15,4189,11
15,4189,9
16,4189,11
18,4189,11
19,4189,11
20,4189,7
2,4192,7
5,4192,11
5,4192,12
6,4192,11
8,4192,11
10,4192,11
10,4192,11
10,4192,11
11,4192,8
12,4192,11
14,4192,11
14,4192,11
17,4192,11
17,4192,1
18,4192,11
19,4192,11
20,4192,11
2,4195,11
4,4195,11
8,4195,11
12,4195,11
14,4195,11
18,4195,11
2,4199,9
2,4199,9
4,4199,9
5,4199,11
6,4199,11
7,4199,1
8,4199,11
8,4199,11
8,4199,2
9,4199,1.74980057982641e+100
11,4199,11
11,4199,9
11,4199,9
11,4199,11
12,4199,9
12,4199,9
13,4199,11
13,4199,11
13,4199,11
14,4199,11
14,4199,11
15,4199,11
15,4199,11
16,4199,9
17,4199,9
18,4199,1.74980057982641e+100
19,4199,9
20,4199,11
20,4199,11
20,4199,11
1,4202,7
1,4202,4
4,4202,1.74980057982641e+100
7,4202,11
10,4202,7
11,4202,11
12,4202,9
13,4202,11
13,4202,11
14,4202,9
19,4202,11
22,4202,11
1,4205,7
2,4205,11
4,4205,10
4,4205,9
5,4205,9
6,4205,11
8,4205,9
8,4205,9
9,4205,9
10,4205,11
14,4205,11
18,4205,9
18,4205,11
18,4205,9
20,4205,9
20,4205,11
20,4205,11
1,4209,9
5,4209,8
6,4209,9
6,4209,11
7,4209,11
12,4209,9
15,4209,9
17,4209,1.74980057982641e+100
18,4209,9
19,4209,11
19,4209,11
2,4212,11
3,4212,11
3,4212,11
3,4212,11
4,4212,9
6,4212,9
6,4212,11
7,4212,9
8,4212,1.74980057982641e+100
12,4212,9
13,4212,11
16,4212,11
17,4212,11
17,4212,11
1,4215,1
13,4215,11
2,4219,3
5,4219,11
6,4219,3
6,4219,9
10,4219,11
11,4219,3
12,4219,11
13,4219,11
17,4219,11
17,4219,11
17,4219,11
18,4219,11
18,4219,11
18,4219,11
18,4219,11
20,4219,9
20,4219,11
6,4232,11
9,4232,11
11,4232,1.74980057982641e+100
15,4232,11
17,4232,11
18,4232,11
20,4232,11
20,4232,11
20,4232,11
4,4235,11
10,4235,11
4,4239,1
8,4239,1
2,4242,1.74980057982641e+100
4,4242,11
6,4242,1.74980057982641e+100
9,4242,11
10,4242,2
10,4242,9
11,4242,11
14,4242,11
17,4242,11
17,4242,11
1,4245,11
2,4245,11
7,4245,11
8,4245,11
18,4245,7
20,4245,11
5,4249,4
6,4249,1.74980057982641e+100
7,4249,6
12,4252,11
1,4259,9
4,4259,11
5,4259,11
6,4259,9
7,4259,8
8,4259,11
9,4259,9
11,4259,9
14,4259,11
15,4259,11
16,4259,9
19,4259,11
20,4259,9
2,4262,11
4,4265,11
8,4265,11
11,4265,11
1,4269,11
3,4269,9
3,4269,9
6,4269,9
6,4269,11
7,4269,11
8,4269,8
12,4269,11
14,4269,9
15,4269,9
18,4269,9
19,4269,11
1,4272,11
2,4272,9
3,4272,9
4,4272,9
5,4272,11
6,4272,11
6,4272,9
7,4272,9
8,4272,9
9,4272,11
12,4272,9
13,4272,9
16,4272,11
17,4272,9
20,4272,11
20,4272,8
2,4275,9
3,4275,9
5,4275,9
9,4275,6
9,4275,11
11,4275,8
12,4275,11
13,4275,11
14,4275,9
15,4275,8
16,4275,11
18,4275,9
5,4279,11
9,4279,11
10,4279,11
11,4279,11
1,4285,11
3,4285,11
5,4285,11
7,4285,2
8,4285,11
10,4285,11
11,4285,11
12,4285,11
14,4285,11
15,4285,11
18,4285,11
20,4285,12
3,4289,1
4,4289,11
5,4289,1
14,4289,1.74980057982641e+100
15,4289,11
16,4289,2
18,4289,1.74980057982641e+100
20,4289,11
3,4292,11
5,4292,11
13,4292,3
16,4292,9
17,4295,11
5,4299,1.74980057982641e+100
20,4299,11
17,4302,11
4,4305,8
8,4305,11
8,4305,11
9,4305,11
12,4305,11
15,4305,11
17,4305,11
18,4305,4
18,4305,4
20,4305,11
3,4309,1
6,4309,11
6,4309,11
7,4309,11
8,4309,11
8,4309,11
9,4309,11
11,4309,11
13,4309,11
17,4309,11
18,4309,11
19,4309,11
22,4309,11
23,4309,11
24,4309,11
4,4312,9
5,4312,11
7,4312,9
9,4312,11
10,4312,11
15,4312,11
19,4312,11
22,4312,11
2,4315,7
3,4315,11
6,4315,2
7,4315,11
8,4315,11
9,4315,11
9,4315,11
12,4315,9
16,4315,11
18,4315,11
19,4315,11
2,4319,1
6,4319,1.74980057982641e+100
11,4319,1.74980057982641e+100
14,4319,1.74980057982641e+100
19,4319,1.74980057982641e+100
20,4319,8
2,4322,11
6,4322,11
7,4322,1.74980057982641e+100
10,4322,11
10,4322,11
14,4322,11
15,4325,2
19,4325,1.74980057982641e+100
3,4329,8
5,4329,11
15,4329,11
17,4329,8
18,4329,11
25,4329,11
2,4332,11
11,4332,11
1,4335,9
3,4335,9
8,4335,8
9,4335,9
10,4335,9
11,4335,9
11,4335,9
12,4335,9
14,4335,9
14,4335,9
15,4335,8
16,4335,9
18,4335,9
1,4339,11
3,4339,8
5,4339,11
8,4339,11
13,4339,11
14,4339,4
17,4339,1
21,4339,1
1,4342,4
2,4342,11
3,4342,9
7,4342,9
12,4342,9
16,4342,9
18,4342,9
20,4342,11
23,4342,9
1,4345,11
1,4345,11
1,4345,11
10,4345,11
11,4345,11
20,4345,11
3,4349,11
4,4349,11
6,4349,11
8,4349,11
15,4349,1
16,4349,11
18,4349,11
7,4352,1
7,4352,12
8,4352,11
11,4352,1.74980057982641e+100
15,4352,1.74980057982641e+100
17,4352,11
18,4352,1
1,4355,12
1,4355,9
2,4355,11
2,4355,11
2,4355,4
3,4355,11
3,4355,9
3,4355,11
5,4355,9
6,4355,9
7,4355,11
8,4355,12
8,4355,11
9,4355,11
10,4355,11
10,4355,4
11,4355,9
12,4355,12
12,4355,11
12,4355,9
13,4355,9
13,4355,11
14,4355,11
15,4355,1
16,4355,11
16,4355,11
17,4355,11
18,4355,7
18,4355,9
8,4359,11
9,4359,11
10,4359,1.74980057982641e+100
12,4359,11
12,4359,11
13,4359,1
15,4359,11
16,4359,11
17,4359,11
17,4359,11
22,4359,11
4,4362,12
5,4362,11
9,4362,11
9,4362,11
11,4362,11
11,4362,11
14,4362,11
14,4362,7
15,4362,1
15,4362,11
18,4362,11
18,4362,11
19,4362,11
20,4362,11
25,4362,6
1,4365,3
2,4365,9
3,4365,1.74980057982641e+100
5,4365,11
6,4365,7
7,4365,8
8,4365,9
9,4365,11
12,4365,9
12,4365,9
12,4365,3
15,4365,9
16,4365,1.74980057982641e+100
18,4365,11
18,4365,11
19,4365,11
20,4365,9
3,4369,8
8,4369,12
14,4369,10
19,4369,8
22,4369,1
23,4369,1
8,4372,11
9,4372,11
11,4372,8
11,4372,8
17,4372,8
1,4375,11
3,4375,11
4,4375,11
6,4375,11
6,4375,11
7,4375,11
8,4375,11
9,4375,11
10,4375,11
11,4375,11
12,4375,11
12,4375,11
13,4375,11
13,4375,1
14,4375,8
14,4375,11
16,4375,11
18,4375,11
19,4375,11
20,4375,11
2,4379,11
3,4379,11
3,4379,11
4,4379,9
5,4379,11
6,4379,11
6,4379,11
7,4379,11
8,4379,9
8,4379,11
8,4379,11
10,4379,11
10,4379,11
11,4379,11
12,4379,11
14,4379,9
15,4379,11
16,4379,11
16,4379,9
17,4379,1
18,4379,11
1,4382,8
2,4382,11
3,4382,4
6,4382,11
7,4382,11
12,4382,11
15,4382,10
16,4382,11
16,4382,11
18,4382,8
19,4382,11
19,4382,11
20,4382,11
1,4385,11
2,4385,8
3,4385,11
5,4385,1
5,4385,8
7,4385,8
7,4385,9
8,4385,11
8,4385,11
8,4385,11
9,4385,8
11,4385,11
16,4385,8
16,4385,9
17,4385,1
18,4385,9
19,4385,9
20,4385,11
1,4389,6
2,4389,8
3,4389,11
4,4389,1
6,4389,11
7,4389,1
7,4389,4
7,4389,10
8,4389,4
11,4389,8
15,4389,1
15,4389,12
15,4389,12
15,4389,1.74980057982641e+100
16,4389,8
18,4389,11
19,4389,8
20,4389,1
20,4389,11
1,4392,11
2,4392,11
4,4392,11
5,4392,7
5,4392,3
6,4392,11
6,4392,9
7,4392,11
8,4392,9
9,4392,11
9,4392,9
10,4392,1.74980057982641e+100
11,4392,9
11,4392,9
11,4392,9
11,4392,11
12,4392,11
14,4392,11
14,4392,11
15,4392,12
16,4392,3
16,4392,9
17,4392,1.74980057982641e+100
18,4392,11
18,4392,9
18,4392,9
19,4392,8
20,4392,9
1,4395,1.74980057982641e+100
3,4395,4
3,4395,11
4,4395,11
4,4395,11
5,4395,11
5,4395,11
6,4395,11
6,4395,11
7,4395,9
8,4395,9
9,4395,11
10,4395,11
10,4395,11
10,4395,11
11,4395,11
11,4395,11
12,4395,9
12,4395,11
12,4395,11
13,4395,11
13,4395,4
13,4395,9
14,4395,1.74980057982641e+100
15,4395,11
15,4395,9
15,4395,12
15,4395,9
16,4395,11
17,4395,11
17,4395,11
17,4395,11
18,4395,9
19,4395,9
20,4395,11
6,4399,11
7,4399,11
9,4399,1.74980057982641e+100
10,4399,11
11,4399,1.74980057982641e+100
12,4399,11
13,4399,1.74980057982641e+100
15,4399,11
16,4399,1.74980057982641e+100
19,4399,11
20,4399,11
2,4402,10
7,4402,1.74980057982641e+100
8,4402,1.74980057982641e+100
9,4402,1.74980057982641e+100
11,4402,11
15,4402,1
16,4402,9
16,4402,11
17,4402,9
18,4402,11
20,4402,9
20,4402,9
20,4402,11
6,4405,8
7,4405,10
11,4405,11
13,4405,10
14,4405,11
15,4405,2
16,4405,10
17,4405,10
1,4408,11
2,4408,11
3,4408,1.74980057982641e+100
6,4408,1.74980057982641e+100
12,4408,1.74980057982641e+100
13,4408,1.74980057982641e+100
15,4408,1.74980057982641e+100
18,4408,11
12,4412,11
13,4412,11
1,4415,3
2,4415,10
4,4415,3
4,4415,3
6,4415,3
7,4415,3
7,4415,3
8,4415,3
9,4415,3
9,4415,3
11,4415,9
11,4415,9
12,4415,9
12,4415,9
13,4415,9
15,4415,9
17,4415,11
18,4415,11
19,4415,11
3,4419,9
4,4419,11
8,4419,11
9,4419,11
10,4419,9
11,4419,9
15,4419,11
15,4419,11
16,4419,11
22,4419,1
22,4419,1
4,4422,9
6,4422,8
8,4422,8
9,4422,9
10,4422,10
18,4422,1.74980057982641e+100
6,4425,11
7,4425,11
8,4425,11
10,4425,11
11,4425,11
15,4425,11
1,4429,9
3,4429,10
3,4429,9
6,4429,9
9,4429,10
13,4429,9
15,4429,9
16,4429,9
16,4429,9
17,4429,9
19,4429,11
19,4429,9
1,4433,11
3,4433,9
3,4433,9
5,4433,9
6,4433,10
7,4433,9
7,4433,9
7,4433,9
8,4433,10
9,4433,4
10,4433,10
10,4433,10
11,4433,11
12,4433,1.74980057982641e+100
13,4433,9
13,4433,9
14,4433,1.74980057982641e+100
16,4433,1.74980057982641e+100
16,4433,9
17,4433,1.74980057982641e+100
18,4433,1
18,4433,9
19,4433,1.74980057982641e+100
20,4433,11
11,4435,1.74980057982641e+100
14,4435,1.74980057982641e+100
1,4439,11
6,4439,8
7,4439,6
8,4439,11
12,4439,9
13,4439,11
15,4439,9
21,4439,11
1,4442,9
4,4442,1
5,4442,1.74980057982641e+100
