nh,clust,Harvest_processed_by_HH,Unit_of_measure
2,4359,0,0
2,4359,0,0
3,4359,0,0
3,4359,0,0
4,4359,0,0
4,4359,0,0
7,4359,0,0
7,4359,0,0
8,4359,0,0
8,4359,0,0
9,4359,0,0
9,4359,0,0
10,4359,0,0
10,4359,0,0
11,4359,0,0
12,4359,0,0
12,4359,0,0
12,4359,0,0
12,4359,0,0
14,4359,0,0
15,4359,0,0
15,4359,0,0
15,4359,0,0
16,4359,0,0
16,4359,0,0
16,4359,0,0
16,4359,0,0
17,4359,0,0
17,4359,0,0
18,4359,0,0
18,4359,0,0
19,4359,0,0
19,4359,0,0
20,4359,0,0
20,4359,0,0
21,4359,0,0
21,4359,0,0
21,4359,0,0
21,4359,0,0
22,4359,0,0
22,4359,100,18
22,4359,0,0
7,4362,0,0
16,4362,0,0
19,4362,0,0
22,4362,0,0
1,4365,0,0
1,4365,0,0
2,4365,8,5
3,4365,0,0
4,4365,0,0
4,4365,0,0
5,4365,0,0
5,4365,0,0
6,4365,0,0
6,4365,0,0
7,4365,0,0
7,4365,0,0
7,4365,0,0
8,4365,0,0
8,4365,0,0
9,4365,0,0
9,4365,0,0
10,4365,0,0
10,4365,0,0
11,4365,0,0
12,4365,0,0
12,4365,0,0
13,4365,0.5,4
14,4365,0,0
14,4365,0.5,5
15,4365,0,0
15,4365,2,5
16,4365,0,0
16,4365,0.5,5
17,4365,0,0
17,4365,0,0
17,4365,0,0
17,4365,0.5,5
17,4365,0.5,5
18,4365,0,0
18,4365,0,0
18,4365,0.5,5
18,4365,0.5,5
19,4365,0,0
19,4365,1,5
20,4365,0,0
20,4365,1,5
1,4369,0,0
1,4369,2.5,4
3,4369,0,0
3,4369,2.83,4
5,4369,0,0
5,4369,5.83,4
6,4369,0,0
6,4369,18.49,4
6,4369,4,4
7,4369,0,0
7,4369,2.83,4
8,4369,1.83,4
9,4369,0,0
9,4369,1.83,4
10,4369,0,0
10,4369,2.92,4
13,4369,0,0
13,4369,2,4
14,4369,0,0
14,4369,4.5,4
14,4369,0,0
15,4369,0,0
15,4369,2.83,4
16,4369,0,0
16,4369,3.91,4
17,4369,0,0
17,4369,2,4
18,4369,5,4
19,4369,3,4
21,4369,1.74980057982641e+100,1.74980057982641e+100
21,4369,5,5
21,4369,4,4
22,4369,0,0
22,4369,0,0
22,4369,3.5,4
22,4369,0,0
23,4369,0,0
23,4369,2.5,4
24,4369,0,0
24,4369,0,0
24,4369,2.83,4
24,4369,0.66,4
1,4372,0,0
1,4372,0,0
2,4372,0,0
3,4372,0,0
3,4372,0,0
4,4372,0,0
4,4372,8,9
6,4372,0,0
7,4372,8,9
9,4372,6,9
9,4372,0.1,0
10,4372,0,0
10,4372,7,9
10,4372,2,9
11,4372,0,0
12,4372,1.74980057982641e+100,1.74980057982641e+100
13,4372,0,0
13,4372,3.75,9
16,4372,3,9
17,4372,0,0
17,4372,0,0
18,4372,0,0
18,4372,12,9
19,4372,0,0
19,4372,1.5,9
19,4372,3,5
21,4372,0,0
21,4372,0,0
1,4375,0,0
1,4375,0,0
2,4375,0,0
2,4375,0,0
3,4375,0,0
3,4375,0,0
4,4375,0,0
5,4375,0,0
5,4375,0,0
6,4375,0,0
6,4375,0,0
7,4375,0,0
8,4375,0,0
9,4375,0,0
10,4375,0,0
11,4375,0,0
11,4375,0,0
12,4375,0,0
12,4375,0,0
13,4375,0,0
13,4375,0,0
13,4375,0,0
14,4375,0,0
14,4375,0,0
15,4375,0,0
16,4375,0,0
16,4375,0,0
17,4375,0,0
18,4375,0,0
18,4375,0,0
19,4375,0,0
19,4375,0,0
20,4375,0,0
20,4375,0,0
1,4379,0,0
1,4379,0,0
2,4379,0,0
2,4379,0,0
3,4379,0,0
3,4379,0,0
4,4379,0,0
4,4379,0,0
5,4379,0,0
5,4379,0,0
5,4379,0,0
6,4379,0,0
6,4379,0,0
7,4379,0,0
8,4379,0,0
8,4379,0,0
9,4379,0,0
9,4379,0,0
9,4379,0,0
9,4379,0,0
10,4379,0,0
11,4379,0,0
12,4379,0,0
12,4379,0,0
12,4379,0,0
12,4379,0,0
13,4379,0,0
13,4379,0,0
13,4379,0,0
13,4379,0,0
14,4379,0,0
14,4379,0,0
15,4379,0,0
15,4379,0,0
16,4379,0,0
16,4379,0,0
16,4379,0,0
17,4379,0,0
18,4379,0,0
18,4379,0,0
18,4379,0,0
18,4379,0,0
19,4379,0,0
19,4379,0,0
19,4379,0,0
20,4379,0,0
20,4379,0,0
20,4379,0,0
1,4382,0,0
1,4382,3,4
2,4382,0,0
2,4382,0,0
3,4382,0,0
3,4382,1,5
4,4382,0,0
4,4382,0.5,5
5,4382,0,0
5,4382,0,0
6,4382,3,5
7,4382,0,0
8,4382,0,0
8,4382,2,4
10,4382,0,0
10,4382,2,4
11,4382,0,0
13,4382,0.2,5
14,4382,0,0
14,4382,0,0
16,4382,0,0
17,4382,0,0
17,4382,0.5,4
18,4382,4,7
19,4382,0,0
1,4385,0,0
1,4385,0,0
1,4385,0,0
1,4385,0,0
2,4385,0,0
2,4385,0,0
2,4385,0,0
3,4385,0,0
3,4385,0,0
4,4385,0,0
4,4385,0,0
5,4385,0,0
6,4385,0,0
7,4385,0,0
7,4385,0,0
8,4385,0,0
8,4385,0,0
9,4385,0,0
10,4385,0,0
12,4385,0,0
12,4385,0,0
12,4385,0,0
13,4385,0,0
13,4385,0,0
14,4385,0,0
14,4385,0,0
15,4385,0,0
16,4385,0,0
16,4385,0,0
17,4385,0,0
17,4385,0,0
18,4385,0,0
19,4385,0,0
20,4385,0,0
1,4389,0,0
1,4389,0,0
2,4389,0,0
2,4389,0,0
3,4389,0,0
3,4389,0,0
4,4389,0,0
4,4389,0,0
4,4389,0,0
4,4389,0,0
5,4389,0,0
5,4389,0,0
5,4389,6,5
6,4389,0,0
6,4389,0,0
7,4389,0,0
7,4389,0,0
7,4389,0,0
8,4389,0,0
8,4389,0,0
9,4389,0,0
9,4389,2,5
10,4389,0,0
10,4389,0,0
11,4389,0,0
11,4389,0,0
12,4389,0,0
13,4389,0,0
13,4389,0,0
14,4389,0,0
14,4389,0,0
14,4389,0,0
15,4389,0,0
15,4389,0,0
15,4389,0,0
16,4389,0,0
16,4389,0,0
16,4389,0,0
16,4389,0,0
17,4389,0,0
18,4389,0,0
18,4389,0,0
18,4389,0,0
19,4389,0,0
19,4389,0,0
19,4389,0,0
19,4389,0,0
20,4389,0,0
20,4389,0,0
20,4389,0,0
20,4389,0,0
1,4392,0,0
2,4392,0,0
2,4392,1,5
3,4392,0,0
3,4392,0.4,5
4,4392,0,0
4,4392,0,0
4,4392,3,8
5,4392,0,0
5,4392,2.3,5
6,4392,0,0
6,4392,20,8
7,4392,0.2,5
7,4392,14,8
8,4392,0,0
8,4392,0,0
8,4392,4,8
9,4392,0,0
9,4392,0,0
9,4392,0,0
9,4392,10,8
11,4392,0,0
11,4392,0,0
11,4392,10,8
12,4392,0,0
12,4392,0,0
12,4392,0.4,5
12,4392,0.4,5
13,4392,0,0
13,4392,4.1,4
14,4392,0,0
14,4392,0,0
14,4392,0,0
14,4392,24,8
15,4392,0,0
15,4392,1,5
15,4392,1.1,5
16,4392,0,0
16,4392,0,0
16,4392,0,0
16,4392,10,8
17,4392,0,0
17,4392,30,19
17,4392,0,0
17,4392,0,0
17,4392,2,8
17,4392,10,8
18,4392,0,0
18,4392,0,0
18,4392,0,0
18,4392,50,8
19,4392,6,8
20,4392,0,0
20,4392,5,8
1,4395,0,0
1,4395,12,9
2,4395,0,0
2,4395,2.2,5
3,4395,0,0
3,4395,15,9
3,4395,0,0
4,4395,0,0
4,4395,0,0
4,4395,0.7,5
5,4395,0,0
5,4395,3,5
6,4395,0,0
6,4395,8.05,9
7,4395,0,0
7,4395,100,23
7,4395,149,9
8,4395,0,0
8,4395,20,23
8,4395,0.5,5
9,4395,0,0
9,4395,65,23
9,4395,0.67,4
10,4395,0,0
10,4395,1,5
11,4395,0,0
11,4395,0,0
11,4395,12,9
12,4395,0,0
12,4395,11,9
13,4395,0,0
13,4395,42,9
13,4395,9,23
14,4395,0,0
14,4395,0,0
14,4395,3.08,5
15,4395,0,0
15,4395,27,9
16,4395,0,0
16,4395,57,9
16,4395,3,7
17,4395,0,0
17,4395,20,23
17,4395,0.08,5
18,4395,0,0
18,4395,0,0
18,4395,0,0
18,4395,30,9
19,4395,0,0
19,4395,33,9
20,4395,0,0
20,4395,40,19
20,4395,221,9
1,4399,0,0
1,4399,2.01,4
2,4399,0,0
2,4399,0.08,4
3,4399,0,0
3,4399,1.05,4
4,4399,1.74980057982641e+100,1.74980057982641e+100
5,4399,1.74980057982641e+100,1.74980057982641e+100
6,4399,0.05,5
6,4399,0,0
7,4399,0,0
7,4399,0.04,4
7,4399,1,4
8,4399,0.02,4
8,4399,1,4
9,4399,0.3,4
9,4399,1.7,4
10,4399,1.74980057982641e+100,1.74980057982641e+100
11,4399,0.04,5
11,4399,1,4
12,4399,0,0
12,4399,0,0
12,4399,1,4
13,4399,4,8
14,4399,1.74980057982641e+100,1.74980057982641e+100
15,4399,0,0
15,4399,0,0
16,4399,0.06,4
17,4399,4,8
17,4399,2,8
18,4399,0,0
18,4399,4,4
19,4399,0,0
19,4399,2,4
20,4399,0,0
20,4399,0,0
20,4399,0.04,4
20,4399,0.25,4
1,4402,0,0
1,4402,3,4
2,4402,0,0
3,4402,0,0
3,4402,1,4
4,4402,0,0
4,4402,0.34,5
5,4402,0,0
6,4402,0,0
6,4402,0,0
7,4402,0,0
7,4402,1,4
8,4402,0,0
8,4402,0,0
9,4402,0,0
9,4402,0.05,5
9,4402,0,0
10,4402,0,0
10,4402,7,5
10,4402,0,0
11,4402,0,0
11,4402,2,4
11,4402,0,0
12,4402,0,0
12,4402,0.4,5
13,4402,0,0
13,4402,14,8
14,4402,0,0
14,4402,0,0
14,4402,0,0
15,4402,0,0
15,4402,0,0
15,4402,9.05,8
16,4402,3,8
17,4402,0,0
18,4402,0,0
18,4402,0,0
18,4402,0,0
18,4402,0,0
18,4402,2,8
19,4402,0,0
20,4402,0,0
20,4402,19,0
1,4405,0,0
1,4405,26.25,9
2,4405,0,0
2,4405,2,4
3,4405,0,0
3,4405,0,0
3,4405,0.75,4
4,4405,0,0
4,4405,26.25,9
5,4405,0,0
5,4405,1,4
6,4405,0,0
6,4405,1.5,4
7,4405,0,0
7,4405,2.99,4
8,4405,0,0
8,4405,0.5,4
9,4405,1,5
9,4405,1.5,4
10,4405,0,0
10,4405,1.96,4
11,4405,0,0
11,4405,3.99,4
12,4405,1.75,4
13,4405,0.95,4
14,4405,1,4
15,4405,2.99,4
16,4405,0,0
16,4405,1.99,4
17,4405,0,0
17,4405,0.98,4
18,4405,0,0
18,4405,0.5,4
19,4405,0,0
19,4405,1.5,4
19,4405,3.25,4
19,4405,3.09,9
20,4405,0,0
20,4405,1.5,4
20,4405,3,9
1,4408,0,0
1,4408,4,8
2,4408,1,5
4,4408,0,0
4,4408,15,8
5,4408,0,0
5,4408,0,0
6,4408,50,19
6,4408,0,0
6,4408,15,8
7,4408,0,0
7,4408,0,0
7,4408,0,0
7,4408,10,8
7,4408,8,22
8,4408,0,0
8,4408,9,8
8,4408,5,8
9,4408,29.5,8
9,4408,1,8
10,4408,0,0
10,4408,19.5,8
11,4408,0,0
11,4408,3.5,8
11,4408,3.5,8
12,4408,0,0
12,4408,0,0
12,4408,2,8
13,4408,0,0
13,4408,4,8
15,4408,0,0
15,4408,0,0
15,4408,28,8
16,4408,0,0
16,4408,1,4
17,4408,0,0
17,4408,0,0
18,4408,0,0
18,4408,4,4
19,4408,0,0
19,4408,1,4
20,4408,0,0
20,4408,0,0
20,4408,0,0
20,4408,100,8
1,4412,1,5
2,4412,0.67,5
3,4412,1,5
3,4412,0,5
4,4412,0,5
4,4412,1,5
5,4412,0,5
5,4412,2.8,5
6,4412,2,4
7,4412,0,4
7,4412,2,5
7,4412,0,9
8,4412,0.5,5
9,4412,0,5
9,4412,2,5
11,4412,0,25
11,4412,2,5
12,4412,2,5
12,4412,0.5,5
13,4412,20,23
13,4412,3.63,4
14,4412,0.17,5
15,4412,1.5,5
16,4412,1.4,5
17,4412,3.63,4
18,4412,1,5
19,4412,0.81,5
20,4412,0.63,5
1,4415,0.5,4
2,4415,2,5
2,4415,1,5
3,4415,1,5
4,4415,2,4
5,4415,0.45,5
6,4415,1,4
7,4415,1.5,5
8,4415,2,4
9,4415,4,4
10,4415,2,5
11,4415,1,4
12,4415,2,4
12,4415,10,9
13,4415,0,0
13,4415,1,4
14,4415,2,4
15,4415,12,4
16,4415,2,4
16,4415,12,22
17,4415,2.5,4
18,4415,6,4
19,4415,2,4
20,4415,0,0
20,4415,0.5,4
1,4419,3,9
1,4419,2,9
2,4419,0,0
2,4419,2,4
3,4419,30,9
6,4419,0,0
6,4419,20,9
6,4419,10,9
7,4419,0,0
7,4419,10,9
8,4419,0,0
8,4419,48,9
9,4419,0,0
9,4419,20,9
10,4419,0,0
10,4419,18,9
11,4419,0,0
11,4419,9,9
15,4419,4,9
16,4419,0,0
16,4419,35.5,9
18,4419,9,9
18,4419,27,9
19,4419,44,9
20,4419,0,0
20,4419,0,0
21,4419,0,0
21,4419,0,0
21,4419,27,9
21,4419,6,9
22,4419,0.1,4
22,4419,62,9
22,4419,0,9
23,4419,68,9
23,4419,0,0
25,4419,0,0
25,4419,0,0
25,4419,8.5,9
1,4422,0,0
1,4422,2,5
2,4422,0,0
2,4422,1,5
3,4422,0,0
3,4422,0.5,5
4,4422,0,0
4,4422,0,0
5,4422,0,0
5,4422,1.75,4
6,4422,2,4
6,4422,1.75,4
7,4422,0,0
7,4422,0.8,4
8,4422,0,0
8,4422,4,4
9,4422,0.5,0
10,4422,0,0
10,4422,0,0
10,4422,1,5
11,4422,0,0
11,4422,0.5,4
12,4422,0,0
12,4422,0,0
13,4422,0,0
13,4422,8,9
14,4422,0,0
14,4422,0.75,5
15,4422,0,0
15,4422,0.5,5
16,4422,0,0
16,4422,2.25,4
17,4422,0,0
17,4422,1.3,5
18,4422,0,0
18,4422,1.5,4
19,4422,0,0
19,4422,0.5,5
20,4422,0,0
20,4422,4,4
1,4425,0.5,4
3,4425,0.25,4
4,4425,2,9
5,4425,0,9
6,4425,0,0
6,4425,25,9
7,4425,9,9
8,4425,0,0
8,4425,1,9
9,4425,4,9
10,4425,5,9
12,4425,10,9
13,4425,20,9
13,4425,25,9
14,4425,6.4,9
15,4425,48,9
16,4425,2,9
17,4425,26,9
18,4425,27,9
19,4425,19.5,9
20,4425,17,9
1,4429,2,4
2,4429,1.74980057982641e+100,1.74980057982641e+100
3,4429,0,0
3,4429,1.5,5
4,4429,0,0
4,4429,3.87,4
4,4429,0,0
7,4429,0,0
7,4429,1,4
8,4429,0.25,5
9,4429,0,0
9,4429,3,4
10,4429,0,0
10,4429,1,5
11,4429,0,0
11,4429,5.94,4
13,4429,0,0
13,4429,1.5,5
14,4429,0.08,5
16,4429,0.5,4
17,4429,0,0
17,4429,0.75,5
18,4429,0.37,5
19,4429,0,0
19,4429,2,4
20,4429,0,0
20,4429,1.5,4
25,4429,0,0
25,4429,1.72,4
1,4433,0,0
1,4433,4,5
2,4433,1,5
2,4433,0.17,5
3,4433,0.67,5
3,4433,10,7
4,4433,0,0
4,4433,2.39,5
5,4433,0.53,5
5,4433,0,0
5,4433,1.17,5
5,4433,3,7
6,4433,1,5
7,4433,0,0
7,4433,6.5,5
8,4433,0.92,5
9,4433,0,0
9,4433,3.5,5
10,4433,0,0
10,4433,1.83,5
10,4433,0,0
11,4433,0,0
11,4433,1.97,5
12,4433,0.92,5
12,4433,1,5
13,4433,1.9,5
14,4433,0,0
14,4433,0.17,5
14,4433,0.97,5
15,4433,0,0
15,4433,1.5,5
16,4433,2,5
16,4433,1,5
16,4433,0,0
17,4433,0.5,5
18,4433,0,0
18,4433,0.5,5
19,4433,0,0
19,4433,0.46,5
20,4433,0,0
20,4433,0,0
1,4435,60,12
1,4435,1.97,5
1,4435,0.44,5
3,4435,200,12
3,4435,0.94,5
3,4435,1,5
4,4435,100,12
4,4435,0.5,5
4,4435,0,0
4,4435,0,0
6,4435,0,0
6,4435,1.37,5
6,4435,0,0
6,4435,0,0
6,4435,0,0
6,4435,0,0
7,4435,0,0
7,4435,1.97,5
7,4435,1.97,5
8,4435,100,12
8,4435,1.44,5
8,4435,1.44,5
9,4435,0,0
9,4435,0.84,5
9,4435,0,0
10,4435,60,12
10,4435,0.5,5
11,4435,100,12
11,4435,1.9,5
12,4435,60,12
12,4435,0.91,5
12,4435,0.45,4
13,4435,200,12
13,4435,4.87,5
13,4435,0.94,5
14,4435,0,0
15,4435,2,5
15,4435,2,9
16,4435,60,12
16,4435,0.91,5
17,4435,26,12
17,4435,0.19,5
17,4435,0.77,5
18,4435,100,12
18,4435,3.25,5
20,4435,60,12
20,4435,0.44,5
21,4435,2,5
22,4435,150,12
22,4435,0.87,5
22,4435,10,9
23,4435,60,12
23,4435,0.91,5
1,4439,0.3,5
2,4439,1.74980057982641e+100,1.74980057982641e+100
7,4439,2.7,5
9,4439,0.2,5
12,4439,0.5,5
13,4439,0.5,5
15,4439,0.2,5
17,4439,0.2,5
18,4439,0,0
20,4439,1.74980057982641e+100,1.74980057982641e+100
21,4439,0.3,5
2,4442,4,5
4,4442,1.5,5
6,4442,0,4
6,4442,3,5
9,4442,1,4
11,4442,1.29,5
12,4442,2.8,5
13,4442,0,5
13,4442,0,5
13,4442,0.5,5
13,4442,0,9
13,4442,0,9
14,4442,0,4
14,4442,0,5
14,4442,0,4
15,4442,0,5
15,4442,1.5,5
16,4442,0,5
16,4442,0,5
16,4442,0.5,5
17,4442,0.8,4
18,4442,0,5
18,4442,0.33,5
18,4442,0,9
20,4442,1,4
24,4442,1,4
1,4445,0,5
1,4445,0,5
1,4445,5,5
2,4445,2,5
3,4445,2,5
4,4445,0,5
4,4445,3,5
6,4445,2.5,4
7,4445,2,5
8,4445,0.5,5
9,4445,0,5
9,4445,1,5
10,4445,0,5
10,4445,8,5
11,4445,0,5
11,4445,0.5,5
12,4445,0,0
12,4445,1.5,5
13,4445,3,5
14,4445,0,5
14,4445,0,5
14,4445,3,5
15,4445,0.5,5
16,4445,1,5
18,4445,2,5
19,4445,5,5
20,4445,2,5
5,4449,10,8
6,4449,0.5,5
7,4449,1,5
20,4449,1,5
1,4452,0.5,5
2,4452,0.05,5
2,4452,1,5
2,4452,1,5
3,4452,6,4
3,4452,3,5
4,4452,2,5
4,4452,4,5
5,4452,5,5
6,4452,0.05,5
6,4452,0.5,5
6,4452,0,5
7,4452,1,5
8,4452,0.5,5
8,4452,0.5,5
8,4452,0,5
9,4452,1.5,5
10,4452,2.97,5
11,4452,0.5,5
11,4452,3,5
12,4452,0.3,5
12,4452,1,5
12,4452,0.38,5
12,4452,1,5
13,4452,3,5
14,4452,0.3,5
14,4452,1,5
15,4452,1,5
15,4452,1,5
16,4452,1.5,5
17,4452,5,5
17,4452,4,5
18,4452,1,5
20,4452,0.13,5
20,4452,0.5,5
20,4452,0.05,5
22,4452,0.5,5
2,4455,0,0
2,4455,1,5
4,4455,1,5
5,4455,3,5
6,4455,2,5
7,4455,1,5
7,4455,0,0
8,4455,2,5
8,4455,0,0
9,4455,2,4
10,4455,2,5
10,4455,0,0
11,4455,1,4
12,4455,0,0
13,4455,0,0
13,4455,2,5
14,4455,0,0
15,4455,1.74980057982641e+100,1.74980057982641e+100
16,4455,0,0
16,4455,2,5
17,4455,0,0
18,4455,1,5
18,4455,0,0
18,4455,0,0
19,4455,0,0
19,4455,2,5
20,4455,2,5
20,4455,0,0
20,4455,0,0
1,4459,0,0
1,4459,0.5,5
2,4459,1,5
3,4459,0.5,5
4,4459,0,0
4,4459,0.25,12
4,4459,2,5
4,4459,1,9
5,4459,1,5
7,4459,1,5
8,4459,1,5
9,4459,0,0
9,4459,1,8
10,4459,0.5,5
11,4459,0,0
11,4459,0.1,5
12,4459,1.74980057982641e+100,1.74980057982641e+100
13,4459,0,5
13,4459,200,18
13,4459,2.5,5
13,4459,0.8,4
13,4459,0.2,5
13,4459,0,0
14,4459,0.5,5
15,4459,0.5,5
16,4459,0.5,5
17,4459,0.5,5
18,4459,2,5
19,4459,0.5,5
20,4459,2.5,5
20,4459,0,0
1,4462,2,4
1,4462,0.5,4
2,4462,0.75,4
3,4462,1,4
4,4462,1.25,4
5,4462,2,4
6,4462,2.25,4
7,4462,0,0
7,4462,2.5,4
8,4462,1.25,4
9,4462,1,4
9,4462,1,4
10,4462,1.75,4
11,4462,1,4
12,4462,0,0
12,4462,0.75,4
13,4462,1.5,4
14,4462,0.75,4
14,4462,3,22
15,4462,2,4
16,4462,1.75,4
17,4462,1,5
18,4462,1.75,4
19,4462,0.5,4
20,4462,2,4
1,4465,1,4
1,4465,0.25,4
2,4465,1,4
3,4465,2,4
5,4465,1.5,4
6,4465,2,4
7,4465,0.52,4
7,4465,0.15,4
8,4465,1.25,4
9,4465,1.15,4
11,4465,1.5,4
12,4465,0.75,4
13,4465,1,4
14,4465,0,0
14,4465,1.5,4
16,4465,0,0
17,4465,0,0
17,4465,1.5,4
19,4465,0,0
19,4465,0.75,4
20,4465,1.25,4
6,4472,0.5,5
6,4472,0,0
7,4472,0.75,5
10,4472,0.5,5
14,4472,1,5
14,4472,5,22
14,4472,0,0
15,4472,0,0
15,4472,0,0
15,4472,0.8,4
15,4472,0,0
15,4472,2,5
15,4472,0.45,5
15,4472,0,0
17,4472,1.74980057982641e+100,1.74980057982641e+100
21,4472,1,5
1,4479,1,8
2,4479,2,8
3,4479,0,0
3,4479,1,8
4,4479,0,0
4,4479,0.9,5
5,4479,1.74980057982641e+100,1.74980057982641e+100
5,4479,0,0
5,4479,3,8
5,4479,0.8,5
5,4479,1.2,5
7,4479,0.5,5
7,4479,0.5,5
7,4479,0,0
7,4479,0,0
8,4479,1.74980057982641e+100,1.74980057982641e+100
8,4479,0,0
8,4479,0,0
8,4479,1,5
8,4479,28,5
9,4479,0,0
9,4479,1.4,5
9,4479,0.25,5
10,4479,0,0
10,4479,1.3,5
10,4479,1,5
11,4479,1.74980057982641e+100,1.74980057982641e+100
11,4479,2.95,5
11,4479,0,0
12,4479,0,0
12,4479,1.75,5
13,4479,2,8
14,4479,0,0
14,4479,1.5,8
14,4479,0.25,5
15,4479,0,0
15,4479,20,8
15,4479,0.25,5
16,4479,0,0
16,4479,0,0
16,4479,0.9,5
16,4479,0,0
17,4479,0,0
17,4479,0.95,5
18,4479,1,8
19,4479,0,0
19,4479,4,8
19,4479,10.5,8
20,4479,4.5,8
1,4482,0,0
1,4482,3,5
2,4482,0,0
2,4482,4,8
2,4482,20,22
3,4482,0,0
3,4482,4,9
3,4482,2,5
3,4482,5,7
3,4482,3,7
4,4482,0,0
4,4482,3,5
4,4482,0.5,0
5,4482,1.74980057982641e+100,1.74980057982641e+100
6,4482,0,0
6,4482,10,8
7,4482,0,0
8,4482,0,0
8,4482,5,4
9,4482,0,0
9,4482,0,0
10,4482,1.05,8
11,4482,0,0
12,4482,0,0
12,4482,1,12
12,4482,4,4
12,4482,2.5,5
13,4482,1.74980057982641e+100,1.74980057982641e+100
15,4482,0,0
15,4482,0.2,5
17,4482,0,0
17,4482,0.06,5
18,4482,2,9
19,4482,0,0
19,4482,3,8
1,4485,20,8
1,4485,2,7
2,4485,0,0
3,4485,1,5
4,4485,2,8
5,4485,1.5,4
6,4485,0,0
6,4485,1,4
8,4485,0,0
8,4485,15,18
8,4485,2,5
9,4485,3,8
10,4485,3,5
10,4485,3,5
10,4485,0,0
11,4485,5,4
12,4485,2,8
13,4485,0,0
13,4485,0,0
13,4485,1,5
14,4485,50,18
14,4485,3,5
15,4485,50,18
15,4485,100,24
16,4485,13,8
16,4485,8,22
17,4485,0.5,5
18,4485,2,4
19,4485,0,0
19,4485,2,4
1,4489,1.5,8
1,4489,4,22
2,4489,0.5,5
4,4489,300,24
6,4489,200,24
7,4489,1,8
8,4489,6,8
9,4489,0.5,5
9,4489,1,5
9,4489,2,8
10,4489,50,24
11,4489,300,24
12,4489,1,5
13,4489,1,8
15,4489,0,0
15,4489,2,8
16,4489,0,0
16,4489,0,0
16,4489,150,24
16,4489,0.5,4
17,4489,0.5,5
18,4489,300,24
19,4489,6,8
20,4489,0,0
20,4489,1.5,8
21,4489,100,24
21,4489,3,8
22,4489,3,8
22,4489,2,9
1,4492,0,0
1,4492,0.45,5
1,4492,38,22
2,4492,11.5,8
3,4492,0,0
3,4492,10,22
4,4492,0,0
4,4492,1,5
5,4492,0,0
6,4492,11.67,8
7,4492,4,8
8,4492,0,0
8,4492,0,0
8,4492,2,4
9,4492,0,0
10,4492,0,0
10,4492,0,0
10,4492,9.5,8
10,4492,3,8
10,4492,9.5,22
11,4492,9.5,8
11,4492,0.83,8
11,4492,3.5,22
12,4492,0,0
12,4492,0,0
12,4492,0,0
12,4492,0.01,5
12,4492,2,8
12,4492,2.09,8
13,4492,1.74980057982641e+100,1.74980057982641e+100
14,4492,1,8
14,4492,5,22
15,4492,1.5,4
15,4492,7.5,22
16,4492,0,0
16,4492,1,5
16,4492,19.5,22
17,4492,1,8
18,4492,9.75,8
18,4492,19,22
19,4492,0,0
19,4492,0,0
19,4492,0.8,8
19,4492,10,22
19,4492,18,22
20,4492,0,0
20,4492,5.5,8
20,4492,3.9,8
20,4492,1.95,0
1,4495,0,0
1,4495,2,4
2,4495,0,0
3,4495,0,0
3,4495,1.25,4
4,4495,3,4
5,4495,0,0
5,4495,0,0
5,4495,2.25,4
6,4495,2.5,4
8,4495,0.5,7
8,4495,1,4
9,4495,0,0
9,4495,1,7
9,4495,1,4
10,4495,0,0
10,4495,6,4
10,4495,0.91,4
10,4495,0,0
11,4495,5,5
11,4495,2.5,4
12,4495,0,0
12,4495,1,4
13,4495,0,0
13,4495,0.5,4
14,4495,1,4
15,4495,0,0
15,4495,0,0
15,4495,1,4
15,4495,0,0
16,4495,0,0
16,4495,0.75,4
17,4495,0,0
17,4495,3.5,4
18,4495,1.5,4
19,4495,0.5,4
20,4495,0,0
20,4495,0.5,4
1,4499,0,0
1,4499,0,0
1,4499,0,0
1,4499,4,8
1,4499,1.9,8
2,4499,3.5,8
3,4499,2,8
3,4499,1,4
3,4499,2,22
4,4499,0,0
4,4499,0,0
4,4499,2,4
4,4499,3.75,8
4,4499,0.75,4
5,4499,0,0
5,4499,7.7,8
5,4499,1,4
5,4499,7,22
6,4499,0,0
6,4499,0.25,4
7,4499,0,0
7,4499,0,0
7,4499,1.5,5
7,4499,5.5,5
7,4499,0,0
7,4499,7,22
8,4499,1.9,8
8,4499,1,4
10,4499,0,0
10,4499,5,8
10,4499,1.8,8
10,4499,1,4
11,4499,40,18
11,4499,9.8,8
11,4499,2.5,4
12,4499,4.04,5
12,4499,4,8
12,4499,10,8
12,4499,18,4
12,4499,2.5,4
12,4499,6,4
12,4499,0,0
13,4499,3.8,8
13,4499,2,4
14,4499,3.5,8
14,4499,1.8,8
14,4499,2.3,4
15,4499,4,8
15,4499,10,4
16,4499,35,19
16,4499,2,8
16,4499,1.5,4
17,4499,0,0
17,4499,0,0
17,4499,9.5,8
17,4499,5.05,4
17,4499,0,0
18,4499,0,0
18,4499,8,8
18,4499,6.5,4
19,4499,0,0
19,4499,0,0
19,4499,11,4
20,4499,0,0
20,4499,17,8
20,4499,4.5,4
20,4499,0,0
1,4502,10,8
2,4502,1.74980057982641e+100,1.74980057982641e+100
5,4502,0,0
5,4502,0,0
6,4502,0,0
13,4502,2,8
15,4502,1.74980057982641e+100,1.74980057982641e+100
16,4502,1,4
17,4502,6.5,8
19,4502,3,8
2,4505,0.5,5
4,4505,0,0
4,4505,0.5,5
5,4505,0,0
5,4505,0.5,5
