nh,clust,Harvest_processed_by_HH,Unit_of_measure
7,4049,0,0
7,4049,0,0
7,4049,20,8
8,4049,0,0
8,4049,5,8
9,4049,0,0
9,4049,0,0
9,4049,0,0
9,4049,15,8
10,4049,0,0
10,4049,0,0
10,4049,10,8
11,4049,0,0
11,4049,0,0
11,4049,4,8
11,4049,0,0
12,4049,0,0
12,4049,0,0
12,4049,5,8
13,4049,0,0
13,4049,10,8
14,4049,0,0
14,4049,0,0
14,4049,1.5,8
15,4049,0,0
15,4049,0,0
15,4049,20,8
15,4049,10,8
16,4049,0,0
16,4049,0,0
16,4049,4,8
17,4049,0,0
17,4049,0,0
17,4049,2,8
17,4049,1,8
18,4049,0,0
18,4049,0,0
18,4049,0,0
18,4049,0,0
18,4049,5,8
18,4049,6,8
19,4049,0,0
19,4049,0,0
19,4049,3,8
20,4049,0,0
20,4049,0,0
20,4049,0,0
20,4049,40,8
20,4049,2,8
18,4052,0.5,5
1,4055,9,9
1,4055,4,9
2,4055,14,9
3,4055,1.74980057982641e+100,1.74980057982641e+100
4,4055,19,9
5,4055,9,9
6,4055,19,9
8,4055,19.5,9
9,4055,9,9
10,4055,33,9
11,4055,0,0
11,4055,42,9
11,4055,29,9
12,4055,198,9
13,4055,59,9
14,4055,9,9
15,4055,116,9
18,4055,49,9
19,4055,77,9
20,4055,40,9
20,4055,8,9
25,4055,29,9
2,4059,20,4
3,4059,1.74980057982641e+100,1.74980057982641e+100
7,4059,1.74980057982641e+100,1.74980057982641e+100
8,4059,1.5,4
9,4059,1.74980057982641e+100,1.74980057982641e+100
10,4059,1.74980057982641e+100,1.74980057982641e+100
11,4059,2,7
14,4059,2,4
15,4059,1.74980057982641e+100,1.74980057982641e+100
16,4059,1.74980057982641e+100,1.74980057982641e+100
1,4062,1.74980057982641e+100,1.74980057982641e+100
2,4062,3,4
2,4062,10,9
2,4062,1,7
2,4062,1,7
3,4062,12,4
3,4062,2.5,5
3,4062,1,7
3,4062,2.5,7
6,4062,3,4
6,4062,25,9
7,4062,2,7
8,4062,0.5,7
8,4062,1,7
10,4062,2,7
11,4062,25,25
11,4062,5,5
11,4062,1,5
11,4062,2,7
11,4062,0.5,5
11,4062,1,7
12,4062,3,7
12,4062,2.5,9
12,4062,2,7
12,4062,4,7
14,4062,3,7
15,4062,4,8
15,4062,1,9
15,4062,0.5,4
15,4062,1,7
16,4062,1.74980057982641e+100,1.74980057982641e+100
17,4062,0,0
17,4062,6,7
17,4062,10,9
19,4062,4,5
19,4062,0.25,5
19,4062,3,7
19,4062,24,9
19,4062,10,9
20,4062,3,17
20,4062,0.5,0
20,4062,22,9
20,4062,1,7
20,4062,0.5,7
20,4062,2,9
20,4062,5,8
1,4065,0.4,4
2,4065,1.98,4
3,4065,3,4
5,4065,0.95,4
6,4065,2,4
7,4065,0.49,4
7,4065,0.48,4
7,4065,0.19,4
8,4065,0.69,4
9,4065,2.98,4
10,4065,2.75,4
11,4065,0.95,4
13,4065,1.9,4
14,4065,1,4
15,4065,0.95,4
16,4065,0.98,4
17,4065,2,4
20,4065,0.9,4
21,4065,0.95,4
23,4065,2,4
1,4069,50,12
1,4069,3.82,4
1,4069,2,4
2,4069,0,0
2,4069,10,19
2,4069,50,12
2,4069,5,5
3,4069,50,12
4,4069,0,0
4,4069,200,12
4,4069,0,0
4,4069,1.5,5
4,4069,0,0
4,4069,0,0
4,4069,2,9
5,4069,100,12
5,4069,4,9
6,4069,1,4
7,4069,100,12
7,4069,2,9
7,4069,4.7,4
8,4069,150,12
8,4069,3.91,5
9,4069,10,19
9,4069,50,12
9,4069,0,0
9,4069,0.94,5
10,4069,0,0
10,4069,150,12
10,4069,0.17,5
11,4069,40,12
11,4069,1.87,13
12,4069,200,12
12,4069,2.88,4
13,4069,50,12
13,4069,0.97,5
14,4069,50,12
14,4069,1.5,9
14,4069,1.88,5
15,4069,50,12
15,4069,8,9
15,4069,4,4
16,4069,100,12
16,4069,0.25,4
16,4069,8,4
17,4069,100,12
17,4069,3,7
17,4069,2,7
18,4069,4,4
18,4069,20,19
18,4069,150,12
1,4072,37,9
2,4072,27,9
2,4072,4.5,9
3,4072,17,9
4,4072,99,9
5,4072,8,9
8,4072,72,9
11,4072,0.5,5
12,4072,42,9
12,4072,1,4
14,4072,12,9
15,4072,72,9
15,4072,0,0
17,4072,29,9
18,4072,2,5
19,4072,3,9
19,4072,1,5
1,4075,12,9
1,4075,24,9
1,4075,0,7
2,4075,7,9
3,4075,2.5,9
4,4075,18,9
4,4075,1,8
4,4075,0,0
5,4075,18,9
5,4075,0,0
6,4075,35,9
6,4075,0,0
6,4075,0,0
7,4075,1,9
7,4075,0,0
8,4075,4,9
9,4075,12,9
10,4075,18,9
10,4075,0,0
10,4075,0,0
11,4075,18,9
11,4075,0,0
12,4075,6,9
12,4075,0,0
13,4075,15,9
13,4075,0,0
14,4075,11,9
14,4075,0,0
15,4075,4,9
15,4075,0,0
16,4075,38,9
16,4075,0,0
16,4075,0,0
18,4075,12,9
18,4075,0,0
18,4075,0,0
19,4075,30,9
19,4075,0,0
19,4075,1,9
20,4075,90,9
20,4075,0,0
22,4075,11,9
22,4075,0,0
1,4079,0.25,5
1,4079,0.75,5
1,4079,8,5
1,4079,0.75,5
1,4079,40,9
1,4079,0.75,5
1,4079,0.25,5
1,4079,0.25,5
1,4079,0.75,5
1,4079,0.75,5
1,4079,1.5,5
1,4079,2.75,5
2,4079,4,8
2,4079,10,5
2,4079,93,9
2,4079,1,7
2,4079,4,5
3,4079,1,5
3,4079,10,5
3,4079,20,5
3,4079,10,5
3,4079,2,5
3,4079,1,7
3,4079,0.5,5
3,4079,2.5,5
4,4079,11,9
4,4079,5,5
4,4079,22,9
4,4079,3,9
5,4079,6,5
5,4079,2,5
6,4079,15,5
6,4079,3,5
7,4079,15,5
7,4079,2,5
7,4079,129,5
8,4079,33,9
8,4079,9.5,5
8,4079,42,9
8,4079,2,9
8,4079,0.25,5
9,4079,9,5
9,4079,1.25,5
9,4079,3,5
9,4079,0.5,5
10,4079,0.5,5
10,4079,13,5
10,4079,1.75,5
10,4079,2,9
10,4079,4,5
11,4079,0.5,5
11,4079,18,5
11,4079,2,5
11,4079,5,9
11,4079,0.5,5
12,4079,50,25
12,4079,0.5,5
12,4079,15,5
12,4079,10,5
12,4079,6,5
12,4079,3.75,5
12,4079,0.25,5
12,4079,1,5
12,4079,3.25,5
13,4079,0.25,5
13,4079,33,5
13,4079,1,5
13,4079,22,9
13,4079,1.5,5
14,4079,1,5
14,4079,88,9
15,4079,10,9
15,4079,18,5
15,4079,2.25,5
15,4079,20,9
