nh,clust,Own_operate_farm,Fish_process_for_sale,Operate_own_business
9,4049,1,2,1
10,4049,1,1,1
11,4049,1,1,1
12,4049,1,2,1
13,4049,1,2,1
14,4049,1,2,2
15,4049,1,2,1
16,4049,1,2,1
17,4049,1,1,1
18,4049,1,1,1
19,4049,1,2,1
20,4049,1,1,1
1,4052,2,2,1
2,4052,2,1,2
3,4052,2,1,1
4,4052,2,2,2
5,4052,2,2,1
6,4052,2,2,1
7,4052,2,1,2
8,4052,2,2,2
9,4052,2,2,1
10,4052,2,2,1
11,4052,2,1,1
12,4052,2,2,1
13,4052,2,2,2
14,4052,2,2,2
15,4052,2,2,1
16,4052,2,2,1
17,4052,2,2,1
18,4052,1,2,2
19,4052,2,2,1
20,4052,2,2,1
1,4055,1,1,1
2,4055,1,1,2
3,4055,1,1,2
4,4055,1,1,2
5,4055,1,1,2
6,4055,1,1,2
7,4055,2,2,2
8,4055,1,1,2
9,4055,1,1,2
10,4055,1,1,2
11,4055,1,1,1
12,4055,1,1,2
13,4055,1,1,2
14,4055,1,1,2
15,4055,1,1,1
17,4055,2,1,1
18,4055,1,1,2
19,4055,1,1,2
20,4055,1,1,1
25,4055,1,1,2
1,4059,1,1,2
2,4059,1,1,1
3,4059,1,1,2
4,4059,2,1,2
5,4059,2,2,1
6,4059,2,2,1
7,4059,1,2,1
8,4059,1,1,1
9,4059,1,2,2
10,4059,1,2,2
11,4059,1,1,1
12,4059,2,2,2
13,4059,2,2,1
14,4059,1,1,2
15,4059,1,1,1
16,4059,1,1,1
17,4059,2,1,2
18,4059,2,2,2
19,4059,2,2,1
20,4059,2,2,1
1,4062,1,2,1
2,4062,1,1,1
3,4062,1,1,2
4,4062,2,2,1
5,4062,2,2,1
6,4062,1,1,1
7,4062,1,1,1
8,4062,1,2,1
9,4062,2,2,2
10,4062,1,2,1
11,4062,1,1,2
12,4062,1,1,2
13,4062,2,2,1
14,4062,1,2,1
15,4062,1,1,2
16,4062,1,1,2
17,4062,1,1,2
18,4062,2,2,2
19,4062,1,1,1
20,4062,1,1,1
1,4065,1,1,2
2,4065,1,1,2
3,4065,1,1,1
5,4065,1,1,2
6,4065,1,1,2
7,4065,1,1,2
8,4065,1,1,2
9,4065,1,1,2
10,4065,1,1,1
11,4065,1,1,1
13,4065,1,1,2
14,4065,1,1,2
15,4065,1,1,2
16,4065,1,1,2
17,4065,1,1,1
18,4065,2,2,2
19,4065,2,2,2
20,4065,1,1,2
21,4065,1,1,1
23,4065,1,1,1
1,4069,1,1,1
2,4069,1,1,1
3,4069,1,1,2
4,4069,1,1,1
5,4069,1,1,1
6,4069,1,1,1
7,4069,1,1,1
8,4069,1,1,1
9,4069,1,1,1
10,4069,1,1,1
11,4069,1,1,2
12,4069,1,1,1
13,4069,1,1,2
14,4069,1,1,1
15,4069,1,1,2
16,4069,1,1,1
17,4069,1,1,2
18,4069,1,1,2
19,4069,2,1,1
20,4069,2,1,2
1,4072,1,1,1
2,4072,1,1,1
3,4072,2,1,2
4,4072,1,1,2
5,4072,1,1,1
7,4072,2,1,2
8,4072,1,1,2
9,4072,1,1,2
10,4072,1,1,2
11,4072,1,1,1
12,4072,1,1,2
13,4072,2,1,2
14,4072,1,1,2
15,4072,1,1,2
16,4072,1,1,1
17,4072,1,1,2
18,4072,1,1,2
19,4072,1,1,2
20,4072,1,1,2
21,4072,2,1,2
1,4075,1,1,2
2,4075,1,1,2
3,4075,1,1,2
4,4075,1,1,1
5,4075,1,1,2
6,4075,1,1,1
7,4075,1,1,2
8,4075,1,1,2
9,4075,1,1,1
10,4075,1,1,2
11,4075,1,1,2
12,4075,1,1,2
13,4075,1,1,2
14,4075,1,1,2
15,4075,1,1,2
16,4075,1,1,1
18,4075,1,1,1
19,4075,1,1,2
20,4075,1,1,1
22,4075,1,1,2
1,4079,1,1,1
2,4079,1,1,1
3,4079,1,1,1
4,4079,1,1,2
5,4079,1,1,1
6,4079,1,1,1
7,4079,1,1,1
8,4079,1,1,1
9,4079,1,1,1
10,4079,1,1,2
11,4079,1,1,1
12,4079,1,1,1
13,4079,1,1,1
14,4079,1,1,1
15,4079,1,1,2
16,4079,1,1,1
17,4079,1,1,2
18,4079,1,1,1
19,4079,1,1,1
20,4079,1,1,1
1,4081,1,1,1
2,4081,1,1,1
3,4081,1,1,1
4,4081,1,1,2
5,4081,1,1,1
6,4081,1,1,1
7,4081,1,1,1
8,4081,1,1,1
9,4081,1,1,1
10,4081,1,1,1
11,4081,1,1,1
12,4081,1,1,1
13,4081,1,1,1
14,4081,1,1,2
15,4081,1,1,1
16,4081,1,1,2
17,4081,2,2,1
18,4081,1,1,1
19,4081,1,1,1
20,4081,1,1,2
1,4084,2,2,1
2,4084,2,1,2
3,4084,1,1,1
4,4084,2,1,2
5,4084,2,2,2
6,4084,2,2,2
7,4084,2,2,2
8,4084,2,2,2
9,4084,2,2,1
10,4084,2,2,1
11,4084,1,1,1
12,4084,2,2,1
13,4084,2,2,1
14,4084,1,2,1
15,4084,2,2,2
16,4084,2,2,1
17,4084,2,2,2
18,4084,2,1,2
19,4084,2,1,2
20,4084,2,2,1
1,4089,2,1,1
2,4089,1,1,2
3,4089,1,2,2
4,4089,2,2,1
5,4089,1,1,1
6,4089,1,1,1
7,4089,1,1,1
8,4089,2,1,1
9,4089,1,1,1
10,4089,1,1,1
11,4089,2,1,2
12,4089,1,1,1
13,4089,1,1,1
14,4089,1,1,1
15,4089,1,1,2
16,4089,1,1,1
17,4089,1,1,2
18,4089,1,1,1
19,4089,1,1,1
20,4089,2,1,1
1,4092,1,1,1
2,4092,1,1,1
3,4092,1,1,2
4,4092,1,1,1
5,4092,1,1,2
6,4092,1,1,1
7,4092,1,1,1
8,4092,1,1,1
9,4092,1,1,2
10,4092,1,1,1
11,4092,1,1,1
12,4092,1,1,1
13,4092,1,1,1
14,4092,1,1,1
15,4092,1,1,1
16,4092,1,1,1
17,4092,1,1,2
18,4092,1,1,1
19,4092,1,1,1
20,4092,1,1,1
1,4095,1,1,2
2,4095,1,1,2
3,4095,1,1,2
4,4095,1,1,2
5,4095,1,1,1
6,4095,1,1,2
7,4095,1,1,2
8,4095,1,1,1
9,4095,1,1,1
10,4095,1,1,1
11,4095,1,1,1
12,4095,1,1,2
13,4095,1,1,2
14,4095,1,1,2
15,4095,1,1,2
16,4095,1,1,2
17,4095,1,1,2
18,4095,1,1,2
19,4095,1,1,2
20,4095,1,1,2
1,4099,1,1,2
2,4099,1,1,1
3,4099,1,1,2
4,4099,1,1,2
5,4099,1,1,2
6,4099,1,1,1
7,4099,1,1,1
8,4099,1,1,1
9,4099,1,1,2
10,4099,1,1,2
11,4099,1,1,1
12,4099,1,1,1
13,4099,1,1,1
14,4099,1,1,2
15,4099,1,1,2
16,4099,1,1,2
17,4099,1,1,2
18,4099,1,1,1
19,4099,1,1,1
20,4099,1,1,2
1,4102,2,2,1
2,4102,2,2,1
3,4102,1,2,2
4,4102,1,2,1
5,4102,2,2,2
6,4102,1,2,2
7,4102,2,2,1
8,4102,2,2,1
9,4102,2,2,1
10,4102,2,2,1
11,4102,2,2,1
12,4102,1,2,1
14,4102,2,2,1
15,4102,2,2,2
16,4102,2,2,1
17,4102,1,2,1
18,4102,2,2,2
19,4102,2,2,1
20,4102,2,2,2
21,4102,2,2,1
1,4105,2,1,2
2,4105,1,1,2
3,4105,2,2,1
4,4105,2,2,1
5,4105,2,2,1
6,4105,1,2,1
7,4105,2,2,2
8,4105,2,2,2
9,4105,2,2,1
10,4105,1,2,2
11,4105,2,2,1
13,4105,1,2,2
14,4105,2,1,1
16,4105,2,2,2
17,4105,2,2,2
18,4105,1,2,1
19,4105,2,2,2
20,4105,1,2,2
21,4105,1,1,1
22,4105,1,1,2
1,4109,2,2,1
2,4109,2,2,1
3,4109,2,2,1
4,4109,2,1,1
5,4109,2,2,1
6,4109,2,1,1
7,4109,2,2,2
8,4109,2,2,1
9,4109,2,2,1
10,4109,2,1,1
11,4109,2,2,2
12,4109,2,1,1
13,4109,2,2,1
14,4109,2,2,1
15,4109,2,2,1
16,4109,2,2,1
17,4109,2,2,2
18,4109,2,2,1
19,4109,1,2,1
20,4109,1,1,1
1,4112,2,2,1
2,4112,1,2,1
3,4112,1,2,1
4,4112,1,1,1
5,4112,1,2,2
6,4112,1,1,1
7,4112,1,1,2
8,4112,2,2,1
9,4112,1,1,2
10,4112,1,2,2
11,4112,1,2,2
12,4112,1,2,1
13,4112,1,2,2
14,4112,1,2,2
15,4112,1,1,1
16,4112,1,2,2
17,4112,1,2,2
18,4112,2,2,2
19,4112,1,1,1
20,4112,1,1,1
1,4115,2,2,1
2,4115,1,1,2
3,4115,1,1,2
4,4115,2,2,1
5,4115,1,1,2
6,4115,1,2,1
7,4115,1,1,2
8,4115,2,2,2
9,4115,1,2,1
10,4115,2,1,2
11,4115,1,1,2
12,4115,1,1,1
13,4115,1,2,2
14,4115,1,2,2
15,4115,1,1,1
16,4115,1,1,1
17,4115,1,2,1
18,4115,1,1,2
19,4115,1,1,1
20,4115,1,1,2
1,4119,1,2,2
2,4119,2,1,2
3,4119,1,2,2
4,4119,1,1,1
5,4119,1,1,2
6,4119,1,1,2
7,4119,1,1,2
8,4119,1,1,1
9,4119,1,1,2
10,4119,2,2,2
11,4119,2,2,1
12,4119,1,2,2
13,4119,1,1,2
14,4119,1,1,2
15,4119,1,1,1
16,4119,1,1,1
17,4119,1,2,1
18,4119,1,1,2
19,4119,1,1,2
20,4119,1,1,2
1,4122,2,2,1
2,4122,1,1,2
3,4122,2,2,2
