nh,clust,Own_operate_farm,Fish_process_for_sale,Operate_own_business
19,4209,1,2,1
20,4209,2,2,1
1,4212,2,2,1
2,4212,2,1,2
3,4212,2,2,1
4,4212,1,1,2
5,4212,2,2,2
6,4212,2,2,1
7,4212,2,2,2
8,4212,2,2,2
9,4212,2,1,1
10,4212,2,2,2
11,4212,2,1,2
12,4212,2,2,1
13,4212,2,2,1
14,4212,2,2,1
15,4212,2,2,1
16,4212,2,2,1
17,4212,1,1,1
18,4212,2,2,1
19,4212,1,1,2
20,4212,2,2,2
1,4215,2,2,1
2,4215,2,2,1
3,4215,2,2,2
4,4215,2,2,2
5,4215,2,2,1
6,4215,2,2,1
7,4215,2,2,2
8,4215,2,2,2
9,4215,2,2,2
10,4215,2,2,1
11,4215,2,2,2
12,4215,2,2,2
13,4215,2,2,2
14,4215,2,1,2
15,4215,2,2,1
16,4215,2,2,1
17,4215,2,2,2
18,4215,2,2,1
19,4215,2,2,2
20,4215,2,2,1
1,4219,2,2,2
2,4219,2,2,1
3,4219,2,2,2
4,4219,2,2,2
5,4219,2,2,1
6,4219,2,2,2
7,4219,2,2,1
8,4219,2,2,2
9,4219,2,2,1
10,4219,2,2,1
11,4219,2,2,2
12,4219,2,2,1
13,4219,2,2,2
14,4219,2,2,1
15,4219,2,2,1
16,4219,2,2,1
17,4219,2,2,1
18,4219,2,2,1
19,4219,2,2,2
20,4219,2,2,1
1,4222,2,1,1
2,4222,2,2,1
3,4222,2,2,1
4,4222,2,2,1
5,4222,2,2,1
6,4222,2,2,1
7,4222,2,2,2
8,4222,2,1,2
9,4222,2,2,1
10,4222,2,2,2
11,4222,2,1,1
12,4222,2,2,1
13,4222,2,2,1
14,4222,2,2,2
16,4222,2,2,2
17,4222,2,2,1
18,4222,2,2,1
20,4222,2,2,1
23,4222,2,2,1
24,4222,2,2,1
1,4225,2,2,2
2,4225,2,2,1
3,4225,2,2,2
4,4225,2,2,1
5,4225,2,2,2
8,4225,2,2,2
9,4225,2,2,1
10,4225,2,2,2
11,4225,2,2,1
12,4225,2,2,1
13,4225,2,2,2
14,4225,2,2,2
15,4225,2,2,1
16,4225,2,2,1
17,4225,2,2,2
18,4225,2,2,2
19,4225,2,2,2
20,4225,2,2,2
23,4225,2,2,1
24,4225,2,2,2
1,4229,2,2,2
2,4229,2,2,1
3,4229,2,2,2
4,4229,2,2,1
5,4229,2,2,2
6,4229,2,2,2
7,4229,2,2,1
8,4229,2,2,2
9,4229,2,2,2
10,4229,2,2,1
11,4229,2,2,1
12,4229,2,2,2
13,4229,2,2,1
14,4229,2,1,2
15,4229,2,2,2
16,4229,2,2,2
17,4229,2,2,2
18,4229,2,2,2
19,4229,2,1,2
20,4229,2,2,1
1,4232,2,2,1
2,4232,2,2,1
3,4232,2,1,1
4,4232,2,2,2
5,4232,2,2,2
6,4232,2,2,2
7,4232,2,2,2
8,4232,2,2,2
9,4232,2,1,1
10,4232,2,2,2
11,4232,2,2,2
12,4232,2,2,1
13,4232,2,2,1
14,4232,2,1,1
15,4232,2,2,1
16,4232,2,2,1
17,4232,2,2,2
18,4232,2,2,2
19,4232,2,2,1
20,4232,2,2,1
1,4235,2,2,1
2,4235,2,2,2
3,4235,2,1,2
4,4235,2,2,2
5,4235,1,2,2
6,4235,2,1,1
7,4235,2,2,1
8,4235,2,2,2
9,4235,2,2,1
10,4235,2,2,1
11,4235,2,1,1
12,4235,2,2,1
13,4235,2,2,2
14,4235,2,2,2
15,4235,2,2,1
16,4235,2,1,1
17,4235,2,2,2
18,4235,2,2,1
19,4235,2,2,1
20,4235,2,2,2
1,4239,2,2,1
2,4239,2,2,2
3,4239,2,2,1
4,4239,2,2,1
5,4239,2,2,1
6,4239,2,2,2
7,4239,2,2,2
8,4239,2,2,2
9,4239,2,2,2
10,4239,2,1,1
11,4239,2,2,2
12,4239,2,2,2
13,4239,2,2,2
14,4239,2,2,2
15,4239,2,2,1
16,4239,2,2,1
17,4239,2,2,2
18,4239,2,2,1
19,4239,2,2,2
20,4239,2,2,2
1,4242,2,2,1
2,4242,2,2,1
3,4242,2,1,1
4,4242,2,2,1
5,4242,2,2,1
6,4242,2,2,1
7,4242,2,2,1
8,4242,2,1,1
9,4242,2,2,2
10,4242,2,2,1
11,4242,2,2,1
12,4242,1,2,1
14,4242,2,2,1
15,4242,2,2,1
16,4242,2,2,1
17,4242,2,2,1
18,4242,2,1,1
19,4242,2,1,1
20,4242,2,2,2
24,4242,2,2,1
1,4245,2,2,2
2,4245,2,1,1
3,4245,2,2,1
4,4245,2,2,2
6,4245,2,2,2
7,4245,2,2,1
8,4245,2,1,1
9,4245,2,2,2
10,4245,2,2,2
11,4245,2,2,1
12,4245,2,2,2
13,4245,2,2,1
14,4245,2,2,1
15,4245,2,2,1
18,4245,2,2,2
20,4245,2,2,2
21,4245,2,1,1
22,4245,2,2,2
23,4245,2,2,1
25,4245,2,2,2
1,4249,2,1,1
2,4249,2,2,1
3,4249,2,2,1
4,4249,2,2,2
5,4249,2,2,1
6,4249,2,1,2
7,4249,2,2,1
8,4249,2,1,2
9,4249,2,2,2
10,4249,2,2,1
12,4249,2,2,1
13,4249,2,2,1
14,4249,2,2,1
15,4249,2,2,1
16,4249,2,2,1
17,4249,2,2,1
18,4249,2,2,1
19,4249,1,2,1
20,4249,2,2,2
25,4249,2,2,2
1,4252,2,1,1
2,4252,2,1,2
3,4252,2,1,1
4,4252,1,1,2
5,4252,2,2,2
6,4252,2,2,2
7,4252,2,1,1
8,4252,2,2,2
9,4252,2,2,2
10,4252,2,2,2
11,4252,2,2,1
12,4252,2,2,1
13,4252,2,1,1
14,4252,2,2,1
15,4252,2,2,2
16,4252,2,2,2
17,4252,2,2,1
18,4252,2,2,2
19,4252,2,1,2
20,4252,2,1,2
1,4255,2,2,1
2,4255,2,2,1
3,4255,2,2,1
4,4255,2,2,2
5,4255,2,2,2
6,4255,2,2,1
7,4255,2,2,2
8,4255,2,2,2
9,4255,2,2,1
10,4255,2,2,1
11,4255,2,2,1
12,4255,2,2,1
13,4255,2,2,1
14,4255,2,2,1
15,4255,2,2,1
16,4255,2,2,1
17,4255,2,2,2
18,4255,2,2,2
19,4255,2,2,1
20,4255,2,2,1
1,4259,2,2,1
2,4259,2,2,2
3,4259,2,2,2
4,4259,2,2,2
5,4259,2,2,1
6,4259,2,2,2
7,4259,2,2,1
8,4259,2,2,1
9,4259,2,2,1
10,4259,2,2,2
11,4259,2,2,2
12,4259,2,2,2
13,4259,2,2,1
14,4259,2,2,1
15,4259,2,2,2
16,4259,2,1,2
17,4259,2,2,1
18,4259,2,2,1
19,4259,2,2,1
20,4259,2,2,2
1,4262,2,2,1
2,4262,2,2,1
3,4262,2,2,1
4,4262,2,2,1
5,4262,2,2,1
6,4262,2,2,1
7,4262,2,2,2
8,4262,2,2,1
10,4262,2,2,2
11,4262,2,2,1
13,4262,2,2,1
14,4262,2,2,1
15,4262,2,2,1
16,4262,2,2,1
17,4262,2,1,2
18,4262,2,2,1
19,4262,2,2,1
20,4262,2,2,1
21,4262,2,2,2
22,4262,2,1,2
1,4265,2,2,2
2,4265,2,2,1
3,4265,2,2,1
4,4265,2,2,1
5,4265,2,2,2
6,4265,2,2,2
7,4265,2,1,2
8,4265,2,2,1
9,4265,2,1,1
10,4265,2,2,2
11,4265,2,2,1
12,4265,2,2,2
13,4265,2,2,2
14,4265,2,2,2
15,4265,2,2,1
16,4265,2,2,2
17,4265,2,2,1
18,4265,2,1,2
19,4265,2,1,2
20,4265,2,2,1
1,4269,2,2,2
2,4269,2,2,2
3,4269,2,2,2
5,4269,2,2,2
6,4269,2,2,1
7,4269,2,2,2
8,4269,2,1,2
9,4269,2,2,2
10,4269,2,2,2
11,4269,2,2,2
12,4269,2,2,1
14,4269,2,2,1
15,4269,2,2,1
16,4269,2,1,1
17,4269,2,1,2
18,4269,2,1,2
19,4269,2,2,1
20,4269,2,2,2
21,4269,2,1,1
23,4269,2,2,1
1,4272,2,2,1
2,4272,2,1,2
3,4272,2,2,1
4,4272,2,1,2
5,4272,2,2,1
6,4272,2,1,2
7,4272,2,2,1
8,4272,2,2,1
9,4272,2,2,1
10,4272,2,2,2
11,4272,2,2,2
12,4272,2,2,1
13,4272,2,2,1
14,4272,2,1,2
15,4272,2,2,1
16,4272,2,2,1
17,4272,2,2,1
18,4272,2,1,1
19,4272,2,1,2
20,4272,2,2,1
1,4275,2,2,1
2,4275,2,2,1
3,4275,2,1,2
4,4275,2,2,1
5,4275,2,2,1
6,4275,2,2,2
7,4275,2,2,1
8,4275,2,2,1
9,4275,2,2,1
10,4275,2,2,1
11,4275,2,2,1
12,4275,2,2,1
13,4275,2,2,1
14,4275,2,2,2
15,4275,2,2,1
16,4275,2,2,1
17,4275,2,2,1
18,4275,2,1,2
19,4275,2,2,2
21,4275,2,2,1
1,4279,2,2,2
2,4279,2,2,2
3,4279,2,2,1
4,4279,2,2,2
5,4279,2,2,1
6,4279,2,2,1
7,4279,2,2,1
8,4279,2,2,1
9,4279,2,2,1
10,4279,2,2,1
11,4279,2,2,1
12,4279,2,1,2
13,4279,2,2,2
14,4279,2,2,1
15,4279,2,1,2
16,4279,2,2,1
17,4279,2,2,2
18,4279,2,2,2
19,4279,2,2,1
20,4279,2,2,1
1,4282,2,2,1
2,4282,2,2,2
3,4282,2,2,1
4,4282,2,2,2
5,4282,2,2,2
6,4282,2,2,2
7,4282,2,2,1
8,4282,2,2,2
9,4282,2,2,1
10,4282,2,2,1
11,4282,2,1,2
12,4282,2,2,1
13,4282,2,2,1
14,4282,2,1,2
15,4282,2,2,1
16,4282,2,1,2
17,4282,2,2,2
18,4282,2,2,2
19,4282,2,2,1
20,4282,2,2,1
1,4285,2,1,2
2,4285,2,2,1
3,4285,2,2,1
4,4285,2,2,2
5,4285,2,2,1
6,4285,2,2,1
7,4285,2,2,2
8,4285,2,2,1
9,4285,2,2,1
10,4285,2,2,1
11,4285,2,2,2
12,4285,2,2,1
13,4285,2,2,1
14,4285,2,2,2
15,4285,2,2,2
16,4285,2,2,2
17,4285,2,2,1
18,4285,2,2,2
19,4285,2,2,1
20,4285,2,2,1
1,4289,2,2,1
2,4289,2,2,2
3,4289,2,2,1
4,4289,2,2,1
5,4289,2,2,1
6,4289,2,2,1
7,4289,2,2,1
8,4289,2,2,1
9,4289,2,2,2
10,4289,2,2,1
11,4289,2,2,1
12,4289,2,2,1
13,4289,2,2,1
14,4289,2,2,1
15,4289,2,2,2
16,4289,2,2,2
17,4289,2,2,1
18,4289,2,2,1
19,4289,2,2,1
20,4289,2,2,2
1,4292,2,2,1
2,4292,2,1,1
3,4292,2,2,1
4,4292,2,2,1
5,4292,2,2,1
6,4292,2,2,1
7,4292,2,2,2
8,4292,2,2,1
9,4292,2,2,2
10,4292,2,2,2
11,4292,2,2,1
12,4292,2,2,1
13,4292,2,2,2
14,4292,2,1,1
16,4292,2,2,1
17,4292,2,2,1
18,4292,2,2,1
19,4292,2,2,1
20,4292,2,2,1
22,4292,2,2,1
1,4295,2,2,1
2,4295,2,2,2
3,4295,2,2,1
4,4295,2,2,1
5,4295,2,2,1
6,4295,2,2,2
7,4295,2,2,2
8,4295,2,2,1
9,4295,2,2,1
10,4295,2,2,2
11,4295,2,2,1
12,4295,2,2,2
13,4295,2,2,2
14,4295,2,2,1
15,4295,2,2,1
16,4295,2,2,1
17,4295,2,2,1
18,4295,2,2,1
19,4295,2,2,1
20,4295,2,2,1
1,4299,2,2,2
2,4299,2,2,2
3,4299,2,2,2
4,4299,2,2,1
5,4299,2,2,1
6,4299,2,2,2
7,4299,2,2,1
8,4299,2,2,2
9,4299,2,2,1
10,4299,2,1,2
11,4299,2,2,2
12,4299,2,2,1
13,4299,2,2,1
14,4299,2,2,2
15,4299,2,2,1
16,4299,2,2,1
17,4299,2,2,1
18,4299,2,2,1
19,4299,2,2,2
20,4299,2,2,1
1,4302,2,2,1
2,4302,2,2,1
3,4302,2,2,1
4,4302,2,2,1
5,4302,2,2,1
6,4302,2,2,1
7,4302,2,2,1
8,4302,2,2,1
9,4302,2,2,1
10,4302,2,2,1
11,4302,2,2,2
12,4302,2,2,2
13,4302,2,2,1
14,4302,2,2,1
15,4302,2,2,1
16,4302,2,2,1
17,4302,2,2,1
18,4302,2,2,1
19,4302,2,2,2
20,4302,2,2,2
1,4305,2,2,1
2,4305,2,2,2
3,4305,2,2,1
4,4305,2,2,2
5,4305,2,2,2
6,4305,2,2,2
7,4305,2,2,1
8,4305,2,1,1
9,4305,2,2,2
10,4305,2,2,2
11,4305,2,2,2
12,4305,2,2,1
13,4305,2,2,2
14,4305,2,2,1
15,4305,2,2,1
16,4305,2,2,1
17,4305,2,2,1
18,4305,2,2,2
19,4305,2,2,1
20,4305,2,2,1
1,4309,2,2,1
2,4309,2,2,2
3,4309,2,2,1
4,4309,2,2,1
5,4309,2,2,2
6,4309,2,2,1
7,4309,2,2,1
8,4309,2,2,1
9,4309,2,2,2
10,4309,2,2,2
11,4309,2,1,2
12,4309,2,2,1
13,4309,2,2,1
17,4309,2,2,1
18,4309,2,2,1
19,4309,2,2,2
20,4309,2,2,1
22,4309,2,2,1
23,4309,2,2,1
24,4309,2,1,2
2,4312,2,2,2
3,4312,2,2,2
4,4312,2,2,2
5,4312,2,2,2
7,4312,2,2,2
8,4312,2,2,2
9,4312,2,2,1
10,4312,2,2,2
11,4312,2,2,2
13,4312,2,2,1
14,4312,2,2,1
15,4312,2,2,2
16,4312,2,2,2
17,4312,2,2,1
18,4312,2,2,2
19,4312,2,2,1
20,4312,2,2,1
21,4312,2,2,1
22,4312,2,2,2
1,4315,2,2,2
2,4315,2,2,2
3,4315,2,2,1
4,4315,2,2,1
5,4315,2,1,2
6,4315,2,2,1
7,4315,2,2,1
8,4315,2,2,1
9,4315,2,2,1
10,4315,2,2,1
11,4315,2,2,1
12,4315,2,2,2
13,4315,2,2,1
14,4315,2,2,2
15,4315,2,2,2
16,4315,2,2,2
17,4315,2,2,1
18,4315,2,2,1
19,4315,2,2,2
20,4315,2,2,2
1,4319,2,2,2
2,4319,2,2,1
4,4319,2,2,1
5,4319,2,2,2
6,4319,2,2,1
7,4319,2,1,1
8,4319,2,1,2
9,4319,2,2,2
10,4319,2,2,1
11,4319,2,2,2
12,4319,2,2,1
13,4319,2,2,1
14,4319,2,2,2
15,4319,2,2,2
16,4319,2,2,1
17,4319,2,2,1
18,4319,2,1,2
19,4319,2,2,1
20,4319,2,1,2
23,4319,2,2,1
1,4322,2,2,1
2,4322,2,2,1
3,4322,2,2,2
4,4322,2,2,2
5,4322,2,2,1
6,4322,2,2,1
7,4322,2,2,2
8,4322,2,2,1
9,4322,1,1,2
10,4322,2,2,1
11,4322,2,2,2
12,4322,2,2,2
13,4322,2,2,2
14,4322,2,1,2
15,4322,2,2,2
16,4322,2,2,1
17,4322,1,1,2
18,4322,2,1,2
19,4322,2,2,2
20,4322,2,2,1
1,4325,2,2,2
2,4325,2,2,1
3,4325,2,2,2
4,4325,2,2,1
5,4325,2,2,2
6,4325,2,2,1
7,4325,2,2,1
8,4325,2,2,2
9,4325,2,2,1
10,4325,2,2,1
11,4325,2,2,2
12,4325,2,1,2
13,4325,2,2,1
14,4325,2,2,2
15,4325,2,2,1
16,4325,2,2,1
17,4325,2,2,1
18,4325,2,2,1
19,4325,2,2,1
20,4325,2,2,1
1,4329,2,2,2
2,4329,2,2,2
3,4329,2,1,1
4,4329,2,2,2
5,4329,2,2,2
6,4329,2,2,2
7,4329,1,2,1
8,4329,2,1,1
9,4329,1,1,2
10,4329,1,2,1
13,4329,2,2,1
14,4329,1,2,2
15,4329,2,2,1
16,4329,2,1,2
17,4329,2,1,2
18,4329,2,1,1
19,4329,2,2,2
20,4329,2,2,1
22,4329,2,2,2
25,4329,1,1,2
1,4332,2,2,2
2,4332,1,2,1
3,4332,2,2,2
4,4332,2,2,1
5,4332,2,2,1
6,4332,2,2,2
7,4332,2,2,1
8,4332,2,2,1
9,4332,2,2,2
10,4332,2,2,2
11,4332,2,2,1
12,4332,2,2,2
13,4332,2,2,1
14,4332,2,2,2
15,4332,2,2,1
16,4332,2,2,2
17,4332,1,2,1
18,4332,2,2,2
19,4332,2,2,1
20,4332,2,2,1
1,4335,2,1,2
2,4335,1,1,2
3,4335,2,1,1
4,4335,2,1,2
5,4335,1,1,2
6,4335,2,1,2
7,4335,2,1,2
8,4335,2,1,2
9,4335,1,1,2
10,4335,2,1,2
11,4335,2,1,1
12,4335,2,1,1
13,4335,2,2,2
14,4335,2,1,2
15,4335,1,1,2
16,4335,2,2,1
17,4335,2,1,2
18,4335,1,1,2
19,4335,1,1,2
20,4335,2,1,1
1,4339,1,1,1
2,4339,1,1,1
3,4339,2,1,1
4,4339,2,1,2
5,4339,2,1,1
6,4339,1,1,1
7,4339,2,1,2
8,4339,2,1,1
9,4339,2,1,1
10,4339,1,1,1
11,4339,1,1,1
12,4339,2,1,1
13,4339,2,1,1
14,4339,2,1,1
15,4339,2,1,1
16,4339,2,1,1
17,4339,2,1,2
18,4339,2,1,1
19,4339,2,1,1
21,4339,2,1,1
1,4342,2,1,1
2,4342,1,2,2
3,4342,1,1,2
4,4342,2,1,1
5,4342,2,1,2
7,4342,2,2,2
8,4342,1,1,2
9,4342,1,2,2
10,4342,1,1,2
11,4342,2,1,1
12,4342,2,1,1
14,4342,2,1,2
16,4342,1,1,2
17,4342,1,1,2
18,4342,2,1,1
19,4342,1,1,2
20,4342,1,1,2
22,4342,2,2,2
23,4342,2,2,2
24,4342,2,1,1
1,4345,1,1,2
2,4345,1,1,1
3,4345,1,1,2
4,4345,1,1,2
5,4345,1,1,2
6,4345,1,1,1
7,4345,1,1,1
8,4345,1,1,2
9,4345,1,1,2
10,4345,1,1,2
11,4345,1,1,1
12,4345,1,1,2
13,4345,1,1,2
14,4345,1,1,2
15,4345,1,1,2
16,4345,1,1,2
17,4345,1,1,2
18,4345,1,1,2
19,4345,1,1,2
20,4345,1,1,1
1,4349,1,1,1
2,4349,2,1,1
3,4349,1,1,1
4,4349,2,1,1
5,4349,2,1,2
6,4349,2,1,1
7,4349,2,1,1
8,4349,2,1,1
9,4349,2,1,1
10,4349,1,1,1
11,4349,2,1,1
12,4349,2,2,1
13,4349,2,1,1
14,4349,2,1,1
15,4349,2,1,2
16,4349,2,1,1
17,4349,2,1,1
18,4349,2,1,1
19,4349,2,1,1
20,4349,2,1,1
1,4352,2,1,2
2,4352,1,1,2
3,4352,1,1,2
4,4352,1,1,1
5,4352,2,1,2
6,4352,1,1,1
7,4352,1,1,2
8,4352,1,1,1
9,4352,1,1,2
10,4352,1,1,1
11,4352,1,1,2
12,4352,1,1,1
13,4352,1,1,1
14,4352,2,1,1
15,4352,1,1,1
16,4352,1,1,2
17,4352,1,1,2
18,4352,1,1,1
19,4352,1,1,2
20,4352,1,1,1
1,4355,1,2,2
2,4355,1,2,2
3,4355,1,2,1
4,4355,1,2,2
5,4355,1,1,2
6,4355,1,2,1
7,4355,1,2,2
8,4355,1,2,2
9,4355,1,2,2
10,4355,1,2,2
11,4355,2,2,1
12,4355,1,2,2
13,4355,1,2,1
14,4355,1,2,1
15,4355,1,2,2
16,4355,1,2,1
17,4355,1,2,2
18,4355,1,2,1
19,4355,1,2,1
20,4355,1,2,1
1,4359,1,2,2
2,4359,1,2,2
3,4359,1,1,1
4,4359,1,1,2
7,4359,1,2,2
8,4359,1,1,1
9,4359,1,2,2
10,4359,1,2,2
11,4359,1,2,2
12,4359,1,2,2
13,4359,1,2,2
14,4359,1,2,2
15,4359,1,1,1
16,4359,1,1,1
17,4359,1,1,2
18,4359,1,1,1
19,4359,1,1,2
20,4359,1,1,1
21,4359,1,1,2
22,4359,1,1,2
2,4362,1,2,1
3,4362,1,2,1
4,4362,1,2,1
5,4362,1,2,1
6,4362,1,2,1
7,4362,1,2,1
8,4362,2,2,1
9,4362,1,2,1
10,4362,2,2,2
11,4362,2,2,1
13,4362,2,2,1
14,4362,2,2,2
15,4362,1,1,2
16,4362,1,2,1
17,4362,2,2,1
18,4362,1,2,1
19,4362,1,2,2
20,4362,1,2,2
22,4362,1,2,2
25,4362,1,2,2
1,4365,1,1,2
2,4365,1,2,2
3,4365,1,2,2
4,4365,1,1,2
5,4365,1,1,2
6,4365,1,1,2
7,4365,1,1,1
8,4365,1,2,2
9,4365,1,1,2
10,4365,1,2,2
11,4365,1,1,2
12,4365,1,2,1
13,4365,1,1,2
14,4365,1,2,2
15,4365,1,1,2
16,4365,1,1,2
17,4365,1,1,1
18,4365,1,1,2
19,4365,1,1,1
20,4365,1,1,1
1,4369,1,1,2
3,4369,1,1,2
5,4369,1,1,2
6,4369,1,1,1
7,4369,1,1,2
8,4369,1,1,2
9,4369,1,1,2
10,4369,1,1,2
11,4369,2,2,2
13,4369,1,1,1
14,4369,1,1,2
15,4369,1,1,2
16,4369,1,1,2
17,4369,1,1,2
18,4369,1,1,1
19,4369,1,1,1
21,4369,1,1,2
22,4369,1,1,1
23,4369,1,1,2
24,4369,1,1,2
1,4372,1,2,2
2,4372,1,2,1
3,4372,1,2,2
4,4372,1,1,1
5,4372,1,1,1
6,4372,1,1,2
7,4372,1,1,1
8,4372,1,2,1
9,4372,1,1,1
10,4372,1,1,2
11,4372,1,1,2
12,4372,1,1,2
13,4372,1,1,1
14,4372,1,1,2
16,4372,1,1,2
17,4372,1,2,2
18,4372,1,1,2
19,4372,1,1,2
20,4372,1,2,2
21,4372,1,1,2
1,4375,1,2,1
2,4375,1,1,1
3,4375,1,2,1
4,4375,1,1,1
5,4375,1,1,1
6,4375,1,1,2
7,4375,1,2,2
8,4375,1,2,1
9,4375,1,2,2
10,4375,1,1,2
11,4375,1,1,1
12,4375,1,2,1
13,4375,1,2,1
14,4375,1,1,1
15,4375,1,2,1
16,4375,1,2,1
17,4375,1,2,2
18,4375,1,2,2
19,4375,1,2,2
20,4375,1,2,1
1,4379,1,2,2
2,4379,1,1,2
3,4379,1,2,2
4,4379,1,1,2
5,4379,1,1,2
6,4379,1,2,1
7,4379,1,2,2
8,4379,1,2,1
9,4379,1,1,1
10,4379,1,2,2
11,4379,1,1,2
12,4379,1,2,2
13,4379,1,2,2
14,4379,1,1,1
15,4379,1,1,1
16,4379,1,2,1
17,4379,1,1,2
18,4379,1,1,2
19,4379,1,1,1
20,4379,1,2,1
1,4382,1,1,2
2,4382,1,2,1
3,4382,1,1,2
4,4382,1,1,2
5,4382,1,2,1
6,4382,1,1,2
7,4382,1,2,2
8,4382,1,1,2
9,4382,2,2,2
10,4382,1,1,2
11,4382,1,1,2
12,4382,1,2,2
13,4382,1,1,1
14,4382,1,2,2
15,4382,1,2,2
16,4382,1,2,2
17,4382,1,1,1
18,4382,1,1,2
19,4382,1,1,2
20,4382,1,2,1
1,4385,1,2,2
2,4385,1,1,1
3,4385,1,2,2
4,4385,1,2,2
5,4385,1,1,2
6,4385,1,2,2
7,4385,1,1,1
8,4385,1,1,2
9,4385,1,1,2
10,4385,1,1,1
11,4385,1,2,2
12,4385,1,1,1
13,4385,1,2,2
14,4385,1,2,1
15,4385,1,2,1
16,4385,1,2,1
17,4385,1,2,2
18,4385,1,1,1
19,4385,1,2,2
20,4385,1,2,2
1,4389,1,1,1
2,4389,1,1,1
3,4389,1,1,2
4,4389,1,1,1
5,4389,1,1,2
6,4389,1,1,2
7,4389,1,1,2
8,4389,1,1,2
9,4389,1,1,2
10,4389,1,2,2
11,4389,1,1,2
12,4389,1,2,2
13,4389,1,1,1
14,4389,1,1,2
15,4389,1,1,2
16,4389,1,1,1
17,4389,1,2,2
18,4389,1,1,1
19,4389,1,1,1
20,4389,1,1,2
1,4392,1,2,2
2,4392,1,1,2
3,4392,1,1,2
4,4392,1,2,2
5,4392,1,1,1
6,4392,1,2,1
7,4392,1,2,1
8,4392,1,2,1
9,4392,1,2,2
10,4392,1,1,1
11,4392,1,2,2
12,4392,1,1,1
13,4392,1,1,2
14,4392,1,2,1
15,4392,1,1,1
16,4392,1,2,1
17,4392,1,2,1
18,4392,1,2,2
19,4392,1,2,2
20,4392,1,2,1
1,4395,1,2,2
2,4395,1,1,1
3,4395,1,2,2
4,4395,1,2,1
5,4395,1,1,1
6,4395,1,1,1
7,4395,1,2,1
8,4395,1,2,1
9,4395,1,1,1
10,4395,1,1,2
11,4395,1,1,1
12,4395,1,1,1
13,4395,1,2,1
14,4395,1,1,1
15,4395,1,2,2
16,4395,1,1,1
17,4395,1,1,1
18,4395,1,1,2
19,4395,1,1,2
20,4395,1,1,2
1,4399,1,1,2
2,4399,1,2,2
3,4399,1,1,2
4,4399,1,1,1
5,4399,1,2,1
6,4399,1,1,1
7,4399,1,2,2
8,4399,1,2,2
9,4399,1,2,1
10,4399,1,2,2
11,4399,1,1,2
12,4399,1,1,2
13,4399,1,2,1
14,4399,1,2,1
15,4399,1,1,1
16,4399,1,2,2
17,4399,1,2,2
18,4399,1,2,1
19,4399,1,2,2
20,4399,1,2,2
1,4402,1,2,1
2,4402,1,2,2
3,4402,1,1,2
4,4402,1,2,1
5,4402,1,2,2
6,4402,1,2,2
7,4402,1,2,1
8,4402,1,1,1
9,4402,1,1,1
10,4402,1,1,2
11,4402,1,2,2
12,4402,1,2,1
13,4402,1,2,2
14,4402,1,2,2
15,4402,1,2,2
16,4402,1,2,1
17,4402,1,2,1
18,4402,1,2,1
19,4402,1,2,2
20,4402,1,2,1
1,4405,1,1,2
2,4405,1,1,2
3,4405,1,1,2
4,4405,1,1,2
5,4405,1,1,2
6,4405,1,1,2
7,4405,1,1,2
8,4405,1,1,2
9,4405,1,1,2
10,4405,1,1,1
11,4405,1,1,1
12,4405,1,1,2
13,4405,1,1,2
14,4405,1,1,2
15,4405,1,1,2
16,4405,1,1,2
17,4405,1,1,2
18,4405,1,1,2
19,4405,1,1,1
20,4405,1,1,1
1,4408,1,1,2
2,4408,1,2,1
3,4408,2,2,1
4,4408,1,1,1
5,4408,1,2,1
6,4408,1,1,1
7,4408,1,1,2
8,4408,1,2,1
9,4408,1,2,2
10,4408,1,2,1
11,4408,1,1,2
12,4408,1,2,1
13,4408,1,1,1
14,4408,2,2,1
15,4408,1,1,1
16,4408,1,1,1
17,4408,1,2,1
18,4408,1,1,1
19,4408,1,2,1
20,4408,1,2,1
1,4412,1,1,2
2,4412,1,1,2
3,4412,1,1,1
4,4412,1,1,2
5,4412,1,1,2
6,4412,1,1,1
7,4412,1,1,2
8,4412,1,1,1
9,4412,1,1,1
10,4412,1,1,2
11,4412,1,1,2
12,4412,1,1,1
13,4412,1,1,1
14,4412,1,1,2
15,4412,1,1,2
16,4412,1,1,2
17,4412,1,1,2
18,4412,1,1,1
19,4412,1,1,2
20,4412,1,1,2
1,4415,1,1,2
2,4415,1,1,2
3,4415,1,1,2
4,4415,1,1,2
5,4415,1,1,2
6,4415,1,1,2
7,4415,1,1,2
8,4415,1,1,2
9,4415,1,1,2
10,4415,1,1,2
11,4415,1,1,2
12,4415,1,1,2
13,4415,1,1,2
14,4415,1,1,2
15,4415,1,1,2
16,4415,1,1,2
17,4415,1,1,2
18,4415,1,1,2
19,4415,1,1,2
20,4415,1,2,2
1,4419,1,1,1
2,4419,1,1,2
3,4419,1,1,2
4,4419,1,1,2
6,4419,1,1,1
7,4419,1,1,2
8,4419,1,1,1
9,4419,1,1,1
10,4419,1,1,2
11,4419,1,1,2
15,4419,1,1,1
16,4419,1,1,1
17,4419,2,1,1
18,4419,1,1,2
19,4419,1,1,2
20,4419,2,1,1
21,4419,1,1,1
22,4419,1,1,1
23,4419,1,1,1
25,4419,1,1,2
1,4422,1,1,1
2,4422,1,1,1
3,4422,1,1,2
4,4422,1,1,2
5,4422,1,1,2
6,4422,1,1,2
7,4422,1,1,2
8,4422,1,1,1
