nh,clust,Processed_food_code,Sell_any_processed_food
13,4075,1,2
13,4075,8,1
14,4075,1,2
14,4075,10,2
15,4075,1,2
15,4075,8,2
16,4075,1,2
16,4075,8,2
18,4075,1,2
18,4075,8,2
19,4075,1,2
19,4075,1,1
19,4075,8,1
20,4075,1,2
20,4075,8,1
22,4075,1,2
22,4075,8,2
1,4079,1,2
1,4079,1,2
2,4079,1,2
2,4079,5,2
3,4079,1,2
3,4079,5,2
4,4079,1,2
4,4079,5,2
5,4079,1,2
5,4079,5,2
6,4079,1,2
6,4079,5,2
7,4079,3,2
7,4079,5,2
8,4079,1,2
8,4079,5,2
9,4079,1,2
9,4079,3,2
9,4079,5,2
10,4079,1,2
10,4079,5,2
11,4079,1,2
11,4079,5,2
12,4079,1,2
12,4079,5,2
13,4079,1,2
13,4079,5,2
14,4079,1,2
14,4079,5,2
15,4079,1,2
15,4079,5,2
16,4079,1,2
16,4079,5,2
17,4079,1,2
17,4079,5,2
18,4079,1,2
18,4079,5,2
19,4079,1,2
19,4079,5,2
20,4079,1,2
20,4079,1,2
1,4081,1,2
1,4081,5,2
2,4081,1,2
2,4081,5,2
3,4081,5,1
4,4081,1,2
4,4081,5,2
5,4081,1,2
5,4081,5,2
6,4081,5,1
7,4081,1,2
7,4081,5,2
8,4081,1,2
8,4081,5,2
9,4081,1,1
9,4081,5,2
10,4081,1,2
10,4081,5,2
11,4081,1,2
11,4081,5,2
12,4081,1,2
12,4081,5,2
13,4081,1,2
13,4081,5,2
14,4081,1,2
15,4081,1,2
15,4081,5,2
16,4081,1,1
18,4081,1,2
19,4081,2,2
20,4081,1,2
2,4084,7,1
3,4084,7,2
4,4084,7,1
4,4084,11,1
11,4084,1,2
11,4084,5,2
19,4084,7,1
1,4089,2,2
2,4089,1,2
2,4089,11,2
3,4089,1,2
3,4089,11,2
5,4089,1,2
5,4089,11,2
6,4089,1,2
6,4089,8,2
6,4089,10,2
6,4089,11,2
7,4089,1,2
7,4089,11,2
8,4089,1,2
9,4089,1,2
9,4089,10,2
9,4089,11,2
10,4089,1,2
10,4089,6,2
10,4089,7,2
10,4089,10,2
10,4089,11,2
12,4089,1,2
13,4089,1,2
13,4089,11,2
14,4089,1,2
14,4089,7,2
15,4089,1,2
16,4089,1,2
17,4089,1,2
17,4089,11,2
18,4089,1,2
18,4089,8,2
18,4089,10,2
18,4089,11,2
19,4089,1,2
19,4089,8,2
19,4089,11,2
20,4089,1,2
20,4089,7,2
1,4092,1,2
2,4092,1,2
2,4092,11,2
3,4092,1,2
3,4092,11,2
4,4092,1,2
4,4092,11,2
5,4092,1,2
6,4092,1,2
6,4092,8,2
6,4092,11,2
7,4092,1,2
7,4092,8,2
7,4092,11,2
8,4092,1,2
8,4092,11,2
9,4092,1,2
10,4092,1,2
10,4092,8,2
10,4092,11,2
11,4092,1,2
12,4092,1,2
13,4092,1,2
13,4092,8,2
